open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
5.27,5.29,5.27,5.29,885.0,5.2873,1672767000000,9,,2023-01-03 09:30:00-08:00
5.315,5.315,5.29,5.3,1744.0,5.3077,1672767300000,28,,2023-01-03 09:35:00-08:00
5.3,5.3,5.24,5.24,3143.0,5.281,1672767600000,74,,2023-01-03 09:40:00-08:00
5.24,5.25,5.17,5.1806,4012.0,5.2198,1672767900000,85,,2023-01-03 09:45:00-08:00
5.19,5.19,5.19,5.19,101.0,5.19,1672768200000,2,,2023-01-03 09:50:00-08:00
5.18,5.22,5.18,5.21,2166.0,5.2041,1672768500000,57,,2023-01-03 09:55:00-08:00
5.21,5.25,5.21,5.25,2461.0,5.23,1672768800000,32,,2023-01-03 10:00:00-08:00
5.255,5.255,5.21,5.21,1387.0,5.2356,1672769100000,26,,2023-01-03 10:05:00-08:00
5.2,5.22,5.135,5.14,4467.0,5.1766,1672769400000,139,,2023-01-03 10:10:00-08:00
5.15,5.18,5.15,5.18,775.0,5.161,1672769700000,15,,2023-01-03 10:15:00-08:00
5.17,5.1885,5.17,5.18,1399.0,5.1796,1672770000000,37,,2023-01-03 10:20:00-08:00
5.165,5.19,5.165,5.19,3619.0,5.1755,1672770300000,77,,2023-01-03 10:25:00-08:00
5.19,5.195,5.18,5.18,2484.0,5.1845,1672770600000,62,,2023-01-03 10:30:00-08:00
5.2,5.24,5.2,5.2,1997.0,5.2078,1672770900000,46,,2023-01-03 10:35:00-08:00
5.2,5.21,5.2,5.21,963.0,5.2006,1672771200000,20,,2023-01-03 10:40:00-08:00
5.2,5.22,5.195,5.215,2698.0,5.2092,1672771500000,41,,2023-01-03 10:45:00-08:00
5.215,5.225,5.21,5.225,1393.0,5.2203,1672771800000,35,,2023-01-03 10:50:00-08:00
5.225,5.225,5.2,5.2,2436.0,5.2144,1672772100000,50,,2023-01-03 10:55:00-08:00
5.21,5.21,5.15,5.155,8520.0,5.1835,1672772400000,153,,2023-01-03 11:00:00-08:00
5.16,5.16,5.13,5.13,2403.0,5.1396,1672772700000,32,,2023-01-03 11:05:00-08:00
5.1388,5.1388,5.103,5.1225,4805.0,5.1201,1672773000000,75,,2023-01-03 11:10:00-08:00
5.125,5.125,5.11,5.11,1531.0,5.1144,1672773300000,28,,2023-01-03 11:15:00-08:00
5.09,5.095,5.08,5.095,2851.0,5.091,1672773600000,50,,2023-01-03 11:20:00-08:00
5.09,5.09,5.07,5.075,2730.0,5.0837,1672773900000,30,,2023-01-03 11:25:00-08:00
5.075,5.08,5.065,5.07,2422.0,5.0716,1672774200000,46,,2023-01-03 11:30:00-08:00
5.07,5.07,5.07,5.07,903.0,5.07,1672774500000,9,,2023-01-03 11:35:00-08:00
5.07,5.07,5.055,5.07,3286.0,5.0654,1672774800000,49,,2023-01-03 11:40:00-08:00
5.07,5.085,5.065,5.07,5862.0,5.0734,1672775100000,80,,2023-01-03 11:45:00-08:00
5.07,5.07,5.07,5.07,1505.0,5.0705,1672775400000,25,,2023-01-03 11:50:00-08:00
5.07,5.075,5.06,5.0725,4841.0,5.0701,1672775700000,91,,2023-01-03 11:55:00-08:00
5.0725,5.075,5.065,5.065,1019.0,5.0707,1672776000000,18,,2023-01-03 12:00:00-08:00
5.07,5.0725,5.065,5.065,2429.0,5.0696,1672776300000,43,,2023-01-03 12:05:00-08:00
5.065,5.075,5.05,5.075,7499.0,5.0624,1672776600000,117,,2023-01-03 12:10:00-08:00
5.0725,5.075,5.01,5.045,12993.0,5.039,1672776900000,119,,2023-01-03 12:15:00-08:00
5.05,5.05,5.01,5.01,4020.0,5.0349,1672777200000,74,,2023-01-03 12:20:00-08:00
5.02,5.03,5.01,5.02,3775.0,5.0225,1672777500000,58,,2023-01-03 12:25:00-08:00
5.02,5.03,5.02,5.0225,11135.0,5.0224,1672777800000,147,,2023-01-03 12:30:00-08:00
5.02,5.1,5.02,5.1,10480.0,5.0426,1672778100000,142,,2023-01-03 12:35:00-08:00
5.09,5.14,5.09,5.14,5441.0,5.1223,1672778400000,112,,2023-01-03 12:40:00-08:00
5.15,5.17,5.13,5.16,3973.0,5.1534,1672778700000,84,,2023-01-03 12:45:00-08:00
5.155,5.22,5.15,5.22,8705.0,5.184,1672779000000,122,,2023-01-03 12:50:00-08:00
5.23,5.24,5.2,5.24,23828.0,5.2152,1672779300000,404,,2023-01-03 12:55:00-08:00
5.23,5.23,5.23,5.23,5542.0,5.23,1672779600000,8,,2023-01-03 13:00:00-08:00
5.42,5.429,5.4114,5.429,975.0,5.4173,1672853400000,16,,2023-01-04 09:30:00-08:00
5.4271,5.44,5.4271,5.44,906.0,5.4298,1672853700000,18,,2023-01-04 09:35:00-08:00
5.44,5.465,5.44,5.465,2859.0,5.4487,1672854000000,18,,2023-01-04 09:40:00-08:00
5.46,5.46,5.45,5.45,727.0,5.453,1672854300000,15,,2023-01-04 09:45:00-08:00
5.44,5.45,5.44,5.45,1434.0,5.4454,1672854600000,36,,2023-01-04 09:50:00-08:00
5.445,5.445,5.4,5.43,573.0,5.4209,1672854900000,17,,2023-01-04 09:55:00-08:00
5.42,5.425,5.4,5.405,1072.0,5.4154,1672855200000,21,,2023-01-04 10:00:00-08:00
5.405,5.42,5.405,5.42,648.0,5.4177,1672855500000,11,,2023-01-04 10:05:00-08:00
5.41,5.44,5.41,5.41,1231.0,5.4229,1672855800000,28,,2023-01-04 10:10:00-08:00
5.42,5.44,5.42,5.44,1062.0,5.423,1672856100000,31,,2023-01-04 10:15:00-08:00
5.45,5.45,5.4348,5.4348,1046.0,5.4339,1672856400000,11,,2023-01-04 10:20:00-08:00
5.445,5.445,5.445,5.445,100.0,5.445,1672856700000,1,,2023-01-04 10:25:00-08:00
5.46,5.46,5.43,5.43,1993.0,5.4456,1672857000000,24,,2023-01-04 10:30:00-08:00
5.435,5.45,5.43,5.43,1684.0,5.4405,1672857300000,21,,2023-01-04 10:35:00-08:00
5.42,5.42,5.38,5.38,1794.0,5.3967,1672857600000,37,,2023-01-04 10:40:00-08:00
5.38,5.435,5.38,5.43,3186.0,5.4104,1672857900000,47,,2023-01-04 10:45:00-08:00
5.43,5.43,5.43,5.43,660.0,5.4291,1672858200000,7,,2023-01-04 10:50:00-08:00
5.43,5.435,5.42,5.435,7338.0,5.4256,1672858500000,113,,2023-01-04 10:55:00-08:00
5.42,5.44,5.39,5.405,9522.0,5.4126,1672858800000,151,,2023-01-04 11:00:00-08:00
5.405,5.42,5.39,5.39,3005.0,5.4072,1672859100000,37,,2023-01-04 11:05:00-08:00
5.395,5.44,5.39,5.43,6595.0,5.4135,1672859400000,110,,2023-01-04 11:10:00-08:00
5.43,5.435,5.425,5.43,3861.0,5.4305,1672859700000,42,,2023-01-04 11:15:00-08:00
5.43,5.43,5.41,5.415,4511.0,5.4185,1672860000000,73,,2023-01-04 11:20:00-08:00
5.42,5.42,5.41,5.42,5168.0,5.4134,1672860300000,70,,2023-01-04 11:25:00-08:00
5.42,5.43,5.405,5.43,4017.0,5.4146,1672860600000,49,,2023-01-04 11:30:00-08:00
5.43,5.43,5.425,5.425,2954.0,5.4292,1672860900000,24,,2023-01-04 11:35:00-08:00
5.43,5.43,5.41,5.415,4705.0,5.423,1672861200000,74,,2023-01-04 11:40:00-08:00
5.42,5.445,5.42,5.435,5680.0,5.4347,1672861500000,75,,2023-01-04 11:45:00-08:00
5.44,5.44,5.43,5.43,5126.0,5.4346,1672861800000,65,,2023-01-04 11:50:00-08:00
5.435,5.46,5.43,5.46,5529.0,5.4424,1672862100000,64,,2023-01-04 11:55:00-08:00
5.455,5.46,5.45,5.455,4897.0,5.4556,1672862400000,57,,2023-01-04 12:00:00-08:00
5.455,5.475,5.455,5.475,4546.0,5.462,1672862700000,57,,2023-01-04 12:05:00-08:00
5.47,5.5,5.47,5.49,4877.0,5.4867,1672863000000,74,,2023-01-04 12:10:00-08:00
5.5,5.595,5.5,5.59,4999.0,5.5444,1672863300000,95,,2023-01-04 12:15:00-08:00
5.625,5.625,5.588,5.59,9287.0,5.6034,1672863600000,81,,2023-01-04 12:20:00-08:00
5.59,5.59,5.57,5.575,4303.0,5.5815,1672863900000,59,,2023-01-04 12:25:00-08:00
5.57,5.57,5.48,5.49,8439.0,5.5323,1672864200000,137,,2023-01-04 12:30:00-08:00
5.48,5.495,5.47,5.48,7243.0,5.4805,1672864500000,119,,2023-01-04 12:35:00-08:00
5.48,5.5,5.48,5.49,3470.0,5.4889,1672864800000,68,,2023-01-04 12:40:00-08:00
5.485,5.54,5.475,5.525,5107.0,5.5013,1672865100000,94,,2023-01-04 12:45:00-08:00
5.52,5.53,5.5,5.51,10440.0,5.5128,1672865400000,190,,2023-01-04 12:50:00-08:00
5.5,5.52,5.49,5.5,13566.0,5.5032,1672865700000,303,,2023-01-04 12:55:00-08:00
5.49,5.49,5.49,5.49,1192.0,5.49,1672866000000,4,,2023-01-04 13:00:00-08:00
5.14,5.14,5.14,5.14,1228.0,5.1387,1672939800000,24,,2023-01-05 09:30:00-08:00
5.125,5.13,5.115,5.123,1916.0,5.1225,1672940100000,34,,2023-01-05 09:35:00-08:00
5.13,5.14,5.08,5.085,1788.0,5.1192,1672940400000,40,,2023-01-05 09:40:00-08:00
5.085,5.14,5.085,5.12,7340.0,5.1183,1672940700000,59,,2023-01-05 09:45:00-08:00
5.12,5.17,5.12,5.17,3308.0,5.1472,1672941000000,41,,2023-01-05 09:50:00-08:00
5.153,5.2,5.153,5.2,1583.0,5.1838,1672941300000,24,,2023-01-05 09:55:00-08:00
5.2,5.22,5.2,5.22,645.0,5.2135,1672941600000,13,,2023-01-05 10:00:00-08:00
5.23,5.23,5.21,5.21,470.0,5.2189,1672941900000,6,,2023-01-05 10:05:00-08:00
5.215,5.22,5.17,5.175,1914.0,5.1933,1672942200000,32,,2023-01-05 10:10:00-08:00
5.18,5.19,5.17,5.19,1695.0,5.1833,1672942500000,26,,2023-01-05 10:15:00-08:00
5.2,5.235,5.19,5.22,5708.0,5.2088,1672942800000,92,,2023-01-05 10:20:00-08:00
