open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
89.835,89.8425,89.835,89.8425,1.3333,89.838,1672767000000,2,,2023-01-03 09:30:00-08:00
89.835,89.835,89.835,89.835,2.0933,89.835,1672767300000,5,,2023-01-03 09:35:00-08:00
89.985,89.985,88.725,89.835,4.6,89.2295,1672767900000,4,,2023-01-03 09:45:00-08:00
89.805,89.805,89.805,89.805,3.1933,89.802,1672768200000,2,,2023-01-03 09:50:00-08:00
89.685,89.685,89.685,89.685,0.6667,89.685,1672768500000,1,,2023-01-03 09:55:00-08:00
89.46,89.685,88.5,89.685,4.0066999999999995,88.8586,1672768800000,7,,2023-01-03 10:00:00-08:00
88.5,89.685,88.5,89.685,2.92,89.1324,1672769100000,6,,2023-01-03 10:05:00-08:00
88.62,88.62,88.605,88.605,2.8467000000000002,88.6085,1672769400000,4,,2023-01-03 10:10:00-08:00
88.62,88.62,88.62,88.62,0.8467,88.62,1672770000000,2,,2023-01-03 10:20:00-08:00
88.605,88.605,88.605,88.605,0.7333,88.6065,1672770300000,2,,2023-01-03 10:25:00-08:00
88.635,88.635,88.62,88.635,8.6667,88.623,1672770600000,5,,2023-01-03 10:30:00-08:00
88.635,88.635,88.605,88.605,2.0,88.6155,1672770900000,3,,2023-01-03 10:35:00-08:00
88.635,89.685,88.635,89.685,37.7667,88.8825,1672771200000,22,,2023-01-03 10:40:00-08:00
89.685,89.685,89.685,89.685,2.4067,89.685,1672771500000,4,,2023-01-03 10:45:00-08:00
89.67,89.67,89.67,89.67,0.6667,89.67,1672771800000,1,,2023-01-03 10:50:00-08:00
89.16,89.685,89.16,89.685,32.1601,89.4424,1672772100000,13,,2023-01-03 10:55:00-08:00
89.685,89.685,89.67,89.67,1.5867,89.676,1672772400000,2,,2023-01-03 11:00:00-08:00
89.685,89.7,89.1675,89.1675,61.3867,89.6859,1672772700000,23,,2023-01-03 11:05:00-08:00
89.685,89.685,88.65,88.65,4.6667,88.9457,1672773000000,5,,2023-01-03 11:10:00-08:00
88.65,89.145,86.835,88.5,46.26,88.3425,1672773300000,29,,2023-01-03 11:15:00-08:00
88.5,88.5,86.85,87.2475,35.6467,87.5466,1672773600000,18,,2023-01-03 11:20:00-08:00
87.2475,87.645,86.835,87.2475,20.0,87.2196,1672773900000,28,,2023-01-03 11:25:00-08:00
87.2625,87.2625,87.2625,87.2625,4.5134,87.3076,1672774200000,7,,2023-01-03 11:30:00-08:00
87.2625,87.27,86.865,87.27,9.9067,87.0126,1672774500000,11,,2023-01-03 11:35:00-08:00
87.66,87.66,86.88,86.88,13.333300000000001,86.9775,1672774800000,10,,2023-01-03 11:40:00-08:00
87.27,88.5,86.88,87.69,8.666699999999999,87.1986,1672775100000,8,,2023-01-03 11:45:00-08:00
88.095,88.095,88.095,88.095,0.6667,88.095,1672775700000,1,,2023-01-03 11:55:00-08:00
88.485,88.5,87.69,88.095,4.2,88.0663,1672776000000,5,,2023-01-03 12:00:00-08:00
87.495,87.795,87.495,87.795,1.56,87.6229,1672776300000,3,,2023-01-03 12:05:00-08:00
86.895,87.375,86.895,87.3075,8.6667,86.9955,1672776900000,8,,2023-01-03 12:15:00-08:00
87.3075,87.375,87.1275,87.135,61.8333,87.2823,1672777200000,53,,2023-01-03 12:20:00-08:00
86.88,87.1275,86.31,86.31,47.5799,86.8283,1672777500000,40,,2023-01-03 12:25:00-08:00
85.5,86.25,85.5,85.5,79.6067,85.7885,1672777800000,36,,2023-01-03 12:30:00-08:00
85.5,85.725,85.5,85.65,22.799900000000004,85.5846,1672778100000,29,,2023-01-03 12:35:00-08:00
85.65,85.725,85.1325,85.65,28.980099999999997,85.6413,1672778400000,47,,2023-01-03 12:40:00-08:00
85.5,85.8,84.405,85.65,82.35329999999999,84.6723,1672778700000,19,,2023-01-03 12:45:00-08:00
84.39,87.0,84.39,85.725,37.8867,85.2423,1672779000000,20,,2023-01-03 12:50:00-08:00
86.295,87.0,85.725,86.3625,9.620000000000001,86.0503,1672779300000,12,,2023-01-03 12:55:00-08:00
86.985,86.985,86.985,86.985,1.6667,86.985,1672780200000,1,,2023-01-03 13:10:00-08:00
87.0,87.0,87.0,87.0,22.9867,87.0,1672783500000,1,,2023-01-03 14:05:00-08:00
87.0,87.0,87.0,87.0,3.3333,87.0,1672789200000,1,,2023-01-03 15:40:00-08:00
88.485,88.485,87.0,87.0,27.3667,87.8895,1672853400000,10,,2023-01-04 09:30:00-08:00
86.28,88.5,86.28,88.5,9.3867,87.5945,1672853700000,10,,2023-01-04 09:35:00-08:00
87.375,88.3125,87.375,88.3125,8.0,87.8749,1672854000000,10,,2023-01-04 09:40:00-08:00
87.75,88.125,87.75,88.125,4.0,87.8745,1672854600000,5,,2023-01-04 09:50:00-08:00
87.75,88.125,87.75,88.125,4.0,87.875,1672854900000,6,,2023-01-04 09:55:00-08:00
87.75,88.407,87.75,88.14,13.333400000000001,88.1262,1672855200000,11,,2023-01-04 10:00:00-08:00
88.125,88.47,87.66,88.47,6.000099999999999,88.1537,1672856100000,9,,2023-01-04 10:15:00-08:00
88.08,88.08,87.765,87.765,3.6667,88.0411,1672856400000,5,,2023-01-04 10:20:00-08:00
87.75,88.395,87.75,88.035,288.7333,87.8661,1672856700000,54,,2023-01-04 10:25:00-08:00
87.75,88.035,87.675,88.035,16.9,87.7995,1672857000000,12,,2023-01-04 10:30:00-08:00
88.11,88.125,86.535,88.035,98.6667,88.05,1672857300000,41,,2023-01-04 10:35:00-08:00
87.015,87.03,87.015,87.015,266.6667,87.0184,1672858200000,4,,2023-01-04 10:50:00-08:00
87.375,87.705,86.19,87.135,208.3933,86.52,1672858500000,31,,2023-01-04 10:55:00-08:00
87.225,88.41,86.85,87.0,38.5066,87.0628,1672858800000,12,,2023-01-04 11:00:00-08:00
86.985,87.0,86.46,86.475,17.119899999999998,86.7935,1672859100000,13,,2023-01-04 11:05:00-08:00
85.875,86.475,85.035,86.475,237.7867,85.5352,1672859400000,68,,2023-01-04 11:10:00-08:00
86.46,86.475,86.46,86.475,4.0,86.463,1672859700000,2,,2023-01-04 11:15:00-08:00
85.05,87.0,84.4755,87.0,111.3267,85.2059,1672860900000,28,,2023-01-04 11:35:00-08:00
86.55,87.2925,86.55,87.2925,6.6667000000000005,86.7033,1672861200000,6,,2023-01-04 11:40:00-08:00
86.565,86.565,86.55,86.565,10.6667,86.5605,1672861500000,10,,2023-01-04 11:45:00-08:00
85.515,86.565,84.45,86.565,130.0,85.296,1672862100000,42,,2023-01-04 11:55:00-08:00
86.55,86.55,85.2825,85.29,6.0066999999999995,85.9179,1672863000000,6,,2023-01-04 12:10:00-08:00
86.565,86.565,86.565,86.565,1.3333,86.565,1672863300000,4,,2023-01-04 12:15:00-08:00
86.535,86.535,86.4075,86.535,6.2,86.478,1672863600000,3,,2023-01-04 12:20:00-08:00
85.5,86.535,85.5,86.535,1.3333,86.0175,1672863900000,2,,2023-01-04 12:25:00-08:00
86.25,86.535,85.335,85.875,86.6667,86.2084,1672864200000,19,,2023-01-04 12:30:00-08:00
87.735,87.735,85.89,85.89,9.3333,87.198,1672864500000,5,,2023-01-04 12:35:00-08:00
85.5,86.985,84.03,86.4,77.33340000000001,84.4757,1672864800000,17,,2023-01-04 12:40:00-08:00
84.165,85.515,81.9,85.515,376.0867,82.6451,1672865100000,47,,2023-01-04 12:45:00-08:00
85.485,86.985,85.485,86.985,15.566699999999999,85.703,1672865400000,7,,2023-01-04 12:50:00-08:00
85.8675,86.985,83.421,86.985,150.14000000000001,84.851,1672865700000,23,,2023-01-04 12:55:00-08:00
87.0,87.0,87.0,87.0,0.6667,87.0,1672866000000,1,,2023-01-04 13:00:00-08:00
87.0,87.0,87.0,87.0,0.6667,87.0,1672868400000,1,,2023-01-04 13:40:00-08:00
87.0,87.0,87.0,87.0,1.7933,87.0,1672869900000,1,,2023-01-04 14:05:00-08:00
87.0,87.0,87.0,87.0,0.68,87.0,1672875300000,1,,2023-01-04 15:35:00-08:00
87.0,87.0,87.0,87.0,1.12,87.0,1672876500000,2,,2023-01-04 15:55:00-08:00
86.265,87.375,86.265,87.375,11.600100000000001,86.7271,1672939800000,9,,2023-01-05 09:30:00-08:00
86.265,88.5,85.11,87.78,162.6933,86.2848,1672940400000,56,,2023-01-05 09:40:00-08:00
85.56,88.5,84.0,84.165,208.11999999999998,85.4542,1672940700000,59,,2023-01-05 09:45:00-08:00
88.5,88.5,86.2575,86.2575,3.3333,88.0515,1672941000000,2,,2023-01-05 09:50:00-08:00
86.85,88.5,84.0,87.78,53.4667,87.5214,1672941300000,20,,2023-01-05 09:55:00-08:00
87.78,87.78,87.78,87.78,1.2667,87.78,1672942200000,1,,2023-01-05 10:10:00-08:00
86.2425,88.485,86.2425,88.485,8.6667,86.733,1672942500000,3,,2023-01-05 10:15:00-08:00
85.515,87.78,85.515,87.78,1.3333,86.6475,1672943400000,2,,2023-01-05 10:30:00-08:00
85.5,88.485,84.0,87.78,69.3333,85.3055,1672943700000,23,,2023-01-05 10:35:00-08:00
87.0,88.485,86.25,86.25,6.4399999999999995,87.4968,1672944000000,9,,2023-01-05 10:40:00-08:00
84.54,88.485,84.54,88.485,31.600099999999998,86.3333,1672944600000,15,,2023-01-05 10:50:00-08:00
88.485,88.485,86.505,87.06,13.72,88.0186,1672944900000,11,,2023-01-05 10:55:00-08:00
85.725,85.725,85.725,85.725,1.3267,85.725,1672945500000,1,,2023-01-05 11:05:00-08:00
86.985,87.0,86.985,87.0,8.0,86.9865,1672945800000,5,,2023-01-05 11:10:00-08:00
86.3025,86.3025,86.3025,86.3025,0.6667,86.3025,1672946400000,1,,2023-01-05 11:20:00-08:00
85.635,86.985,84.585,86.985,12.4667,85.3155,1672946700000,13,,2023-01-05 11:25:00-08:00
84.6,87.0,84.6,86.985,9.6667,86.1279,1672947000000,11,,2023-01-05 11:30:00-08:00
86.97,86.985,86.97,86.985,6.6667,86.9745,1672947300000,4,,2023-01-05 11:35:00-08:00
86.25,86.985,86.25,86.985,1.3333,86.6175,1672947600000,2,,2023-01-05 11:40:00-08:00
86.3025,86.3025,86.3025,86.3025,7.933300000000001,86.3025,1672948500000,7,,2023-01-05 11:55:00-08:00
86.25,86.25,86.25,86.25,0.6667,86.25,1672948800000,1,,2023-01-05 12:00:00-08:00
86.295,86.3025,86.295,86.3025,5.3333,86.298,1672949100000,4,,2023-01-05 12:05:00-08:00
86.3025,86.3025,86.25,86.3025,3.0,86.2733,1672949400000,5,,2023-01-05 12:10:00-08:00
86.115,86.985,85.62,86.985,7.380000000000001,86.0591,1672949700000,7,,2023-01-05 12:15:00-08:00
86.97,86.985,86.2425,86.985,25.200000000000003,86.9649,1672950000000,7,,2023-01-05 12:20:00-08:00
86.25,86.985,86.25,86.985,10.6667,86.4345,1672950300000,10,,2023-01-05 12:25:00-08:00
86.985,86.985,85.5,86.985,23.893300000000004,86.7701,1672950600000,15,,2023-01-05 12:30:00-08:00
86.6445,86.985,86.6445,86.985,16.16,86.742,1672950900000,8,,2023-01-05 12:35:00-08:00
86.3025,86.985,86.295,86.835,177.1067,86.8968,1672951200000,19,,2023-01-05 12:40:00-08:00
86.31,87.0,86.31,86.97,30.253399999999996,86.6094,1672951500000,29,,2023-01-05 12:45:00-08:00
86.58,87.495,86.55,87.495,197.4933,86.9565,1672951800000,57,,2023-01-05 12:50:00-08:00
88.02,88.5,86.97,88.485,48.4066,87.6351,1672952100000,29,,2023-01-05 12:55:00-08:00
