open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
23.205,23.205,23.18,23.185,810,23.184,1672767300000,28,,2023-01-03 09:35:00-08:00
23.16,23.16,23.11,23.14,852,23.1358,1672767600000,29,,2023-01-03 09:40:00-08:00
23.11,23.125,23.1,23.125,1541,23.1122,1672768500000,51,,2023-01-03 09:55:00-08:00
23.11,23.11,23.06,23.06,735,23.0899,1672768800000,19,,2023-01-03 10:00:00-08:00
23.115,23.115,23.115,23.115,206,23.1048,1672769100000,5,,2023-01-03 10:05:00-08:00
23.115,23.115,23.115,23.115,120,23.1166,1672769400000,9,,2023-01-03 10:10:00-08:00
23.15,23.21,23.15,23.21,999,23.1765,1672770300000,26,,2023-01-03 10:25:00-08:00
23.23,23.23,23.13,23.13,2014,23.1913,1672770600000,49,,2023-01-03 10:30:00-08:00
23.145,23.145,23.145,23.145,153,23.1466,1672770900000,10,,2023-01-03 10:35:00-08:00
23.16,23.16,23.16,23.16,378,23.1612,1672771200000,18,,2023-01-03 10:40:00-08:00
23.16,23.165,23.15,23.165,1324,23.1549,1672771500000,37,,2023-01-03 10:45:00-08:00
23.205,23.205,23.2,23.2,544,23.1952,1672771800000,28,,2023-01-03 10:50:00-08:00
23.18,23.19,23.18,23.19,326,23.1842,1672772100000,8,,2023-01-03 10:55:00-08:00
23.17,23.17,23.12,23.15,1754,23.1451,1672772400000,43,,2023-01-03 11:00:00-08:00
23.13,23.13,23.12,23.12,490,23.1281,1672772700000,13,,2023-01-03 11:05:00-08:00
23.08,23.08,23.04,23.05,1004,23.0666,1672773000000,31,,2023-01-03 11:10:00-08:00
23.05,23.05,22.985,22.985,1546,23.0178,1672773300000,38,,2023-01-03 11:15:00-08:00
23.02,23.02,23.005,23.015,1122,23.0144,1672773600000,42,,2023-01-03 11:20:00-08:00
22.97,22.97,22.97,22.97,473,22.9837,1672773900000,22,,2023-01-03 11:25:00-08:00
22.97,22.97,22.93,22.93,936,22.9509,1672774200000,40,,2023-01-03 11:30:00-08:00
22.9354,23.02,22.935,23.02,1707,22.9689,1672774800000,41,,2023-01-03 11:40:00-08:00
23.0,23.09,23.0,23.055,2005,23.0491,1672775100000,51,,2023-01-03 11:45:00-08:00
23.05,23.05,23.02,23.035,1449,23.0297,1672775400000,62,,2023-01-03 11:50:00-08:00
23.04,23.08,23.04,23.08,1375,23.0542,1672775700000,52,,2023-01-03 11:55:00-08:00
23.07,23.07,23.03,23.05,1617,23.0556,1672776000000,67,,2023-01-03 12:00:00-08:00
23.065,23.08,23.02,23.02,2507,23.0554,1672776300000,50,,2023-01-03 12:05:00-08:00
23.015,23.015,23.0,23.015,739,23.0124,1672776600000,20,,2023-01-03 12:10:00-08:00
