open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
7.655,7.655,7.655,7.655,100,7.655,1672767600000,1,,2023-01-03 09:40:00-08:00
7.655,7.655,7.655,7.655,100,7.655,1672768500000,1,,2023-01-03 09:55:00-08:00
7.655,7.655,7.655,7.655,100,7.655,1672769400000,1,,2023-01-03 10:10:00-08:00
7.655,7.655,7.655,7.655,100,7.655,1672770300000,1,,2023-01-03 10:25:00-08:00
7.655,7.66,7.61,7.61,4935,7.6342,1672771500000,26,,2023-01-03 10:45:00-08:00
7.655,7.655,7.655,7.655,100,7.655,1672773300000,1,,2023-01-03 11:15:00-08:00
7.645,7.645,7.645,7.645,101,7.6448,1672774800000,2,,2023-01-03 11:40:00-08:00
7.65,7.65,7.65,7.65,100,7.65,1672775100000,1,,2023-01-03 11:45:00-08:00
7.61,7.635,7.61,7.635,565,7.6144,1672777200000,2,,2023-01-03 12:20:00-08:00
7.63,7.63,7.63,7.63,3868,7.63,1672777800000,1,,2023-01-03 12:30:00-08:00
7.6449,7.6449,7.6449,7.6449,1336,7.6449,1672779300000,1,,2023-01-03 12:55:00-08:00
7.6931,7.6931,7.6931,7.6931,260,7.6931,1672858500000,1,,2023-01-04 10:55:00-08:00
7.7,7.7,7.7,7.7,432,7.7,1672859700000,2,,2023-01-04 11:15:00-08:00
7.674,7.674,7.674,7.674,260,7.6741,1672862100000,2,,2023-01-04 11:55:00-08:00
7.66,7.66,7.66,7.66,133,7.6615,1672865100000,2,,2023-01-04 12:45:00-08:00
7.67,7.67,7.67,7.67,158,7.6703,1672865700000,2,,2023-01-04 12:55:00-08:00
7.67,7.67,7.67,7.67,233,7.67,1672944300000,2,,2023-01-05 10:45:00-08:00
7.78,7.78,7.78,7.78,135,7.78,1673033100000,1,,2023-01-06 11:25:00-08:00
7.785,7.785,7.785,7.785,100,7.785,1673036700000,1,,2023-01-06 12:25:00-08:00
7.8088,7.8088,7.8088,7.8088,228,7.8088,1673037300000,1,,2023-01-06 12:35:00-08:00
7.8181,7.8181,7.8181,7.8181,2660,7.8181,1673285400000,1,,2023-01-09 09:30:00-08:00
7.8252,7.8252,7.8252,7.8252,152,7.8252,1673286600000,1,,2023-01-09 09:50:00-08:00
7.825,7.825,7.825,7.825,238,7.825,1673288100000,1,,2023-01-09 10:15:00-08:00
7.825,7.84,7.81,7.81,5888,7.8228,1673293200000,24,,2023-01-09 11:40:00-08:00
7.84,7.85,7.84,7.85,14023,7.8474,1673293500000,27,,2023-01-09 11:45:00-08:00
7.8287,7.8287,7.8287,7.8287,681,7.8287,1673293800000,1,,2023-01-09 11:50:00-08:00
7.83,7.83,7.83,7.83,440,7.8273,1673295600000,6,,2023-01-09 12:20:00-08:00
7.794,7.794,7.794,7.794,1616,7.794,1673373900000,3,,2023-01-10 10:05:00-08:00
7.78,7.78,7.78,7.78,9102,7.78,1673379300000,24,,2023-01-10 11:35:00-08:00
7.9,7.9,7.9,7.9,200,7.9,1673545500000,2,,2023-01-12 09:45:00-08:00
7.92,7.92,7.92,7.92,142,7.92,1673549400000,1,,2023-01-12 10:50:00-08:00
7.925,7.925,7.925,7.925,874,7.925,1673550900000,1,,2023-01-12 11:15:00-08:00
7.93,7.93,7.9187,7.9187,1400,7.9244,1673554200000,12,,2023-01-12 12:10:00-08:00
7.9192,7.9192,7.9192,7.9192,242,7.9192,1673555100000,1,,2023-01-12 12:25:00-08:00
7.92,7.92,7.92,7.92,402,7.9204,1673640300000,4,,2023-01-13 12:05:00-08:00
7.9199,7.9199,7.9199,7.9199,634,7.9199,1673983800000,1,,2023-01-17 11:30:00-08:00
7.94,7.95,7.925,7.94,20555,7.9396,1673985900000,41,,2023-01-17 12:05:00-08:00
7.92,7.9496,7.92,7.9496,3515,7.9397,1673986800000,10,,2023-01-17 12:20:00-08:00
7.9101,7.9101,7.9101,7.9101,755,7.9101,1674064200000,1,,2023-01-18 09:50:00-08:00
7.96,7.97,7.96,7.9695,5051,7.9671,1674066300000,8,,2023-01-18 10:25:00-08:00
7.93,7.93,7.93,7.93,305,7.9302,1674068100000,4,,2023-01-18 10:55:00-08:00
7.97,7.97,7.9492,7.9492,2859,7.9608,1674068400000,10,,2023-01-18 11:00:00-08:00
7.945,7.945,7.945,7.945,112,7.945,1674069600000,2,,2023-01-18 11:20:00-08:00
7.95,7.95,7.95,7.95,1295,7.95,1674069900000,1,,2023-01-18 11:25:00-08:00
7.96,7.96,7.96,7.96,118,7.96,1674073200000,1,,2023-01-18 12:20:00-08:00
7.945,7.945,7.945,7.945,1205,7.945,1674073800000,1,,2023-01-18 12:30:00-08:00
7.96,7.96,7.9495,7.9495,2506,7.9579,1674151500000,2,,2023-01-19 10:05:00-08:00
7.93,7.93,7.93,7.93,503,7.93,1674152400000,1,,2023-01-19 10:20:00-08:00
7.955,7.9794,7.93,7.93,1161,7.9507,1674152700000,9,,2023-01-19 10:25:00-08:00
7.9596,7.9596,7.9596,7.9596,432,7.9596,1674153300000,1,,2023-01-19 10:35:00-08:00
7.98,7.99,7.98,7.99,2134,7.9806,1674153600000,4,,2023-01-19 10:40:00-08:00
7.955,7.955,7.955,7.955,312,7.955,1674154200000,1,,2023-01-19 10:50:00-08:00
7.97,7.97,7.94,7.94,4339,7.9667,1674155100000,4,,2023-01-19 11:05:00-08:00
7.9622,7.9622,7.9622,7.9622,237,7.9623,1674160200000,3,,2023-01-19 12:30:00-08:00
7.965,7.965,7.965,7.965,921,7.965,1674236100000,1,,2023-01-20 09:35:00-08:00
7.97,7.97,7.97,7.97,405,7.97,1674240300000,1,,2023-01-20 10:45:00-08:00
7.99,7.99,7.975,7.99,4922,7.9838,1674241200000,21,,2023-01-20 11:00:00-08:00
7.975,7.975,7.975,7.975,1179,7.975,1674243300000,2,,2023-01-20 11:35:00-08:00
7.9698,7.9698,7.9698,7.9698,284,7.9698,1674244500000,1,,2023-01-20 11:55:00-08:00
7.9999,7.9999,7.9999,7.9999,213,7.9999,1674244800000,1,,2023-01-20 12:00:00-08:00
7.96,7.96,7.96,7.96,614,7.96,1674245700000,7,,2023-01-20 12:15:00-08:00
7.975,7.975,7.975,7.975,639,7.975,1674246000000,1,,2023-01-20 12:20:00-08:00
7.965,7.965,7.965,7.965,148,7.965,1674495900000,1,,2023-01-23 09:45:00-08:00
7.98,7.98,7.975,7.975,3928,7.9794,1674498300000,2,,2023-01-23 10:25:00-08:00
7.9811,7.9811,7.9811,7.9811,2052,7.9811,1674499200000,1,,2023-01-23 10:40:00-08:00
7.975,7.975,7.975,7.975,219,7.975,1674499500000,2,,2023-01-23 10:45:00-08:00
7.975,7.99,7.975,7.99,5049,7.9865,1674501000000,13,,2023-01-23 11:10:00-08:00
7.965,7.98,7.965,7.98,856,7.9779,1674507000000,3,,2023-01-23 12:50:00-08:00
8.03,8.03,8.03,8.03,4015,8.03,1674585300000,1,,2023-01-24 10:35:00-08:00
8.02,8.02,8.02,8.02,848,8.02,1674587100000,2,,2023-01-24 11:05:00-08:00
8.04,8.04,8.02,8.02,549,8.0309,1674588000000,4,,2023-01-24 11:20:00-08:00
8.03,8.03,8.03,8.03,2136,8.03,1674589200000,1,,2023-01-24 11:40:00-08:00
8.0296,8.0296,8.01,8.01,2447,8.0261,1674590100000,3,,2023-01-24 11:55:00-08:00
8.03,8.03,8.03,8.03,4943,8.03,1674591600000,1,,2023-01-24 12:20:00-08:00
8.005,8.02,8.005,8.02,455,8.0083,1674667800000,3,,2023-01-25 09:30:00-08:00
8.005,8.005,8.005,8.005,835,8.0051,1674668100000,2,,2023-01-25 09:35:00-08:00
8.01,8.01,8.01,8.01,1082,8.01,1674668400000,1,,2023-01-25 09:40:00-08:00
8.01,8.01,8.01,8.01,1593,8.01,1674669000000,1,,2023-01-25 09:50:00-08:00
8.025,8.025,8.025,8.025,379,8.025,1674673200000,2,,2023-01-25 11:00:00-08:00
8.025,8.025,8.025,8.025,394,8.025,1674673500000,1,,2023-01-25 11:05:00-08:00
8.0323,8.0323,8.0323,8.0323,275,8.0323,1674677100000,1,,2023-01-25 12:05:00-08:00
8.0317,8.0317,8.0317,8.0317,949,8.0317,1674677700000,1,,2023-01-25 12:15:00-08:00
8.04,8.04,8.04,8.04,200,8.04,1674678000000,1,,2023-01-25 12:20:00-08:00
