open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
17.06,17.07,17.05,17.07,5668,17.0582,1672767000000,96,,2023-01-03 09:30:00-08:00
17.07,17.1,17.05,17.05,4680,17.0737,1672767300000,85,,2023-01-03 09:35:00-08:00
17.05,17.05,17.03,17.04,3336,17.0418,1672767600000,64,,2023-01-03 09:40:00-08:00
17.04,17.04,17.01,17.02,4271,17.0193,1672767900000,68,,2023-01-03 09:45:00-08:00
17.01,17.07,17.01,17.06,3278,17.0383,1672768200000,62,,2023-01-03 09:50:00-08:00
17.05,17.055,17.03,17.04,5091,17.0422,1672768500000,86,,2023-01-03 09:55:00-08:00
17.03,17.03,16.965,16.97,28215,16.9988,1672768800000,119,,2023-01-03 10:00:00-08:00
16.97,16.98,16.97,16.975,1862,16.9757,1672769100000,31,,2023-01-03 10:05:00-08:00
16.975,17.0,16.91,16.91,4456,16.979,1672769400000,77,,2023-01-03 10:10:00-08:00
16.89,16.91,16.87,16.91,5452,16.8947,1672769700000,103,,2023-01-03 10:15:00-08:00
16.905,16.905,16.8998,16.9,920,16.9006,1672770000000,25,,2023-01-03 10:20:00-08:00
16.91,16.94,16.91,16.92,4374,16.9209,1672770300000,86,,2023-01-03 10:25:00-08:00
16.915,16.92,16.8,16.8,4441,16.8474,1672770600000,63,,2023-01-03 10:30:00-08:00
16.8,16.81,16.79,16.8,5028,16.7973,1672770900000,93,,2023-01-03 10:35:00-08:00
16.795,16.795,16.79,16.79,2265,16.7906,1672771200000,48,,2023-01-03 10:40:00-08:00
16.79,16.81,16.79,16.81,5037,16.797,1672771500000,112,,2023-01-03 10:45:00-08:00
16.81,16.81,16.79,16.79,2679,16.8039,1672771800000,56,,2023-01-03 10:50:00-08:00
16.8,16.805,16.785,16.785,2544,16.7969,1672772100000,69,,2023-01-03 10:55:00-08:00
16.78,16.79,16.76,16.79,8197,16.7732,1672772400000,131,,2023-01-03 11:00:00-08:00
16.78,16.78,16.75,16.75,2707,16.7641,1672772700000,57,,2023-01-03 11:05:00-08:00
16.75,16.75,16.69,16.69,2976,16.7228,1672773000000,65,,2023-01-03 11:10:00-08:00
16.674,16.674,16.63,16.63,9212,16.6501,1672773300000,154,,2023-01-03 11:15:00-08:00
16.63,16.65,16.62,16.62,3437,16.6346,1672773600000,93,,2023-01-03 11:20:00-08:00
16.6,16.61,16.6,16.61,2040,16.6029,1672773900000,53,,2023-01-03 11:25:00-08:00
16.61,16.61,16.565,16.57,3037,16.5862,1672774200000,67,,2023-01-03 11:30:00-08:00
16.565,16.57,16.52,16.525,3924,16.5448,1672774500000,59,,2023-01-03 11:35:00-08:00
16.52,16.56,16.52,16.56,5154,16.535,1672774800000,90,,2023-01-03 11:40:00-08:00
16.58,16.61,16.58,16.61,3968,16.5967,1672775100000,93,,2023-01-03 11:45:00-08:00
16.62,16.64,16.59,16.64,7119,16.6027,1672775400000,126,,2023-01-03 11:50:00-08:00
16.66,16.7,16.66,16.7,2806,16.6693,1672775700000,77,,2023-01-03 11:55:00-08:00
16.69,16.705,16.635,16.635,3700,16.6817,1672776000000,79,,2023-01-03 12:00:00-08:00
16.63,16.65,16.625,16.64,4083,16.6384,1672776300000,79,,2023-01-03 12:05:00-08:00
16.65,16.66,16.65,16.66,3521,16.6567,1672776600000,89,,2023-01-03 12:10:00-08:00
16.67,16.705,16.67,16.69,4382,16.6827,1672776900000,88,,2023-01-03 12:15:00-08:00
16.695,16.695,16.64,16.655,8863,16.6626,1672777200000,150,,2023-01-03 12:20:00-08:00
16.65,16.675,16.65,16.675,5224,16.6587,1672777500000,89,,2023-01-03 12:25:00-08:00
