open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
3.1022,3.1022,3.1022,3.1022,10.0,3.1022,1672776000000,1,,2023-01-03 12:00:00-08:00
2.8815,2.8815,2.8815,2.8815,11.3,2.8815,1672855500000,1,,2023-01-04 10:05:00-08:00
2.705,2.705,2.705,2.705,34.0,2.7135,1672855800000,7,,2023-01-04 10:10:00-08:00
2.899,2.9,2.899,2.9,1605.0,2.9,1672857000000,15,,2023-01-04 10:30:00-08:00
2.705,2.705,2.705,2.705,10.0,2.705,1672857300000,1,,2023-01-04 10:35:00-08:00
2.9,2.9,2.9,2.9,90.1,2.9,1672857900000,2,,2023-01-04 10:45:00-08:00
2.9,2.9,2.899,2.899,1000.5,2.8995,1672858200000,27,,2023-01-04 10:50:00-08:00
2.899,2.899,2.899,2.899,20.0,2.899,1672863900000,1,,2023-01-04 12:25:00-08:00
3.001,3.001,3.0,3.0,993.0,3.0001,1672941600000,9,,2023-01-05 10:00:00-08:00
2.9415,2.9415,2.9415,2.9415,20.0,2.9415,1672943400000,2,,2023-01-05 10:30:00-08:00
2.9405,2.9405,2.9405,2.9405,30.0,2.9405,1672944000000,2,,2023-01-05 10:40:00-08:00
2.941,2.941,2.9405,2.9405,30.0,2.9408,1672944900000,3,,2023-01-05 10:55:00-08:00
2.94,2.941,2.736,2.736,1105.7,2.764,1672948800000,32,,2023-01-05 12:00:00-08:00
2.736,3.0,2.736,3.0,87.1,2.9697,1672949100000,8,,2023-01-05 12:05:00-08:00
2.9,2.9,2.9,2.9,10.0,2.9,1672950300000,1,,2023-01-05 12:25:00-08:00
2.999,2.999,2.999,2.999,30.0,2.999,1673038200000,1,,2023-01-06 12:50:00-08:00
3.0,3.0,3.0,3.0,20.0,3.0,1673041200000,1,,2023-01-06 13:40:00-08:00
3.107,3.107,3.107,3.107,32.4,3.107,1673290500000,1,,2023-01-09 10:55:00-08:00
3.03,3.107,3.03,3.107,110.0,3.037,1673292000000,2,,2023-01-09 11:20:00-08:00
3.107,3.107,3.107,3.107,100.0,3.107,1673292900000,1,,2023-01-09 11:35:00-08:00
3.014,3.014,3.014,3.014,10.0,3.014,1673294700000,1,,2023-01-09 12:05:00-08:00
3.014,3.0233,3.014,3.014,70.0,3.018,1673296800000,3,,2023-01-09 12:40:00-08:00
3.164,3.2,3.164,3.2,20.0,3.182,1673297700000,2,,2023-01-09 12:55:00-08:00
3.2,3.2,3.2,3.2,50.0,3.1994,1673299500000,3,,2023-01-09 13:25:00-08:00
3.301,3.301,3.301,3.301,19.6,3.301,1673377500000,1,,2023-01-10 11:05:00-08:00
3.257,3.257,3.257,3.257,32.4,3.2701,1673378100000,2,,2023-01-10 11:15:00-08:00
3.208,3.208,3.208,3.208,10.1,3.208,1673378400000,1,,2023-01-10 11:20:00-08:00
3.101,3.101,3.101,3.101,10.0,3.101,1673379600000,1,,2023-01-10 11:40:00-08:00
3.102,3.102,3.102,3.102,10.0,3.102,1673379900000,1,,2023-01-10 11:45:00-08:00
3.238,3.238,3.238,3.238,10.0,3.238,1673458200000,1,,2023-01-11 09:30:00-08:00
3.201,3.201,3.201,3.201,10.0,3.201,1673460000000,1,,2023-01-11 10:00:00-08:00
3.058,3.058,3.058,3.058,29.8,3.058,1673467200000,1,,2023-01-11 12:00:00-08:00
3.129,3.129,3.129,3.129,20.0,3.129,1673468100000,1,,2023-01-11 12:15:00-08:00
3.55,3.849,3.549,3.849,232.6,3.7118,1673544600000,10,,2023-01-12 09:30:00-08:00
3.575,3.677,3.3,3.303,2081.9,3.5748,1673545200000,21,,2023-01-12 09:40:00-08:00
3.574,3.574,3.574,3.574,375.0,3.574,1673545500000,2,,2023-01-12 09:45:00-08:00
3.301,3.3265,3.301,3.3265,21.2,3.313,1673546400000,3,,2023-01-12 10:00:00-08:00
3.4,3.4,3.399,3.399,130.3,3.3992,1673547300000,6,,2023-01-12 10:15:00-08:00
3.3841,3.3841,3.3841,3.3841,11.7,3.3891,1673547600000,3,,2023-01-12 10:20:00-08:00
3.384,3.384,3.384,3.384,10.0,3.384,1673547900000,1,,2023-01-12 10:25:00-08:00
3.362,3.362,3.362,3.362,16.1,3.362,1673548500000,2,,2023-01-12 10:35:00-08:00
3.362,3.362,3.362,3.362,10.0,3.362,1673549100000,1,,2023-01-12 10:45:00-08:00
3.4781,3.4781,3.4781,3.4781,17.5,3.4781,1673551200000,1,,2023-01-12 11:20:00-08:00
3.363,3.363,3.363,3.363,56.0,3.3637,1673551500000,2,,2023-01-12 11:25:00-08:00
3.362,3.362,3.051,3.051,268.2,3.1208,1673552100000,9,,2023-01-12 11:35:00-08:00
3.205,3.205,3.205,3.205,58.1,3.205,1673552400000,1,,2023-01-12 11:40:00-08:00
3.431,3.521,3.431,3.521,62.5,3.5071,1673556600000,4,,2023-01-12 12:50:00-08:00
3.521,3.521,3.521,3.521,50.0,3.521,1673559900000,1,,2023-01-12 13:45:00-08:00
3.575,3.575,3.575,3.575,201.0,3.5732,1673566800000,8,,2023-01-12 15:40:00-08:00
3.287,3.287,3.287,3.287,15.0,3.287,1673567700000,1,,2023-01-12 15:55:00-08:00
3.662,3.662,3.611,3.611,84.3,3.6257,1673633400000,7,,2023-01-13 10:10:00-08:00
3.521,3.521,3.52,3.52,598.7,3.5209,1673636100000,9,,2023-01-13 10:55:00-08:00
3.52,3.52,3.52,3.52,21.0,3.52,1673639400000,2,,2023-01-13 11:50:00-08:00
3.612,3.612,3.5665,3.612,300.0,3.5968,1673640300000,3,,2023-01-13 12:05:00-08:00
3.59,3.59,3.59,3.59,10.0,3.59,1673641800000,1,,2023-01-13 12:30:00-08:00
3.613,3.6985,3.6045,3.697,86.0,3.6439,1673643300000,12,,2023-01-13 12:55:00-08:00
3.694,3.694,3.694,3.694,15.0,3.694,1673976900000,1,,2023-01-17 09:35:00-08:00
3.597,3.597,3.597,3.597,18.0,3.5974,1674073800000,2,,2023-01-18 12:30:00-08:00
3.8,3.8,3.8,3.8,68.0,3.8,1674149700000,1,,2023-01-19 09:35:00-08:00
3.8,3.801,3.8,3.801,243.3,3.8009,1674150000000,3,,2023-01-19 09:40:00-08:00
3.801,3.891,3.71,3.71,754.0,3.8461,1674150300000,11,,2023-01-19 09:45:00-08:00
3.942,3.942,3.942,3.942,50.0,3.942,1674151500000,1,,2023-01-19 10:05:00-08:00
3.8,3.8,3.8,3.8,98.0,3.8,1674154500000,2,,2023-01-19 10:55:00-08:00
