open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
4.945,4.95,4.94,4.94,3806.0,4.9448,1672767000000,42,,2023-01-03 09:30:00-08:00
4.9435,4.95,4.94,4.9472,2947.0,4.9449,1672767300000,38,,2023-01-03 09:35:00-08:00
4.94,4.9499,4.93,4.935,23714.0,4.9388,1672767600000,109,,2023-01-03 09:40:00-08:00
4.935,4.935,4.925,4.925,7666.0,4.9299,1672767900000,69,,2023-01-03 09:45:00-08:00
4.93,4.93,4.92,4.92,7477.0,4.9259,1672768200000,79,,2023-01-03 09:50:00-08:00
4.92,4.925,4.915,4.925,5254.0,4.9205,1672768500000,72,,2023-01-03 09:55:00-08:00
4.925,4.925,4.915,4.925,2513.0,4.9197,1672768800000,38,,2023-01-03 10:00:00-08:00
4.925,4.9276,4.92,4.92,3351.0,4.9222,1672769100000,39,,2023-01-03 10:05:00-08:00
4.925,4.925,4.91,4.91,10575.0,4.9168,1672769400000,61,,2023-01-03 10:10:00-08:00
4.915,4.9192,4.91,4.915,2472.0,4.9168,1672769700000,40,,2023-01-03 10:15:00-08:00
4.91,4.915,4.905,4.915,10168.0,4.9099,1672770000000,85,,2023-01-03 10:20:00-08:00
4.915,4.925,4.915,4.925,6667.0,4.9202,1672770300000,61,,2023-01-03 10:25:00-08:00
4.925,4.925,4.92,4.925,1701.0,4.9228,1672770600000,41,,2023-01-03 10:30:00-08:00
4.925,4.94,4.925,4.93,5796.0,4.9302,1672770900000,74,,2023-01-03 10:35:00-08:00
4.935,4.95,4.935,4.95,5210.0,4.9406,1672771200000,58,,2023-01-03 10:40:00-08:00
4.945,4.96,4.945,4.95,21412.0,4.9497,1672771500000,129,,2023-01-03 10:45:00-08:00
4.945,4.96,4.945,4.96,4983.0,4.9505,1672771800000,42,,2023-01-03 10:50:00-08:00
4.955,4.96,4.95,4.955,4265.0,4.9553,1672772100000,48,,2023-01-03 10:55:00-08:00
4.95,4.96,4.95,4.955,5273.0,4.9505,1672772400000,56,,2023-01-03 11:00:00-08:00
4.955,4.955,4.95,4.95,7154.0,4.9521,1672772700000,98,,2023-01-03 11:05:00-08:00
4.95,4.955,4.945,4.945,7581.0,4.9504,1672773000000,101,,2023-01-03 11:10:00-08:00
