open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
82.95,83.05,82.89,82.89,3903,82.9805,1672767000000,105,,2023-01-03 09:30:00-08:00
82.755,82.755,82.7,82.7,579,82.6957,1672767300000,26,,2023-01-03 09:35:00-08:00
82.655,82.74,82.62,82.62,2000,82.6864,1672767600000,78,,2023-01-03 09:40:00-08:00
82.59,82.59,82.25,82.415,2579,82.3955,1672767900000,114,,2023-01-03 09:45:00-08:00
82.4868,82.4868,82.415,82.415,686,82.4603,1672768200000,6,,2023-01-03 09:50:00-08:00
82.43,82.53,82.43,82.47,1240,82.4598,1672768500000,66,,2023-01-03 09:55:00-08:00
82.49,82.49,82.43,82.43,519,82.4779,1672768800000,20,,2023-01-03 10:00:00-08:00
82.6,82.6,82.44,82.44,538,82.4972,1672769100000,27,,2023-01-03 10:05:00-08:00
82.38,82.435,82.23,82.23,918,82.3824,1672769400000,72,,2023-01-03 10:10:00-08:00
82.285,82.355,82.285,82.33,2102,82.3342,1672769700000,60,,2023-01-03 10:15:00-08:00
82.35,82.718,82.35,82.64,2280,82.5003,1672770000000,81,,2023-01-03 10:20:00-08:00
82.74,83.0955,82.74,82.96,3710,82.9314,1672770300000,163,,2023-01-03 10:25:00-08:00
83.03,83.03,82.905,82.905,1927,82.9563,1672770600000,57,,2023-01-03 10:30:00-08:00
83.02,83.05,82.97,82.9975,2909,82.9891,1672770900000,74,,2023-01-03 10:35:00-08:00
82.82,82.85,82.68,82.68,1789,82.7643,1672771200000,103,,2023-01-03 10:40:00-08:00
82.85,83.11,82.81,82.98,11902,82.9965,1672771800000,274,,2023-01-03 10:50:00-08:00
82.775,82.775,82.74,82.74,619,82.7221,1672772700000,27,,2023-01-03 11:05:00-08:00
82.72,82.72,82.72,82.72,269,82.7201,1672773000000,11,,2023-01-03 11:10:00-08:00
82.77,82.85,82.7,82.705,1832,82.753,1672773300000,77,,2023-01-03 11:15:00-08:00
82.78,82.78,82.54,82.54,656,82.6004,1672773600000,44,,2023-01-03 11:20:00-08:00
82.43,82.6,82.43,82.57,2091,82.5642,1672773900000,90,,2023-01-03 11:25:00-08:00
82.54,82.655,82.43,82.43,1405,82.5425,1672774200000,39,,2023-01-03 11:30:00-08:00
82.42,82.42,82.42,82.42,370,82.3872,1672774500000,17,,2023-01-03 11:35:00-08:00
82.38,82.63,82.38,82.63,1616,82.4843,1672774800000,79,,2023-01-03 11:40:00-08:00
