open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
260.38,260.63,260.27,260.5,18117.0,260.4314,1672767000000,517,,2023-01-03 09:30:00-08:00
260.51,260.55,260.1917,260.28,13306.0,260.2904,1672767300000,263,,2023-01-03 09:35:00-08:00
260.25,260.25,259.79,259.8,15762.0,259.9533,1672767600000,488,,2023-01-03 09:40:00-08:00
259.84,259.9,259.37,259.61,22836.0,259.5632,1672767900000,614,,2023-01-03 09:45:00-08:00
259.6,259.7,259.47,259.64,15802.0,259.6157,1672768200000,416,,2023-01-03 09:50:00-08:00
259.63,259.97,259.565,259.905,15030.0,259.7749,1672768500000,391,,2023-01-03 09:55:00-08:00
259.97,259.98,259.7058,259.855,9600.0,259.8306,1672768800000,306,,2023-01-03 10:00:00-08:00
259.81,259.86,259.73,259.78,7512.0,259.8131,1672769100000,252,,2023-01-03 10:05:00-08:00
259.76,259.89,259.4824,259.4824,13968.0,259.7675,1672769400000,443,,2023-01-03 10:10:00-08:00
259.45,259.75,259.45,259.6352,20682.0,259.6162,1672769700000,475,,2023-01-03 10:15:00-08:00
259.595,260.05,259.595,259.985,29334.0,259.8659,1672770000000,625,,2023-01-03 10:20:00-08:00
259.985,260.37,259.985,260.28,43512.0,260.2177,1672770300000,1041,,2023-01-03 10:25:00-08:00
260.2487,260.34,260.084,260.23,20661.0,260.2425,1672770600000,548,,2023-01-03 10:30:00-08:00
260.33,260.39,259.955,259.955,10026.0,260.2807,1672770900000,336,,2023-01-03 10:35:00-08:00
260.03,260.29,259.77,259.95,17915.0,260.0276,1672771200000,460,,2023-01-03 10:40:00-08:00
259.96,260.16,259.9,260.09,9003.0,260.0267,1672771500000,398,,2023-01-03 10:45:00-08:00
259.97,260.26,259.91,260.11,17446.0,260.0961,1672771800000,500,,2023-01-03 10:50:00-08:00
260.2,260.28,260.17,260.18,6143.0,260.2056,1672772100000,263,,2023-01-03 10:55:00-08:00
260.13,260.16,259.895,260.055,13302.0,260.0314,1672772400000,541,,2023-01-03 11:00:00-08:00
259.99,260.055,259.875,259.91,7067.0,259.9634,1672772700000,319,,2023-01-03 11:05:00-08:00
259.97,259.97,259.5994,259.89,17114.0,259.8114,1672773000000,672,,2023-01-03 11:10:00-08:00
259.92,260.08,259.84,259.84,16096.0,259.983,1672773300000,299,,2023-01-03 11:15:00-08:00
259.9,259.9,259.69,259.84,54248.0,259.8011,1672773600000,780,,2023-01-03 11:20:00-08:00
259.86,260.04,259.8119,259.95,26045.0,259.899,1672773900000,459,,2023-01-03 11:25:00-08:00
259.87,259.9,259.425,259.43,12569.0,259.6587,1672774200000,423,,2023-01-03 11:30:00-08:00
259.44,259.52,259.32,259.35,6885.0,259.4388,1672774500000,269,,2023-01-03 11:35:00-08:00
259.39,259.88,259.39,259.88,10091.0,259.5801,1672774800000,365,,2023-01-03 11:40:00-08:00
259.88,260.55,259.88,260.55,50283.0,260.2988,1672775100000,1240,,2023-01-03 11:45:00-08:00
260.55,260.55,260.26,260.41,16910.0,260.4103,1672775400000,414,,2023-01-03 11:50:00-08:00
260.45,260.53,260.2393,260.42,37926.0,260.3673,1672775700000,926,,2023-01-03 11:55:00-08:00
260.47,260.75,260.41,260.52,18499.0,260.6056,1672776000000,533,,2023-01-03 12:00:00-08:00
260.48,260.605,260.145,260.265,11379.0,260.3385,1672776300000,417,,2023-01-03 12:05:00-08:00
260.25,260.495,260.2,260.4714,9228.0,260.3321,1672776600000,417,,2023-01-03 12:10:00-08:00
260.4305,260.8,260.3982,260.6,13007.0,260.6872,1672776900000,485,,2023-01-03 12:15:00-08:00
260.57,260.595,260.0044,260.08,13734.0,260.2281,1672777200000,539,,2023-01-03 12:20:00-08:00
260.03,260.4,260.03,260.27,16517.0,260.2301,1672777500000,555,,2023-01-03 12:25:00-08:00
260.27,260.65,260.18,260.56,21107.0,260.41,1672777800000,732,,2023-01-03 12:30:00-08:00
260.56,260.75,260.44,260.59,26620.0,260.6208,1672778100000,867,,2023-01-03 12:35:00-08:00
260.625,260.9,260.6,260.8,30009.0,260.7633,1672778400000,932,,2023-01-03 12:40:00-08:00
260.8,261.06,260.64,261.06,26372.0,260.8243,1672778700000,778,,2023-01-03 12:45:00-08:00
261.14,261.41,260.93,261.34,71056.0,261.1668,1672779000000,1736,,2023-01-03 12:50:00-08:00
