open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
25.175,25.28,25.175,25.28,15525,25.2329,1672767000000,250,,2023-01-03 09:30:00-08:00
25.28,25.3574,25.26,25.26,18319,25.3089,1672767300000,322,,2023-01-03 09:35:00-08:00
25.27,25.29,25.18,25.18,5647,25.25,1672767600000,99,,2023-01-03 09:40:00-08:00
25.18,25.24,25.18,25.235,42915,25.2171,1672767900000,479,,2023-01-03 09:45:00-08:00
25.24,25.295,25.23,25.265,7614,25.2559,1672768200000,160,,2023-01-03 09:50:00-08:00
25.28,25.399,25.24,25.39,14620,25.3216,1672768500000,230,,2023-01-03 09:55:00-08:00
25.39,25.41,25.36,25.4,6210,25.3743,1672768800000,141,,2023-01-03 10:00:00-08:00
25.39,25.39,25.21,25.22,21484,25.2489,1672769100000,238,,2023-01-03 10:05:00-08:00
25.215,25.33,25.215,25.28,8303,25.2851,1672769400000,132,,2023-01-03 10:10:00-08:00
25.3,25.315,25.26,25.27,8782,25.2772,1672769700000,168,,2023-01-03 10:15:00-08:00
25.265,25.29,25.26,25.28,7756,25.2777,1672770000000,166,,2023-01-03 10:20:00-08:00
25.28,25.41,25.28,25.405,18011,25.3578,1672770300000,274,,2023-01-03 10:25:00-08:00
25.4,25.47,25.39,25.395,37348,25.4271,1672770600000,334,,2023-01-03 10:30:00-08:00
25.41,25.47,25.28,25.29,32132,25.4173,1672770900000,334,,2023-01-03 10:35:00-08:00
25.295,25.37,25.29,25.34,11178,25.3322,1672771200000,175,,2023-01-03 10:40:00-08:00
25.34,25.34,25.15,25.155,24244,25.2302,1672771500000,285,,2023-01-03 10:45:00-08:00
25.155,25.19,25.1,25.145,10523,25.1536,1672771800000,209,,2023-01-03 10:50:00-08:00
25.145,25.175,25.12,25.12,9335,25.1452,1672772100000,205,,2023-01-03 10:55:00-08:00
25.13,25.14,25.04,25.04,9361,25.0936,1672772400000,174,,2023-01-03 11:00:00-08:00
25.05,25.05,24.975,24.99,10645,25.0132,1672772700000,222,,2023-01-03 11:05:00-08:00
24.9779,25.09,24.96,25.085,20712,25.0069,1672773000000,343,,2023-01-03 11:10:00-08:00
25.09,25.1369,25.03,25.03,39272,25.0814,1672773300000,407,,2023-01-03 11:15:00-08:00
25.04,25.06,24.965,25.0,25564,25.0243,1672773600000,344,,2023-01-03 11:20:00-08:00
25.015,25.13,25.0,25.13,28079,25.0618,1672773900000,249,,2023-01-03 11:25:00-08:00
25.13,25.14,24.98,25.08,32476,25.0754,1672774200000,417,,2023-01-03 11:30:00-08:00
25.065,25.08,25.02,25.05,21488,25.0564,1672774500000,329,,2023-01-03 11:35:00-08:00
25.05,25.2,25.05,25.2,19526,25.1016,1672774800000,279,,2023-01-03 11:40:00-08:00
25.195,25.32,25.18,25.305,58237,25.2675,1672775100000,387,,2023-01-03 11:45:00-08:00
25.2968,25.33,25.24,25.32,14136,25.2869,1672775400000,274,,2023-01-03 11:50:00-08:00
25.32,25.402,25.29,25.295,23726,25.3336,1672775700000,307,,2023-01-03 11:55:00-08:00
25.295,25.37,25.28,25.31,12398,25.3293,1672776000000,275,,2023-01-03 12:00:00-08:00
25.31,25.35,25.275,25.34,16197,25.3102,1672776300000,206,,2023-01-03 12:05:00-08:00
25.34,25.46,25.34,25.46,16558,25.4091,1672776600000,237,,2023-01-03 12:10:00-08:00
25.47,25.56,25.47,25.52,23554,25.5164,1672776900000,360,,2023-01-03 12:15:00-08:00
25.505,25.51,25.355,25.385,30756,25.4308,1672777200000,421,,2023-01-03 12:20:00-08:00
25.389,25.43,25.38,25.425,21899,25.4084,1672777500000,384,,2023-01-03 12:25:00-08:00
25.44,25.66,25.44,25.6417,65720,25.5635,1672777800000,906,,2023-01-03 12:30:00-08:00
25.6403,25.67,25.49,25.495,38774,25.5717,1672778100000,549,,2023-01-03 12:35:00-08:00
25.49,25.55,25.47,25.475,23927,25.5106,1672778400000,451,,2023-01-03 12:40:00-08:00
25.48,25.63,25.48,25.545,61738,25.5487,1672778700000,616,,2023-01-03 12:45:00-08:00
25.53,25.725,25.53,25.665,85580,25.6498,1672779000000,1018,,2023-01-03 12:50:00-08:00
25.66,25.66,25.47,25.47,124797,25.5125,1672779300000,1569,,2023-01-03 12:55:00-08:00
25.47,25.47,25.47,25.47,200983,25.47,1672779600000,29,,2023-01-03 13:00:00-08:00
24.9815,24.9815,24.9815,24.9815,100,24.9815,1672779900000,1,,2023-01-03 13:05:00-08:00
25.5,25.5,25.5,25.5,100,25.5,1672785000000,1,,2023-01-03 14:30:00-08:00
26.55,26.575,26.55,26.57,5798,26.5629,1672853400000,112,,2023-01-04 09:30:00-08:00
26.56,26.61,26.545,26.5663,10127,26.5661,1672853700000,189,,2023-01-04 09:35:00-08:00
26.56,26.58,26.56,26.57,3922,26.5699,1672854000000,86,,2023-01-04 09:40:00-08:00
26.565,26.65,26.565,26.65,13976,26.609,1672854300000,268,,2023-01-04 09:45:00-08:00
26.66,26.665,26.645,26.66,9217,26.6518,1672854600000,195,,2023-01-04 09:50:00-08:00
26.66,26.66,26.62,26.65,20331,26.6447,1672854900000,358,,2023-01-04 09:55:00-08:00
26.65,26.6535,26.62,26.65,26680,26.6406,1672855200000,333,,2023-01-04 10:00:00-08:00
26.655,26.77,26.65,26.76,22489,26.7038,1672855500000,257,,2023-01-04 10:05:00-08:00
26.76,26.78,26.755,26.77,8101,26.7674,1672855800000,170,,2023-01-04 10:10:00-08:00
26.77,26.795,26.46,26.4613,12053,26.6496,1672856100000,260,,2023-01-04 10:15:00-08:00
26.45,26.47,26.43,26.46,7832,26.4555,1672856400000,180,,2023-01-04 10:20:00-08:00
26.44,26.44,26.27,26.305,8230,26.3531,1672856700000,171,,2023-01-04 10:25:00-08:00
26.31,26.345,26.22,26.22,10573,26.2845,1672857000000,220,,2023-01-04 10:30:00-08:00
26.21,26.255,26.17,26.25,10719,26.2232,1672857300000,191,,2023-01-04 10:35:00-08:00
26.245,26.3,26.22,26.29,8998,26.2558,1672857600000,181,,2023-01-04 10:40:00-08:00
26.28,26.28,26.155,26.175,11310,26.2078,1672857900000,165,,2023-01-04 10:45:00-08:00
26.17,26.18,26.11,26.14,11271,26.1361,1672858200000,144,,2023-01-04 10:50:00-08:00
26.13,26.13,26.08,26.08,9538,26.1175,1672858500000,169,,2023-01-04 10:55:00-08:00
26.05,26.21,25.96,26.055,20343,26.0892,1672858800000,363,,2023-01-04 11:00:00-08:00
26.08,26.12,25.84,25.86,13500,25.9849,1672859100000,290,,2023-01-04 11:05:00-08:00
25.84,25.94,25.78,25.94,13140,25.8525,1672859400000,243,,2023-01-04 11:10:00-08:00
25.96,26.125,25.925,26.08,13783,26.0317,1672859700000,248,,2023-01-04 11:15:00-08:00
26.06,26.08,25.895,25.91,5961,25.9917,1672860000000,119,,2023-01-04 11:20:00-08:00
25.91,25.91,25.71,25.73,10307,25.7751,1672860300000,207,,2023-01-04 11:25:00-08:00
25.715,25.82,25.7048,25.82,8263,25.7517,1672860600000,183,,2023-01-04 11:30:00-08:00
25.83,25.86,25.782,25.795,7974,25.8092,1672860900000,155,,2023-01-04 11:35:00-08:00
25.78,25.855,25.73,25.785,10349,25.7791,1672861200000,203,,2023-01-04 11:40:00-08:00
25.79,25.82,25.75,25.76,5354,25.7917,1672861500000,119,,2023-01-04 11:45:00-08:00
25.75,25.805,25.74,25.79,7171,25.7668,1672861800000,135,,2023-01-04 11:50:00-08:00
25.78,25.89,25.78,25.89,8781,25.844,1672862100000,171,,2023-01-04 11:55:00-08:00
25.9,25.96,25.9,25.94,6407,25.9267,1672862400000,150,,2023-01-04 12:00:00-08:00
25.94,25.94,25.844,25.85,7078,25.8849,1672862700000,120,,2023-01-04 12:05:00-08:00
25.85,25.865,25.81,25.815,11352,25.8421,1672863000000,201,,2023-01-04 12:10:00-08:00
25.81,25.815,25.74,25.75,8468,25.8001,1672863300000,168,,2023-01-04 12:15:00-08:00
25.75,25.77,25.71,25.74,11246,25.7327,1672863600000,227,,2023-01-04 12:20:00-08:00
25.745,25.785,25.74,25.78,11440,25.7611,1672863900000,200,,2023-01-04 12:25:00-08:00
25.76,25.885,25.74,25.885,25154,25.8245,1672864200000,387,,2023-01-04 12:30:00-08:00
25.885,25.9,25.725,25.75,30957,25.8344,1672864500000,427,,2023-01-04 12:35:00-08:00
25.75,25.77,25.65,25.65,19552,25.7127,1672864800000,364,,2023-01-04 12:40:00-08:00
25.64,25.66,25.58,25.65,24648,25.6163,1672865100000,449,,2023-01-04 12:45:00-08:00
25.655,25.68,25.62,25.65,41100,25.6482,1672865400000,719,,2023-01-04 12:50:00-08:00
25.65,25.69,25.62,25.69,82065,25.6538,1672865700000,1338,,2023-01-04 12:55:00-08:00
25.67,25.67,25.67,25.67,17689,25.6704,1672866000000,26,,2023-01-04 13:00:00-08:00
25.975,26.0,25.975,26.0,6388,25.9936,1672939800000,124,,2023-01-05 09:30:00-08:00
25.99,25.99,25.925,25.925,3611,25.9583,1672940100000,95,,2023-01-05 09:35:00-08:00
25.93,25.935,25.89,25.91,7406,25.913,1672940400000,106,,2023-01-05 09:40:00-08:00
25.915,25.96,25.915,25.955,5358,25.9478,1672940700000,92,,2023-01-05 09:45:00-08:00
25.96,26.02,25.96,26.02,9411,25.9897,1672941000000,178,,2023-01-05 09:50:00-08:00
26.05,26.05,25.96,25.97,8273,26.0016,1672941300000,166,,2023-01-05 09:55:00-08:00
25.97,26.028,25.97,26.02,16418,25.9961,1672941600000,189,,2023-01-05 10:00:00-08:00
26.02,26.0411,26.01,26.01,7192,26.0329,1672941900000,138,,2023-01-05 10:05:00-08:00
26.02,26.04,25.98,26.0,3935,26.0152,1672942200000,107,,2023-01-05 10:10:00-08:00
26.0,26.05,25.99,26.04,3981,26.0106,1672942500000,124,,2023-01-05 10:15:00-08:00
26.08,26.265,26.08,26.24,10467,26.1807,1672942800000,279,,2023-01-05 10:20:00-08:00
26.2258,26.23,26.19,26.2,4998,26.2097,1672943100000,112,,2023-01-05 10:25:00-08:00
26.22,26.25,26.195,26.21,4431,26.2184,1672943400000,127,,2023-01-05 10:30:00-08:00
26.23,26.24,26.178,26.18,4448,26.2144,1672943700000,117,,2023-01-05 10:35:00-08:00
26.185,26.23,26.18,26.18,3358,26.2053,1672944000000,113,,2023-01-05 10:40:00-08:00
26.18,26.19,26.12,26.12,4729,26.169,1672944300000,129,,2023-01-05 10:45:00-08:00
26.11,26.1761,26.085,26.1761,9384,26.1205,1672944600000,217,,2023-01-05 10:50:00-08:00
26.17,26.195,26.145,26.17,5401,26.1743,1672944900000,154,,2023-01-05 10:55:00-08:00
26.18,26.22,26.18,26.21,7168,26.2053,1672945200000,197,,2023-01-05 11:00:00-08:00
26.22,26.22,26.16,26.16,3804,26.1962,1672945500000,96,,2023-01-05 11:05:00-08:00
26.15,26.15,26.04,26.105,11379,26.0915,1672945800000,224,,2023-01-05 11:10:00-08:00
26.11,26.1992,26.11,26.195,4167,26.1641,1672946100000,142,,2023-01-05 11:15:00-08:00
26.195,26.195,26.11,26.13,4520,26.1462,1672946400000,126,,2023-01-05 11:20:00-08:00
26.135,26.135,26.05,26.1,5082,26.0847,1672946700000,144,,2023-01-05 11:25:00-08:00
26.09,26.128,26.09,26.115,8184,26.1143,1672947000000,147,,2023-01-05 11:30:00-08:00
26.115,26.29,26.115,26.28,12712,26.221,1672947300000,288,,2023-01-05 11:35:00-08:00
26.295,26.39,26.29,26.37,22351,26.3508,1672947600000,306,,2023-01-05 11:40:00-08:00
26.37,26.39,26.28,26.29,14337,26.3279,1672947900000,223,,2023-01-05 11:45:00-08:00
26.29,26.295,26.26,26.285,4370,26.2973,1672948200000,96,,2023-01-05 11:50:00-08:00
26.285,26.31,26.2,26.2,7379,26.2751,1672948500000,157,,2023-01-05 11:55:00-08:00
26.215,26.22,26.19,26.22,7038,26.2034,1672948800000,172,,2023-01-05 12:00:00-08:00
26.225,26.235,26.21,26.225,8168,26.2255,1672949100000,189,,2023-01-05 12:05:00-08:00
26.22,26.22,26.12,26.14,10767,26.1588,1672949400000,270,,2023-01-05 12:10:00-08:00
26.14,26.175,26.08,26.08,6866,26.1409,1672949700000,171,,2023-01-05 12:15:00-08:00
26.08,26.09,26.04,26.08,9612,26.0628,1672950000000,221,,2023-01-05 12:20:00-08:00
26.075,26.075,26.0,26.01,12540,26.0374,1672950300000,266,,2023-01-05 12:25:00-08:00
26.01,26.01,25.945,25.975,11059,25.9692,1672950600000,237,,2023-01-05 12:30:00-08:00
25.975,26.0075,25.955,25.98,9322,25.9802,1672950900000,234,,2023-01-05 12:35:00-08:00
25.975,25.98,25.9327,25.955,12243,25.9549,1672951200000,285,,2023-01-05 12:40:00-08:00
25.96,25.9671,25.88,25.905,12534,25.9147,1672951500000,313,,2023-01-05 12:45:00-08:00
25.91,25.94,25.83,25.845,31904,25.8998,1672951800000,619,,2023-01-05 12:50:00-08:00
25.85,25.895,25.8,25.83,61846,25.8474,1672952100000,996,,2023-01-05 12:55:00-08:00
25.84,25.84,25.84,25.84,16879,25.84,1672952400000,24,,2023-01-05 13:00:00-08:00
25.84,25.84,25.84,25.84,151,25.8387,1672952700000,2,,2023-01-05 13:05:00-08:00
25.84,25.84,25.84,25.84,350,25.84,1672953900000,4,,2023-01-05 13:25:00-08:00
27.17,27.2,27.15,27.18,7399,27.1694,1673026200000,140,,2023-01-06 09:30:00-08:00
27.185,27.2604,27.17,27.26,6086,27.2027,1673026500000,105,,2023-01-06 09:35:00-08:00
27.26,27.27,27.24,27.2501,5446,27.2501,1673026800000,98,,2023-01-06 09:40:00-08:00
27.27,27.31,27.27,27.295,2096,27.2952,1673027100000,45,,2023-01-06 09:45:00-08:00
27.298,27.298,27.24,27.26,5850,27.2647,1673027400000,126,,2023-01-06 09:50:00-08:00
27.25,27.29,27.22,27.29,7120,27.2522,1673027700000,133,,2023-01-06 09:55:00-08:00
27.29,27.32,27.24,27.26,4366,27.2831,1673028000000,100,,2023-01-06 10:00:00-08:00
27.27,27.33,27.27,27.32,3745,27.2996,1673028300000,95,,2023-01-06 10:05:00-08:00
27.34,27.355,27.3,27.3,4764,27.3372,1673028600000,104,,2023-01-06 10:10:00-08:00
27.3,27.32,27.265,27.27,3686,27.2906,1673028900000,65,,2023-01-06 10:15:00-08:00
27.2656,27.31,27.2656,27.28,3383,27.288,1673029200000,83,,2023-01-06 10:20:00-08:00
27.29,27.36,27.29,27.32,9573,27.3323,1673029500000,141,,2023-01-06 10:25:00-08:00
27.31,27.35,27.31,27.345,2648,27.3306,1673029800000,78,,2023-01-06 10:30:00-08:00
27.33,27.34,27.32,27.33,1774,27.3327,1673030100000,54,,2023-01-06 10:35:00-08:00
27.33,27.33,27.23,27.23,5318,27.2949,1673030400000,141,,2023-01-06 10:40:00-08:00
27.21,27.211,27.1598,27.1598,5770,27.1896,1673030700000,129,,2023-01-06 10:45:00-08:00
27.155,27.21,27.155,27.19,4160,27.1832,1673031000000,99,,2023-01-06 10:50:00-08:00
27.18,27.2,27.17,27.19,3267,27.193,1673031300000,98,,2023-01-06 10:55:00-08:00
27.19,27.2,27.13,27.2,2709,27.1639,1673031600000,77,,2023-01-06 11:00:00-08:00
27.17,27.17,27.14,27.15,2205,27.1558,1673031900000,68,,2023-01-06 11:05:00-08:00
27.15,27.24,27.14,27.24,10942,27.1907,1673032200000,102,,2023-01-06 11:10:00-08:00
27.265,27.29,27.265,27.29,2786,27.275,1673032500000,94,,2023-01-06 11:15:00-08:00
27.3,27.34,27.3,27.3374,4001,27.3225,1673032800000,107,,2023-01-06 11:20:00-08:00
27.35,27.38,27.345,27.37,7034,27.3626,1673033100000,137,,2023-01-06 11:25:00-08:00
27.39,27.43,27.385,27.41,10643,27.4088,1673033400000,140,,2023-01-06 11:30:00-08:00
27.4,27.41,27.37,27.41,5152,27.3881,1673033700000,94,,2023-01-06 11:35:00-08:00
27.41,27.41,27.38,27.3949,3957,27.3958,1673034000000,79,,2023-01-06 11:40:00-08:00
27.37,27.37,27.32,27.35,2926,27.3482,1673034300000,76,,2023-01-06 11:45:00-08:00
27.34,27.4,27.34,27.39,4694,27.3747,1673034600000,102,,2023-01-06 11:50:00-08:00
27.385,27.385,27.3,27.3,11148,27.3661,1673034900000,100,,2023-01-06 11:55:00-08:00
27.305,27.37,27.29,27.37,4088,27.3252,1673035200000,105,,2023-01-06 12:00:00-08:00
27.36,27.39,27.3301,27.35,7973,27.3597,1673035500000,147,,2023-01-06 12:05:00-08:00
27.36,27.36,27.29,27.32,6102,27.3333,1673035800000,141,,2023-01-06 12:10:00-08:00
27.322,27.33,27.25,27.25,9467,27.2857,1673036100000,132,,2023-01-06 12:15:00-08:00
27.26,27.265,27.2133,27.23,8119,27.2304,1673036400000,159,,2023-01-06 12:20:00-08:00
27.24,27.24,27.18,27.18,5129,27.2128,1673036700000,141,,2023-01-06 12:25:00-08:00
27.19,27.2,27.17,27.17,8407,27.1832,1673037000000,192,,2023-01-06 12:30:00-08:00
27.175,27.205,27.175,27.195,7954,27.1895,1673037300000,182,,2023-01-06 12:35:00-08:00
27.1992,27.25,27.18,27.235,10321,27.2071,1673037600000,229,,2023-01-06 12:40:00-08:00
27.235,27.2707,27.23,27.24,13864,27.2487,1673037900000,316,,2023-01-06 12:45:00-08:00
27.235,27.33,27.21,27.32,40335,27.2772,1673038200000,552,,2023-01-06 12:50:00-08:00
27.33,27.41,27.33,27.39,70059,27.3752,1673038500000,1009,,2023-01-06 12:55:00-08:00
27.39,27.39,27.39,27.39,27483,27.39,1673038800000,15,,2023-01-06 13:00:00-08:00
29.525,29.585,29.5,29.5,8023,29.5547,1673285400000,123,,2023-01-09 09:30:00-08:00
29.465,29.5,29.425,29.43,6300,29.4544,1673285700000,113,,2023-01-09 09:35:00-08:00
29.41,29.48,29.39,29.48,4592,29.4369,1673286000000,107,,2023-01-09 09:40:00-08:00
29.48,29.53,29.48,29.52,6379,29.5071,1673286300000,124,,2023-01-09 09:45:00-08:00
29.525,29.55,29.49,29.4918,4405,29.52,1673286600000,83,,2023-01-09 09:50:00-08:00
