open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
2.85,2.88,2.85,2.88,5218,2.8597,1673371800000,33,,2023-01-10 09:30:00-08:00
2.89,2.89,2.87,2.87,3237,2.889,1673372100000,22,,2023-01-10 09:35:00-08:00
2.8799,2.8799,2.85,2.85,1175,2.8685,1673372400000,9,,2023-01-10 09:40:00-08:00
2.84,2.85,2.84,2.85,2850,2.8476,1673372700000,23,,2023-01-10 09:45:00-08:00
2.86,2.865,2.85,2.85,3272,2.8621,1673373300000,10,,2023-01-10 09:55:00-08:00
2.8601,2.865,2.86,2.865,499,2.8619,1673373600000,5,,2023-01-10 10:00:00-08:00
2.865,2.865,2.86,2.86,7563,2.8601,1673373900000,2,,2023-01-10 10:05:00-08:00
2.8592,2.8592,2.8592,2.8592,300,2.8592,1673374200000,1,,2023-01-10 10:10:00-08:00
2.85,2.85,2.8447,2.8493,3368,2.8483,1673374500000,23,,2023-01-10 10:15:00-08:00
2.8491,2.85,2.8491,2.85,1700,2.8493,1673375100000,6,,2023-01-10 10:25:00-08:00
2.843,2.843,2.843,2.843,500,2.843,1673375400000,1,,2023-01-10 10:30:00-08:00
2.8495,2.85,2.84,2.85,2500,2.8458,1673375700000,6,,2023-01-10 10:35:00-08:00
2.85,2.867,2.85,2.867,1400,2.8512,1673376000000,7,,2023-01-10 10:40:00-08:00
2.8601,2.88,2.8601,2.88,735,2.8701,1673376300000,4,,2023-01-10 10:45:00-08:00
2.87,2.87,2.862,2.865,1219,2.8647,1673376600000,6,,2023-01-10 10:50:00-08:00
2.8751,2.8799,2.87,2.87,510,2.8752,1673376900000,6,,2023-01-10 10:55:00-08:00
2.8737,2.8737,2.865,2.865,2100,2.8733,1673377200000,2,,2023-01-10 11:00:00-08:00
2.89,2.89,2.89,2.89,325,2.89,1673377500000,1,,2023-01-10 11:05:00-08:00
2.89,2.9,2.89,2.8915,7305,2.8928,1673377800000,25,,2023-01-10 11:10:00-08:00
2.89,2.8999,2.885,2.8999,2336,2.8892,1673378100000,16,,2023-01-10 11:15:00-08:00
2.895,2.9,2.895,2.8997,1355,2.8996,1673378400000,15,,2023-01-10 11:20:00-08:00
2.895,2.92,2.89,2.92,5285,2.9068,1673378700000,21,,2023-01-10 11:25:00-08:00
2.92,2.93,2.91,2.92,3601,2.9157,1673379000000,21,,2023-01-10 11:30:00-08:00
2.9016,2.9016,2.9016,2.9016,300,2.9016,1673379300000,1,,2023-01-10 11:35:00-08:00
2.9,2.9,2.9,2.9,1000,2.9,1673379600000,7,,2023-01-10 11:40:00-08:00
2.9,2.9099,2.9,2.9099,1110,2.9009,1673380200000,3,,2023-01-10 11:50:00-08:00
2.9085,2.9085,2.9085,2.9085,200,2.9085,1673380500000,1,,2023-01-10 11:55:00-08:00
2.91,2.91,2.88,2.9,12223,2.9032,1673380800000,60,,2023-01-10 12:00:00-08:00
2.8918,2.8918,2.8854,2.8854,1395,2.8901,1673381100000,4,,2023-01-10 12:05:00-08:00
2.885,2.89,2.885,2.89,1169,2.8895,1673381400000,6,,2023-01-10 12:10:00-08:00
2.894,2.894,2.89,2.89,1135,2.8936,1673381700000,2,,2023-01-10 12:15:00-08:00
2.8988,2.8988,2.89,2.89,220,2.894,1673382000000,3,,2023-01-10 12:20:00-08:00
2.8899,2.89,2.88,2.88,1503,2.8837,1673382300000,11,,2023-01-10 12:25:00-08:00
2.8807,2.89,2.8807,2.89,4103,2.8888,1673382600000,12,,2023-01-10 12:30:00-08:00
2.89,2.89,2.875,2.88,17875,2.8824,1673383200000,64,,2023-01-10 12:40:00-08:00
2.88,2.9,2.88,2.9,24499,2.8845,1673383500000,22,,2023-01-10 12:45:00-08:00
2.8959,2.9,2.8914,2.8918,2311,2.8957,1673383800000,5,,2023-01-10 12:50:00-08:00
2.8991,2.94,2.89,2.94,30665,2.9114,1673384100000,91,,2023-01-10 12:55:00-08:00
2.96,2.96,2.96,2.96,100,2.96,1673384400000,1,,2023-01-10 13:00:00-08:00
2.96,2.96,2.96,2.96,250,2.96,1673387400000,1,,2023-01-10 13:50:00-08:00
2.9931,3.0,2.9931,3.0,333,2.9952,1673388300000,2,,2023-01-10 14:05:00-08:00
3.0,3.0,3.0,3.0,100,3.0,1673391900000,1,,2023-01-10 15:05:00-08:00
2.99,3.0,2.99,3.0,732,2.9933,1673395200000,2,,2023-01-10 16:00:00-08:00
3.0,3.01,2.99,3.0,18065,2.9998,1673458200000,116,,2023-01-11 09:30:00-08:00
3.01,3.01,2.99,3.005,3800,2.9996,1673458500000,23,,2023-01-11 09:35:00-08:00
3.0094,3.02,3.0,3.02,1460,3.0079,1673458800000,14,,2023-01-11 09:40:00-08:00
3.0,3.011,2.99,2.99,5797,3.0007,1673459100000,22,,2023-01-11 09:45:00-08:00
2.98,2.99,2.98,2.99,702,2.9832,1673459400000,9,,2023-01-11 09:50:00-08:00
2.9905,2.9999,2.986,2.9999,2650,2.9891,1673459700000,6,,2023-01-11 09:55:00-08:00
2.98,2.98,2.97,2.97,1688,2.9751,1673460000000,17,,2023-01-11 10:00:00-08:00
2.975,2.99,2.97,2.98,13649,2.9752,1673460300000,32,,2023-01-11 10:05:00-08:00
2.9899,2.99,2.97,2.9887,5854,2.9837,1673460600000,24,,2023-01-11 10:10:00-08:00
2.985,2.99,2.9849,2.9899,2029,2.9883,1673460900000,15,,2023-01-11 10:15:00-08:00
2.98,3.0,2.96,2.99,34309,2.9715,1673461200000,50,,2023-01-11 10:20:00-08:00
3.0,3.0031,2.995,3.0031,6734,2.9993,1673461500000,23,,2023-01-11 10:25:00-08:00
3.019,3.02,3.019,3.02,6330,3.0199,1673461800000,5,,2023-01-11 10:30:00-08:00
3.01,3.01,3.01,3.01,930,3.0091,1673462100000,5,,2023-01-11 10:35:00-08:00
3.0173,3.02,3.0,3.0,4730,3.0021,1673462400000,29,,2023-01-11 10:40:00-08:00
2.9981,3.0,2.995,3.0,12800,2.9991,1673462700000,25,,2023-01-11 10:45:00-08:00
3.01,3.01,3.01,3.01,100,3.01,1673463000000,1,,2023-01-11 10:50:00-08:00
3.01,3.01,3.01,3.01,100,3.01,1673463300000,1,,2023-01-11 10:55:00-08:00
3.0106,3.02,3.01,3.0199,728,3.014,1673463600000,7,,2023-01-11 11:00:00-08:00
3.0,3.0002,2.99,3.0,3016,2.9947,1673463900000,34,,2023-01-11 11:05:00-08:00
2.995,3.01,2.995,3.01,3100,3.0024,1673464200000,24,,2023-01-11 11:10:00-08:00
3.02,3.02,3.0199,3.0199,4930,3.0199,1673464500000,36,,2023-01-11 11:15:00-08:00
3.0199,3.02,3.0,3.0,1835,3.0137,1673464800000,17,,2023-01-11 11:20:00-08:00
3.02,3.03,3.02,3.03,7870,3.0284,1673465100000,56,,2023-01-11 11:25:00-08:00
3.03,3.0401,3.03,3.03,10476,3.0389,1673465400000,88,,2023-01-11 11:30:00-08:00
3.03,3.035,3.01,3.01,4002,3.0262,1673465700000,23,,2023-01-11 11:35:00-08:00
3.01,3.0108,3.01,3.0108,200,3.0104,1673466000000,2,,2023-01-11 11:40:00-08:00
3.0151,3.02,3.0107,3.0199,7532,3.0196,1673466300000,28,,2023-01-11 11:45:00-08:00
3.0103,3.0103,3.0103,3.0103,449,3.0103,1673466600000,1,,2023-01-11 11:50:00-08:00
3.0101,3.0299,3.0101,3.0229,6177,3.017,1673466900000,4,,2023-01-11 11:55:00-08:00
3.02,3.03,3.0,3.0112,20386,3.01,1673467200000,112,,2023-01-11 12:00:00-08:00
3.02,3.02,3.0101,3.015,3958,3.0139,1673467800000,18,,2023-01-11 12:10:00-08:00
3.0199,3.03,3.01,3.03,7279,3.0195,1673468100000,18,,2023-01-11 12:15:00-08:00
3.03,3.03,3.01,3.01,1380,3.0201,1673468400000,4,,2023-01-11 12:20:00-08:00
3.01,3.02,3.01,3.02,257,3.0154,1673468700000,4,,2023-01-11 12:25:00-08:00
3.0101,3.02,3.004,3.01,17489,3.0098,1673469000000,45,,2023-01-11 12:30:00-08:00
3.015,3.03,3.01,3.015,20933,3.0271,1673469300000,47,,2023-01-11 12:35:00-08:00
3.02,3.02,3.015,3.015,1778,3.0181,1673469600000,12,,2023-01-11 12:40:00-08:00
3.01,3.017,3.01,3.017,741,3.0123,1673469900000,15,,2023-01-11 12:45:00-08:00
3.02,3.0455,3.01,3.0455,34779,3.0238,1673470200000,97,,2023-01-11 12:50:00-08:00
3.045,3.07,3.04,3.07,15375,3.057,1673470500000,45,,2023-01-11 12:55:00-08:00
3.08,3.08,3.08,3.08,210,3.0795,1673470800000,2,,2023-01-11 13:00:00-08:00
3.08,3.08,3.08,3.08,700,3.08,1673471400000,2,,2023-01-11 13:10:00-08:00
3.07,3.07,3.07,3.07,1000,3.07,1673471700000,1,,2023-01-11 13:15:00-08:00
3.07,3.07,3.07,3.07,500,3.07,1673472000000,1,,2023-01-11 13:20:00-08:00
3.0,3.0,3.0,3.0,100,3.0,1673473800000,1,,2023-01-11 13:50:00-08:00
3.07,3.07,3.07,3.07,570,3.07,1673477700000,1,,2023-01-11 14:55:00-08:00
3.089,3.09,3.089,3.09,310,3.089,1673544600000,3,,2023-01-12 09:30:00-08:00
