open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
36.165,36.38,36.16,36.38,2363.0,36.2645,1672767000000,76,,2023-01-03 09:30:00-08:00
36.42,36.5,36.38,36.44,7078.0,36.4351,1672767300000,164,,2023-01-03 09:35:00-08:00
36.44,36.495,36.37,36.37,5692.0,36.4342,1672767600000,133,,2023-01-03 09:40:00-08:00
36.35,36.505,36.32,36.32,6459.0,36.4104,1672767900000,121,,2023-01-03 09:45:00-08:00
36.27,36.34,36.27,36.275,2923.0,36.3107,1672768200000,76,,2023-01-03 09:50:00-08:00
36.25,36.37,36.25,36.31,2100.0,36.3172,1672768500000,62,,2023-01-03 09:55:00-08:00
36.35,36.35,36.27,36.27,1783.0,36.3138,1672768800000,43,,2023-01-03 10:00:00-08:00
36.33,36.38,36.315,36.36,4141.0,36.3433,1672769100000,124,,2023-01-03 10:05:00-08:00
36.29,36.39,36.2,36.2,3453.0,36.2996,1672769400000,69,,2023-01-03 10:10:00-08:00
36.13,36.18,36.08,36.15,3128.0,36.1504,1672769700000,82,,2023-01-03 10:15:00-08:00
36.08,36.13,36.07,36.08,4228.0,36.0964,1672770000000,126,,2023-01-03 10:20:00-08:00
36.1,36.23,36.1,36.23,4371.0,36.1577,1672770300000,147,,2023-01-03 10:25:00-08:00
36.255,36.3,36.19,36.23,2913.0,36.253,1672770600000,78,,2023-01-03 10:30:00-08:00
36.26,36.4,36.24,36.29,7769.0,36.3029,1672770900000,224,,2023-01-03 10:35:00-08:00
36.295,36.315,36.2,36.305,5763.0,36.2756,1672771200000,163,,2023-01-03 10:40:00-08:00
36.28,36.285,36.21,36.26,3879.0,36.2664,1672771500000,104,,2023-01-03 10:45:00-08:00
36.3,36.3,36.04,36.04,7012.0,36.1696,1672771800000,148,,2023-01-03 10:50:00-08:00
36.03,36.17,36.0,36.08,2796.0,36.0993,1672772100000,112,,2023-01-03 10:55:00-08:00
36.18,36.18,35.98,36.06,5127.0,36.0726,1672772400000,119,,2023-01-03 11:00:00-08:00
36.01,36.09,35.99,36.065,3863.0,36.0534,1672772700000,117,,2023-01-03 11:05:00-08:00
36.07,36.1,36.0,36.05,4540.0,36.0448,1672773000000,139,,2023-01-03 11:10:00-08:00
36.09,36.18,35.99,35.99,8003.0,36.1032,1672773300000,201,,2023-01-03 11:15:00-08:00
36.04,36.09,36.0,36.05,3046.0,36.0416,1672773600000,86,,2023-01-03 11:20:00-08:00
35.95,35.99,35.9,35.94,3506.0,35.9547,1672773900000,80,,2023-01-03 11:25:00-08:00
35.975,35.975,35.745,35.79,4203.0,35.8324,1672774200000,99,,2023-01-03 11:30:00-08:00
35.74,35.9,35.74,35.85,4652.0,35.8495,1672774500000,127,,2023-01-03 11:35:00-08:00
35.84,35.86,35.78,35.78,3876.0,35.8362,1672774800000,130,,2023-01-03 11:40:00-08:00
35.85,36.01,35.8,35.97,5264.0,35.932,1672775100000,134,,2023-01-03 11:45:00-08:00
35.93,35.93,35.66,35.74,9397.0,35.779,1672775400000,84,,2023-01-03 11:50:00-08:00
35.72,35.85,35.65,35.85,6307.0,35.7353,1672775700000,183,,2023-01-03 11:55:00-08:00
35.865,35.875,35.78,35.78,4285.0,35.8135,1672776000000,131,,2023-01-03 12:00:00-08:00
35.83,35.84,35.73,35.82,3992.0,35.7835,1672776300000,125,,2023-01-03 12:05:00-08:00
35.77,35.84,35.62,35.67,5765.0,35.7573,1672776600000,140,,2023-01-03 12:10:00-08:00
35.675,35.79,35.5818,35.63,11706.0,35.6639,1672776900000,215,,2023-01-03 12:15:00-08:00
35.57,35.63,35.49,35.59,13364.0,35.528,1672777200000,225,,2023-01-03 12:20:00-08:00
