open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
26.2,26.26,26.2,26.26,2000,26.245,1672865100000,20,,2023-01-04 12:45:00-08:00
26.75,26.75,26.75,26.75,100,26.75,1673035200000,1,,2023-01-06 12:00:00-08:00
26.5699,26.5699,26.5699,26.5699,400,26.5699,1673297400000,1,,2023-01-09 12:50:00-08:00
27.0001,27.0001,27.0001,27.0001,144,27.0001,1673461500000,1,,2023-01-11 10:25:00-08:00
27.305,27.305,27.305,27.305,101,27.3046,1673555700000,2,,2023-01-12 12:35:00-08:00
27.45,27.45,27.45,27.45,100,27.45,1673641500000,1,,2023-01-13 12:25:00-08:00
27.59,27.59,27.59,27.59,148,27.59,1673977200000,2,,2023-01-17 09:40:00-08:00
27.5949,27.5949,27.5949,27.5949,286,27.5949,1673985900000,1,,2023-01-17 12:05:00-08:00
27.27,27.28,27.27,27.28,400,27.2725,1674074700000,4,,2023-01-18 12:45:00-08:00
26.93,26.93,26.93,26.93,100,26.93,1674151200000,1,,2023-01-19 10:00:00-08:00
27.0074,27.0074,27.0074,27.0074,102,27.0074,1674160200000,2,,2023-01-19 12:30:00-08:00
27.1,27.1,27.1,27.1,200,27.1,1674242700000,1,,2023-01-20 11:25:00-08:00
27.24,27.24,27.24,27.24,300,27.24,1674245400000,1,,2023-01-20 12:10:00-08:00
27.28,27.28,27.28,27.28,600,27.28,1674245700000,2,,2023-01-20 12:15:00-08:00
27.48,27.48,27.48,27.48,146,27.4832,1674504900000,2,,2023-01-23 12:15:00-08:00
27.95,27.95,27.95,27.95,300,27.95,1674846000000,1,,2023-01-27 11:00:00-08:00
28.06,28.06,28.05,28.06,1000,28.059,1674852300000,10,,2023-01-27 12:45:00-08:00
27.93,27.93,27.93,27.93,100,27.93,1674852900000,1,,2023-01-27 12:55:00-08:00
27.7499,27.7499,27.7499,27.7499,110,27.7475,1675191300000,2,,2023-01-31 10:55:00-08:00
27.7439,27.7439,27.7439,27.7439,101,27.7439,1675192500000,2,,2023-01-31 11:15:00-08:00
27.755,27.755,27.74,27.7482,822,27.7472,1675192800000,8,,2023-01-31 11:20:00-08:00
27.75,27.75,27.75,27.75,500,27.75,1675197300000,3,,2023-01-31 12:35:00-08:00
