open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
2.11,2.11,2.11,2.11,100,2.11,1672767900000,1,,2023-01-03 09:45:00-08:00
2.0262,2.0262,2.0262,2.0262,260,2.0262,1672769100000,2,,2023-01-03 10:05:00-08:00
2.07,2.07,2.07,2.07,215,2.07,1672773000000,5,,2023-01-03 11:10:00-08:00
2.09,2.1,2.06,2.06,2427,2.0955,1672853700000,10,,2023-01-04 09:35:00-08:00
2.07,2.07,2.07,2.07,262,2.0701,1672860600000,5,,2023-01-04 11:30:00-08:00
2.08,2.08,2.08,2.08,347,2.08,1672863600000,4,,2023-01-04 12:20:00-08:00
2.09,2.09,2.09,2.09,100,2.09,1672863900000,1,,2023-01-04 12:25:00-08:00
2.09,2.09,2.09,2.09,200,2.09,1672940100000,2,,2023-01-05 09:35:00-08:00
2.0801,2.0801,2.0801,2.0801,530,2.0801,1672941900000,1,,2023-01-05 10:05:00-08:00
2.14,2.14,2.1321,2.1321,3100,2.1324,1672944300000,4,,2023-01-05 10:45:00-08:00
2.09,2.09,2.09,2.09,100,2.09,1672944600000,1,,2023-01-05 10:50:00-08:00
2.14,2.14,2.14,2.14,100,2.14,1672947900000,1,,2023-01-05 11:45:00-08:00
2.14,2.14,2.14,2.14,100,2.14,1673026200000,1,,2023-01-06 09:30:00-08:00
2.14,2.14,2.14,2.14,647,2.1394,1673027100000,5,,2023-01-06 09:45:00-08:00
2.14,2.14,2.14,2.14,542,2.14,1673028000000,8,,2023-01-06 10:00:00-08:00
2.14,2.14,2.14,2.14,1694,2.14,1673029800000,10,,2023-01-06 10:30:00-08:00
2.18,2.18,2.18,2.18,100,2.18,1673031300000,1,,2023-01-06 10:55:00-08:00
2.18,2.18,2.1781,2.1798,3000,2.1797,1673032500000,7,,2023-01-06 11:15:00-08:00
2.24,2.24,2.24,2.24,500,2.24,1673034000000,1,,2023-01-06 11:40:00-08:00
2.2321,2.2321,2.2321,2.2321,180,2.2321,1673034900000,1,,2023-01-06 11:55:00-08:00
2.25,2.25,2.25,2.25,190,2.248,1673038500000,2,,2023-01-06 12:55:00-08:00
2.14,2.14,2.14,2.14,513,2.14,1673041800000,1,,2023-01-06 13:50:00-08:00
2.29,2.29,2.29,2.29,100,2.29,1673286600000,1,,2023-01-09 09:50:00-08:00
2.26,2.26,2.26,2.26,100,2.26,1673287800000,1,,2023-01-09 10:10:00-08:00
2.26,2.26,2.26,2.26,100,2.26,1673290500000,1,,2023-01-09 10:55:00-08:00
2.26,2.26,2.26,2.26,300,2.26,1673293200000,3,,2023-01-09 11:40:00-08:00
2.29,2.29,2.29,2.29,100,2.29,1673294100000,1,,2023-01-09 11:55:00-08:00
2.25,2.25,2.25,2.25,114,2.2498,1673297400000,10,,2023-01-09 12:50:00-08:00
2.24,2.24,2.24,2.24,442,2.2401,1673297700000,5,,2023-01-09 12:55:00-08:00
2.28,2.28,2.28,2.28,100,2.28,1673302500000,1,,2023-01-09 14:15:00-08:00
2.1838,2.1838,2.1838,2.1838,100,2.1838,1673372100000,1,,2023-01-10 09:35:00-08:00
