open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
0.349999,0.349999,0.349999,0.349999,100,0.35,1673544600000,1,,2023-01-12 09:30:00-08:00
0.319999,0.319999,0.319999,0.319999,100,0.32,1673545800000,1,,2023-01-12 09:50:00-08:00
0.319999,0.319999,0.319999,0.319999,200,0.32,1673546100000,2,,2023-01-12 09:55:00-08:00
0.349999,0.349999,0.349999,0.349999,100,0.35,1673548800000,1,,2023-01-12 10:40:00-08:00
0.319999,0.319999,0.319999,0.319999,100,0.32,1673549700000,1,,2023-01-12 10:55:00-08:00
0.319999,0.319999,0.319999,0.319999,200,0.32,1673553600000,2,,2023-01-12 12:00:00-08:00
0.319999,0.319999,0.319999,0.319999,100,0.32,1673553900000,1,,2023-01-12 12:05:00-08:00
0.319999,0.319999,0.319999,0.319999,100,0.32,1673555100000,1,,2023-01-12 12:25:00-08:00
0.2825,0.2825,0.2825,0.2825,200,0.2825,1673632500000,2,,2023-01-13 09:55:00-08:00
0.2825,0.2825,0.2825,0.2825,100,0.2825,1673632800000,1,,2023-01-13 10:00:00-08:00
0.349999,0.349999,0.349999,0.349999,100,0.35,1673633400000,1,,2023-01-13 10:10:00-08:00
0.33,0.33,0.33,0.33,600,0.33,1673986500000,1,,2023-01-17 12:15:00-08:00
0.2825,0.2825,0.2825,0.2825,100,0.2825,1674063900000,1,,2023-01-18 09:45:00-08:00
0.2825,0.2825,0.2825,0.2825,100,0.2825,1674065400000,1,,2023-01-18 10:10:00-08:00
0.2825,0.2825,0.2825,0.2825,100,0.2825,1674065700000,1,,2023-01-18 10:15:00-08:00
0.2825,0.349999,0.2825,0.349999,200,0.3162,1674068700000,2,,2023-01-18 11:05:00-08:00
0.344,0.344,0.2803,0.2803,200,0.3122,1674245100000,2,,2023-01-20 12:05:00-08:00
0.2811,0.2811,0.2803,0.2803,200,0.2807,1674500400000,2,,2023-01-23 11:00:00-08:00
0.328,0.328,0.327,0.328,704,0.3279,1674505500000,8,,2023-01-23 12:25:00-08:00
0.3,0.3,0.3,0.3,1000,0.3,1675447800000,1,,2023-02-03 10:10:00-08:00
0.3,0.3,0.3,0.3,500,0.3,1675448100000,1,,2023-02-03 10:15:00-08:00
0.3,0.3,0.3,0.3,3500,0.3,1675451100000,1,,2023-02-03 11:05:00-08:00
0.35,0.35,0.35,0.35,3500,0.35,1675456800000,12,,2023-02-03 12:40:00-08:00
0.35,0.35,0.35,0.35,839,0.35,1675457100000,1,,2023-02-03 12:45:00-08:00
0.35,0.35,0.35,0.35,1161,0.35,1675457400000,1,,2023-02-03 12:50:00-08:00
0.4,0.4,0.4,0.4,900,0.4,1675880700000,1,,2023-02-08 10:25:00-08:00
0.4,0.4,0.0301,0.1935,7200,0.3172,1675881000000,13,,2023-02-08 10:30:00-08:00
0.21,0.2891,0.1001,0.261028,2800,0.2172,1675881300000,22,,2023-02-08 10:35:00-08:00
0.375,0.3758,0.375,0.3758,800,0.3755,1675881600000,5,,2023-02-08 10:40:00-08:00
0.4,0.4,0.4,0.4,100,0.4,1675884000000,1,,2023-02-08 11:20:00-08:00
0.405,0.405,0.405,0.405,100,0.405,1675887900000,1,,2023-02-08 12:25:00-08:00
0.44,0.44,0.44,0.44,100,0.44,1675976100000,1,,2023-02-09 12:55:00-08:00
0.4,0.4,0.4,0.4,198,0.4,1676061000000,4,,2023-02-10 12:30:00-08:00
