open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
11.98,11.98,11.96,11.98,1679,11.9772,1672767300000,48,,2023-01-03 09:35:00-08:00
12.0,12.01,11.92,11.93,3574,11.9874,1672767600000,64,,2023-01-03 09:40:00-08:00
11.93,11.93,11.87,11.8783,2054,11.8954,1672767900000,35,,2023-01-03 09:45:00-08:00
11.87,11.89,11.87,11.89,1521,11.8815,1672768200000,46,,2023-01-03 09:50:00-08:00
11.91,11.95,11.909,11.95,1110,11.9233,1672768500000,23,,2023-01-03 09:55:00-08:00
11.95,11.98,11.9499,11.98,2386,11.9601,1672768800000,49,,2023-01-03 10:00:00-08:00
11.97,12.005,11.97,11.995,3364,11.9882,1672769100000,72,,2023-01-03 10:05:00-08:00
11.99,11.99,11.94,11.94,959,11.9708,1672769400000,25,,2023-01-03 10:10:00-08:00
11.94,11.945,11.92,11.92,1805,11.9294,1672769700000,50,,2023-01-03 10:15:00-08:00
11.92,11.925,11.91,11.925,1344,11.9206,1672770000000,50,,2023-01-03 10:20:00-08:00
11.94,12.01,11.94,12.01,3548,11.9812,1672770300000,83,,2023-01-03 10:25:00-08:00
12.05,12.05,11.99,11.99,5622,12.0316,1672770600000,126,,2023-01-03 10:30:00-08:00
12.01,12.049,12.0,12.0,2257,12.0156,1672770900000,48,,2023-01-03 10:35:00-08:00
11.97,11.97,11.97,11.97,375,11.9743,1672771200000,13,,2023-01-03 10:40:00-08:00
11.965,12.009,11.96,12.0,5249,11.9868,1672771500000,124,,2023-01-03 10:45:00-08:00
12.0,12.005,11.93,11.94,7900,11.9831,1672771800000,88,,2023-01-03 10:50:00-08:00
11.955,11.98,11.955,11.98,465,11.9677,1672772100000,16,,2023-01-03 10:55:00-08:00
11.98,12.0,11.95,11.95,5132,11.9822,1672772400000,85,,2023-01-03 11:00:00-08:00
11.94,11.975,11.94,11.965,2963,11.9645,1672772700000,74,,2023-01-03 11:05:00-08:00
11.969,11.98,11.91,11.925,14796,11.9321,1672773000000,156,,2023-01-03 11:10:00-08:00
11.92,11.93,11.91,11.925,2884,11.9196,1672773300000,53,,2023-01-03 11:15:00-08:00
11.939,11.94,11.925,11.925,1071,11.9292,1672773600000,18,,2023-01-03 11:20:00-08:00
11.91,11.92,11.905,11.92,2163,11.9153,1672773900000,66,,2023-01-03 11:25:00-08:00
11.929,11.929,11.865,11.865,3458,11.8846,1672774200000,67,,2023-01-03 11:30:00-08:00
11.865,11.88,11.865,11.88,438,11.8686,1672774500000,15,,2023-01-03 11:35:00-08:00
11.88,11.94,11.88,11.94,5234,11.9171,1672774800000,94,,2023-01-03 11:40:00-08:00
11.94,12.005,11.94,11.97,8691,11.9889,1672775100000,162,,2023-01-03 11:45:00-08:00
11.98,12.0,11.95,11.95,2299,11.9852,1672775400000,50,,2023-01-03 11:50:00-08:00
11.97,11.97,11.939,11.939,5601,11.9495,1672775700000,113,,2023-01-03 11:55:00-08:00
11.94,11.95,11.92,11.94,7431,11.9383,1672776000000,130,,2023-01-03 12:00:00-08:00
11.94,11.965,11.94,11.96,2041,11.9586,1672776300000,55,,2023-01-03 12:05:00-08:00
11.98,12.0,11.96,12.0,2613,11.9794,1672776600000,57,,2023-01-03 12:10:00-08:00
12.0,12.01,11.995,12.0,2306,12.0006,1672776900000,48,,2023-01-03 12:15:00-08:00
12.0,12.0,11.955,11.96,6714,11.9771,1672777200000,160,,2023-01-03 12:20:00-08:00
11.95,11.965,11.95,11.96,5595,11.9576,1672777500000,81,,2023-01-03 12:25:00-08:00
11.97,11.99,11.965,11.99,4313,11.974,1672777800000,97,,2023-01-03 12:30:00-08:00
11.999,12.0,11.96,11.969,3574,11.9745,1672778100000,89,,2023-01-03 12:35:00-08:00
11.97,12.01,11.93,12.01,31474,11.9665,1672778400000,282,,2023-01-03 12:40:00-08:00
12.01,12.05,12.0,12.05,5126,12.0224,1672778700000,136,,2023-01-03 12:45:00-08:00
12.05,12.1,12.035,12.1,15340,12.069,1672779000000,338,,2023-01-03 12:50:00-08:00
12.09,12.1,12.05,12.055,34241,12.0674,1672779300000,570,,2023-01-03 12:55:00-08:00
12.06,12.06,12.06,12.06,8502,12.06,1672779600000,4,,2023-01-03 13:00:00-08:00
11.56,11.95,11.56,11.95,2000,11.755,1672782300000,3,,2023-01-03 13:45:00-08:00
12.49,12.56,12.48,12.52,18022,12.5281,1672853400000,118,,2023-01-04 09:30:00-08:00
12.52,12.52,12.45,12.45,69967,12.5069,1672853700000,145,,2023-01-04 09:35:00-08:00
12.45,12.51,12.45,12.47,32222,12.5035,1672854000000,85,,2023-01-04 09:40:00-08:00
12.485,12.49,12.38,12.41,5807,12.4517,1672854300000,86,,2023-01-04 09:45:00-08:00
12.395,12.395,12.32,12.38,39538,12.3565,1672854600000,190,,2023-01-04 09:50:00-08:00
12.37,12.37,12.33,12.335,11323,12.3543,1672854900000,27,,2023-01-04 09:55:00-08:00
12.335,12.335,12.23,12.25,12752,12.2759,1672855200000,46,,2023-01-04 10:00:00-08:00
12.255,12.255,12.23,12.23,1500,12.242,1672855500000,32,,2023-01-04 10:05:00-08:00
12.23,12.305,12.23,12.305,2931,12.2629,1672855800000,82,,2023-01-04 10:10:00-08:00
12.329,12.38,12.329,12.38,789,12.3464,1672856100000,25,,2023-01-04 10:15:00-08:00
12.4,12.4,12.375,12.39,1413,12.3886,1672856400000,49,,2023-01-04 10:20:00-08:00
12.415,12.43,12.4,12.4,26406,12.4144,1672856700000,40,,2023-01-04 10:25:00-08:00
12.41,12.44,12.41,12.44,3922,12.4209,1672857000000,106,,2023-01-04 10:30:00-08:00
12.45,12.46,12.41,12.43,4390,12.4331,1672857300000,70,,2023-01-04 10:35:00-08:00
12.44,12.44,12.4196,12.4196,10533,12.439,1672857600000,9,,2023-01-04 10:40:00-08:00
12.44,12.45,12.395,12.395,2028,12.4261,1672857900000,59,,2023-01-04 10:45:00-08:00
12.415,12.415,12.4,12.4,15541,12.41,1672858200000,23,,2023-01-04 10:50:00-08:00
12.43,12.45,12.33,12.33,5961,12.3986,1672858500000,98,,2023-01-04 10:55:00-08:00
12.31,12.385,12.27,12.305,4534,12.3224,1672858800000,72,,2023-01-04 11:00:00-08:00
12.36,12.38,12.28,12.28,5927,12.342,1672859100000,77,,2023-01-04 11:05:00-08:00
12.27,12.35,12.26,12.33,2306,12.2954,1672859400000,50,,2023-01-04 11:10:00-08:00
12.36,12.39,12.36,12.39,701,12.3778,1672859700000,16,,2023-01-04 11:15:00-08:00
12.4,12.4,12.32,12.32,2317,12.355,1672860000000,51,,2023-01-04 11:20:00-08:00
12.28,12.28,12.21,12.21,5130,12.258,1672860300000,45,,2023-01-04 11:25:00-08:00
12.2,12.23,12.18,12.23,3279,12.2051,1672860600000,47,,2023-01-04 11:30:00-08:00
12.235,12.255,12.235,12.255,2241,12.2453,1672860900000,45,,2023-01-04 11:35:00-08:00
12.24,12.281,12.23,12.281,734,12.246,1672861200000,20,,2023-01-04 11:40:00-08:00
12.27,12.33,12.27,12.33,1301,12.2993,1672861500000,31,,2023-01-04 11:45:00-08:00
12.3,12.38,12.3,12.36,1344,12.3313,1672861800000,36,,2023-01-04 11:50:00-08:00
12.36,12.41,12.36,12.41,2718,12.3787,1672862100000,46,,2023-01-04 11:55:00-08:00
12.39,12.425,12.39,12.41,4715,12.405,1672862400000,62,,2023-01-04 12:00:00-08:00
12.415,12.415,12.4,12.4,497,12.406,1672862700000,8,,2023-01-04 12:05:00-08:00
12.39,12.395,12.32,12.34,7738,12.3666,1672863000000,121,,2023-01-04 12:10:00-08:00
12.35,12.355,12.35,12.355,601,12.3534,1672863300000,22,,2023-01-04 12:15:00-08:00
12.34,12.34,12.3,12.3,3230,12.3276,1672863600000,64,,2023-01-04 12:20:00-08:00
12.32,12.32,12.291,12.3085,6073,12.3097,1672863900000,117,,2023-01-04 12:25:00-08:00
12.3,12.3,12.25,12.255,4351,12.2742,1672864200000,80,,2023-01-04 12:30:00-08:00
12.22,12.235,12.18,12.22,7022,12.2116,1672864500000,115,,2023-01-04 12:35:00-08:00
12.22,12.29,12.22,12.255,23763,12.2598,1672864800000,291,,2023-01-04 12:40:00-08:00
12.25,12.33,12.245,12.33,15352,12.2764,1672865100000,200,,2023-01-04 12:45:00-08:00
12.34,12.39,12.34,12.385,21364,12.3637,1672865400000,315,,2023-01-04 12:50:00-08:00
12.395,12.455,12.39,12.435,55303,12.4288,1672865700000,674,,2023-01-04 12:55:00-08:00
12.44,12.44,12.44,12.44,1737,12.44,1672866000000,2,,2023-01-04 13:00:00-08:00
12.66,12.66,12.66,12.66,100,12.66,1672871100000,1,,2023-01-04 14:25:00-08:00
11.96,11.98,11.96,11.98,1471,11.9737,1672939800000,27,,2023-01-05 09:30:00-08:00
11.97,11.97,11.92,11.95,2700,11.951,1672940100000,45,,2023-01-05 09:35:00-08:00
11.96,11.97,11.94,11.94,966,11.9516,1672940400000,18,,2023-01-05 09:40:00-08:00
11.935,11.935,11.9,11.92,2251,11.9165,1672940700000,52,,2023-01-05 09:45:00-08:00
11.93,11.93,11.89,11.89,1529,11.9122,1672941000000,44,,2023-01-05 09:50:00-08:00
11.885,11.885,11.84,11.8699,3390,11.8677,1672941300000,45,,2023-01-05 09:55:00-08:00
11.8593,11.89,11.8593,11.89,6452,11.8643,1672941600000,44,,2023-01-05 10:00:00-08:00
11.91,11.93,11.905,11.93,2412,11.9176,1672941900000,46,,2023-01-05 10:05:00-08:00
11.92,11.94,11.91,11.93,1464,11.9266,1672942200000,29,,2023-01-05 10:10:00-08:00
11.925,11.97,11.925,11.9532,3405,11.9473,1672942500000,64,,2023-01-05 10:15:00-08:00
11.955,12.08,11.955,12.04,5299,12.0334,1672942800000,90,,2023-01-05 10:20:00-08:00
12.06,12.07,12.05,12.07,528,12.0641,1672943100000,5,,2023-01-05 10:25:00-08:00
12.089,12.1,12.089,12.1,677,12.0944,1672943400000,12,,2023-01-05 10:30:00-08:00
12.11,12.11,12.07,12.07,2848,12.083,1672943700000,43,,2023-01-05 10:35:00-08:00
12.08,12.08,12.03,12.04,4883,12.0678,1672944000000,75,,2023-01-05 10:40:00-08:00
12.035,12.06,12.02,12.05,2256,12.0511,1672944300000,38,,2023-01-05 10:45:00-08:00
12.06,12.06,12.0514,12.06,1110,12.0598,1672944600000,32,,2023-01-05 10:50:00-08:00
12.05,12.07,12.05,12.05,1438,12.0551,1672944900000,38,,2023-01-05 10:55:00-08:00
12.02,12.03,11.99,11.99,2696,12.0108,1672945200000,57,,2023-01-05 11:00:00-08:00
11.98,12.05,11.98,12.05,2235,12.0029,1672945500000,30,,2023-01-05 11:05:00-08:00
12.04,12.04,11.96,11.98,3978,11.9963,1672945800000,65,,2023-01-05 11:10:00-08:00
12.0,12.03,12.0,12.03,614,12.0155,1672946100000,17,,2023-01-05 11:15:00-08:00
12.025,12.04,12.01,12.035,1300,12.0301,1672946400000,21,,2023-01-05 11:20:00-08:00
12.02,12.035,12.02,12.02,3260,12.0241,1672946700000,54,,2023-01-05 11:25:00-08:00
12.01,12.035,12.01,12.03,2363,12.0286,1672947000000,42,,2023-01-05 11:30:00-08:00
12.04,12.1,12.04,12.09,3428,12.066,1672947300000,49,,2023-01-05 11:35:00-08:00
12.11,12.11,12.07,12.075,3972,12.0937,1672947600000,71,,2023-01-05 11:40:00-08:00
12.075,12.135,12.075,12.135,1879,12.1047,1672947900000,37,,2023-01-05 11:45:00-08:00
12.12,12.14,12.11,12.11,3691,12.1214,1672948200000,47,,2023-01-05 11:50:00-08:00
12.1,12.1,12.01,12.02,3538,12.0545,1672948500000,70,,2023-01-05 11:55:00-08:00
12.03,12.03,11.99,12.0,8028,12.0057,1672948800000,75,,2023-01-05 12:00:00-08:00
11.98,11.99,11.96,11.96,2463,11.9756,1672949100000,37,,2023-01-05 12:05:00-08:00
11.965,11.965,11.955,11.96,1139,11.9601,1672949400000,18,,2023-01-05 12:10:00-08:00
11.97,11.99,11.96,11.96,4935,11.974,1672949700000,72,,2023-01-05 12:15:00-08:00
11.97,11.97,11.95,11.9501,3260,11.9589,1672950000000,53,,2023-01-05 12:20:00-08:00
11.945,11.95,11.945,11.95,1590,11.9497,1672950300000,20,,2023-01-05 12:25:00-08:00
11.95,11.96,11.915,11.95,8829,11.9364,1672950600000,135,,2023-01-05 12:30:00-08:00
11.95,11.97,11.945,11.96,4642,11.9513,1672950900000,76,,2023-01-05 12:35:00-08:00
11.965,11.98,11.955,11.96,7303,11.9658,1672951200000,112,,2023-01-05 12:40:00-08:00
11.965,11.975,11.95,11.97,9307,11.9621,1672951500000,134,,2023-01-05 12:45:00-08:00
11.97,12.0,11.95,11.97,25723,11.9729,1672951800000,377,,2023-01-05 12:50:00-08:00
11.97,12.02,11.97,12.005,55706,11.9993,1672952100000,588,,2023-01-05 12:55:00-08:00
12.0,12.0,12.0,12.0,1991,12.0,1672952400000,4,,2023-01-05 13:00:00-08:00
11.85,11.85,11.85,11.85,100,11.85,1672961700000,1,,2023-01-05 15:35:00-08:00
11.9391,11.9391,11.9,11.905,1764,11.9199,1673026200000,23,,2023-01-06 09:30:00-08:00
11.9,11.9,11.885,11.9,2073,11.8938,1673026500000,35,,2023-01-06 09:35:00-08:00
11.89,11.89,11.87,11.87,318,11.8792,1673026800000,10,,2023-01-06 09:40:00-08:00
11.86,11.89,11.86,11.89,370,11.8814,1673027100000,10,,2023-01-06 09:45:00-08:00
11.87,11.87,11.85,11.85,200,11.86,1673027400000,2,,2023-01-06 09:50:00-08:00
11.88,11.89,11.855,11.885,1286,11.8701,1673027700000,26,,2023-01-06 09:55:00-08:00
11.88,11.9,11.87,11.885,1809,11.8837,1673028000000,23,,2023-01-06 10:00:00-08:00
11.9,11.92,11.9,11.91,2269,11.9091,1673028300000,36,,2023-01-06 10:05:00-08:00
