open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
6.345,6.395,6.345,6.37,7013.0,6.3774,1672767000000,93,,2023-01-03 09:30:00-08:00
6.375,6.375,6.335,6.34,3109.0,6.3543,1672767300000,46,,2023-01-03 09:35:00-08:00
6.33,6.335,6.31,6.315,5018.0,6.3279,1672767600000,52,,2023-01-03 09:40:00-08:00
6.31,6.33,6.31,6.325,4955.0,6.3187,1672767900000,67,,2023-01-03 09:45:00-08:00
6.325,6.35,6.32,6.35,3630.0,6.3373,1672768200000,51,,2023-01-03 09:50:00-08:00
6.345,6.36,6.325,6.36,4737.0,6.3445,1672768500000,69,,2023-01-03 09:55:00-08:00
6.35,6.355,6.335,6.355,4580.0,6.3469,1672768800000,63,,2023-01-03 10:00:00-08:00
6.355,6.37,6.355,6.365,2470.0,6.3626,1672769100000,33,,2023-01-03 10:05:00-08:00
6.365,6.38,6.355,6.355,6197.0,6.3686,1672769400000,85,,2023-01-03 10:10:00-08:00
6.36,6.375,6.35,6.375,4230.0,6.3598,1672769700000,60,,2023-01-03 10:15:00-08:00
6.37,6.39,6.37,6.39,2410.0,6.3766,1672770000000,38,,2023-01-03 10:20:00-08:00
6.385,6.415,6.385,6.415,9844.0,6.4021,1672770300000,105,,2023-01-03 10:25:00-08:00
6.415,6.415,6.39,6.39,2909.0,6.3999,1672770600000,45,,2023-01-03 10:30:00-08:00
6.385,6.4,6.38,6.382,3192.0,6.3898,1672770900000,41,,2023-01-03 10:35:00-08:00
6.385,6.4,6.38,6.385,3720.0,6.3893,1672771200000,51,,2023-01-03 10:40:00-08:00
6.39,6.395,6.38,6.395,2419.0,6.3872,1672771500000,46,,2023-01-03 10:45:00-08:00
6.39,6.39,6.365,6.365,10230.0,6.3795,1672771800000,116,,2023-01-03 10:50:00-08:00
6.365,6.365,6.325,6.335,16687.0,6.3497,1672772100000,127,,2023-01-03 10:55:00-08:00
6.34,6.345,6.325,6.325,7565.0,6.3332,1672772400000,74,,2023-01-03 11:00:00-08:00
6.33,6.335,6.325,6.33,6023.0,6.3297,1672772700000,80,,2023-01-03 11:05:00-08:00
