open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
7.432,7.432,7.432,7.432,100,7.432,1672767000000,1,,2023-01-03 09:30:00-08:00
7.405,7.4193,7.37,7.37,1100,7.3903,1672767300000,10,,2023-01-03 09:35:00-08:00
7.39,7.39,7.32,7.34,4965,7.3276,1672767600000,23,,2023-01-03 09:40:00-08:00
7.3,7.325,7.3,7.325,1936,7.3093,1672767900000,24,,2023-01-03 09:45:00-08:00
7.3592,7.3592,7.3592,7.3592,100,7.3592,1672768200000,1,,2023-01-03 09:50:00-08:00
7.36,7.36,7.36,7.36,109,7.3572,1672768500000,4,,2023-01-03 09:55:00-08:00
7.38,7.38,7.35,7.35,1911,7.3734,1672768800000,27,,2023-01-03 10:00:00-08:00
7.35,7.35,7.35,7.35,510,7.3516,1672769100000,19,,2023-01-03 10:05:00-08:00
7.36,7.395,7.36,7.395,612,7.3724,1672769400000,12,,2023-01-03 10:10:00-08:00
7.3753,7.3753,7.3753,7.3753,100,7.3753,1672770300000,1,,2023-01-03 10:25:00-08:00
7.3981,7.4,7.3981,7.4,304,7.3987,1672770600000,2,,2023-01-03 10:30:00-08:00
7.37,7.37,7.37,7.37,285,7.3747,1672770900000,9,,2023-01-03 10:35:00-08:00
7.37,7.38,7.35,7.38,1010,7.3582,1672771200000,24,,2023-01-03 10:40:00-08:00
7.3906,7.3906,7.39,7.39,950,7.3901,1672771800000,2,,2023-01-03 10:50:00-08:00
7.39,7.395,7.39,7.395,620,7.3908,1672772100000,8,,2023-01-03 10:55:00-08:00
7.4095,7.4095,7.39,7.39,384,7.3985,1672772700000,7,,2023-01-03 11:05:00-08:00
7.39,7.39,7.39,7.39,377,7.3896,1672773000000,4,,2023-01-03 11:10:00-08:00
7.385,7.385,7.385,7.385,361,7.385,1672773300000,5,,2023-01-03 11:15:00-08:00
7.38,7.39,7.315,7.32,1958,7.3428,1672773600000,25,,2023-01-03 11:20:00-08:00
7.3,7.3,7.3,7.3,595,7.2978,1672773900000,11,,2023-01-03 11:25:00-08:00
7.28,7.28,7.27,7.27,751,7.276,1672774200000,5,,2023-01-03 11:30:00-08:00
7.25,7.3,7.24,7.3,1952,7.2536,1672774500000,32,,2023-01-03 11:35:00-08:00
7.25,7.26,7.1325,7.19,15627,7.2002,1672774800000,122,,2023-01-03 11:40:00-08:00
7.165,7.32,7.165,7.296,7203,7.2722,1672775100000,69,,2023-01-03 11:45:00-08:00
7.29,7.29,7.25,7.25,496,7.2667,1672775400000,8,,2023-01-03 11:50:00-08:00
7.25,7.265,7.25,7.265,204,7.2576,1672776000000,3,,2023-01-03 12:00:00-08:00
7.28,7.32,7.27,7.3,2861,7.2914,1672776600000,68,,2023-01-03 12:10:00-08:00
7.31,7.48,7.31,7.48,4413,7.3913,1672776900000,88,,2023-01-03 12:15:00-08:00
7.465,7.53,7.39,7.39,13739,7.451,1672777200000,157,,2023-01-03 12:20:00-08:00
7.38,7.38,7.3055,7.31,6759,7.3233,1672777500000,115,,2023-01-03 12:25:00-08:00
7.32,7.33,7.25,7.26,8812,7.3045,1672777800000,122,,2023-01-03 12:30:00-08:00
7.265,7.265,7.265,7.265,217,7.2722,1672778100000,4,,2023-01-03 12:35:00-08:00
7.265,7.29,7.265,7.29,857,7.279,1672778400000,26,,2023-01-03 12:40:00-08:00
7.29,7.3,7.29,7.29,610,7.29,1672778700000,10,,2023-01-03 12:45:00-08:00
7.2876,7.42,7.2876,7.32,7355,7.3343,1672779000000,105,,2023-01-03 12:50:00-08:00
7.33,7.33,7.23,7.26,11618,7.2862,1672779300000,150,,2023-01-03 12:55:00-08:00
7.15,7.17,7.15,7.165,1211,7.1529,1672853400000,7,,2023-01-04 09:30:00-08:00
7.17,7.17,7.17,7.17,108,7.1704,1672854300000,3,,2023-01-04 09:45:00-08:00
7.19,7.19,7.17,7.17,515,7.1851,1672854600000,8,,2023-01-04 09:50:00-08:00
7.2099,7.2099,7.2099,7.2099,100,7.2099,1672854900000,1,,2023-01-04 09:55:00-08:00
7.19,7.23,7.1875,7.2,3980,7.2072,1672855500000,52,,2023-01-04 10:05:00-08:00
7.19,7.205,7.18,7.18,737,7.1914,1672856100000,19,,2023-01-04 10:15:00-08:00
7.18,7.19,7.18,7.18,651,7.1839,1672856400000,7,,2023-01-04 10:20:00-08:00
7.19,7.195,7.17,7.17,834,7.183,1672857000000,13,,2023-01-04 10:30:00-08:00
