open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
139.98,140.29,139.8,140.0,5185,140.0359,1672767000000,209,,2023-01-03 09:30:00-08:00
139.88,140.2,139.88,140.2,556,140.1202,1672767300000,27,,2023-01-03 09:35:00-08:00
139.65,139.73,139.38,139.56,2339,139.6048,1672767600000,106,,2023-01-03 09:40:00-08:00
139.36,139.36,139.29,139.29,1339,139.2883,1672767900000,50,,2023-01-03 09:45:00-08:00
139.37,139.4841,139.37,139.4841,658,139.4647,1672768200000,24,,2023-01-03 09:50:00-08:00
139.535,139.8,139.535,139.8,343,139.6604,1672768500000,5,,2023-01-03 09:55:00-08:00
139.66,139.66,139.66,139.66,165,139.6747,1672768800000,8,,2023-01-03 10:00:00-08:00
139.57,139.69,139.545,139.545,1205,139.5669,1672769100000,41,,2023-01-03 10:05:00-08:00
139.68,139.68,139.09,139.09,2424,139.2121,1672769400000,82,,2023-01-03 10:10:00-08:00
139.1419,139.545,139.1419,139.5,2876,139.3313,1672769700000,114,,2023-01-03 10:15:00-08:00
139.36,139.5,139.27,139.5,2127,139.3619,1672770000000,77,,2023-01-03 10:20:00-08:00
139.5,139.53,139.31,139.31,1553,139.4793,1672770300000,100,,2023-01-03 10:25:00-08:00
139.49,139.49,138.5079,138.5079,4052,138.9947,1672770600000,152,,2023-01-03 10:30:00-08:00
138.44,139.07,138.44,139.07,2199,138.7295,1672770900000,69,,2023-01-03 10:35:00-08:00
139.02,139.02,138.995,138.995,229,139.0159,1672771200000,6,,2023-01-03 10:40:00-08:00
138.9,138.9,138.66,138.775,2756,138.7807,1672771500000,120,,2023-01-03 10:45:00-08:00
139.01,139.01,138.39,138.39,3242,138.6944,1672771800000,112,,2023-01-03 10:50:00-08:00
138.52,138.9,138.52,138.56,5261,138.7417,1672772100000,164,,2023-01-03 10:55:00-08:00
138.44,138.7793,138.44,138.7793,2806,138.6322,1672772400000,39,,2023-01-03 11:00:00-08:00
138.63,138.63,137.375,137.375,6652,137.9254,1672772700000,215,,2023-01-03 11:05:00-08:00
137.105,137.105,136.29,136.5,3724,136.7219,1672773000000,143,,2023-01-03 11:10:00-08:00
137.1,137.47,137.07,137.07,2535,137.1973,1672773300000,153,,2023-01-03 11:15:00-08:00
137.09,137.15,137.09,137.15,303,137.1702,1672773600000,16,,2023-01-03 11:20:00-08:00
136.885,136.885,136.52,136.52,2790,136.77,1672773900000,149,,2023-01-03 11:25:00-08:00
136.41,136.41,135.84,136.05,4399,136.1042,1672774200000,162,,2023-01-03 11:30:00-08:00
135.86,135.89,135.68,135.74,3954,135.8366,1672774500000,141,,2023-01-03 11:35:00-08:00
135.675,136.13,135.665,136.12,2481,136.0009,1672774800000,79,,2023-01-03 11:40:00-08:00
136.26,136.92,136.26,136.46,1991,136.6502,1672775100000,87,,2023-01-03 11:45:00-08:00
136.6,136.69,136.4,136.69,1943,136.5468,1672775400000,51,,2023-01-03 11:50:00-08:00
136.64,137.34,136.64,137.338,2903,137.0277,1672775700000,100,,2023-01-03 11:55:00-08:00
137.61,137.63,137.34,137.34,2728,137.4742,1672776000000,78,,2023-01-03 12:00:00-08:00
137.2,137.66,137.2,137.66,1510,137.4252,1672776300000,44,,2023-01-03 12:05:00-08:00
137.92,138.3028,137.92,138.02,1924,138.1547,1672776600000,24,,2023-01-03 12:10:00-08:00
138.06,138.19,137.72,137.72,1693,137.9223,1672776900000,71,,2023-01-03 12:15:00-08:00
137.45,137.66,137.36,137.57,2383,137.5005,1672777200000,100,,2023-01-03 12:20:00-08:00
137.57,137.57,137.57,137.57,412,137.5971,1672777500000,7,,2023-01-03 12:25:00-08:00
137.63,137.63,137.63,137.63,423,137.7665,1672777800000,17,,2023-01-03 12:30:00-08:00
137.87,138.08,137.5,137.995,7033,137.7884,1672778100000,239,,2023-01-03 12:35:00-08:00
138.13,138.18,137.37,137.71,12675,137.9195,1672778400000,273,,2023-01-03 12:40:00-08:00
137.92,137.95,137.71,137.71,5424,137.859,1672778700000,233,,2023-01-03 12:45:00-08:00
137.37,137.65,137.055,137.32,9842,137.3696,1672779000000,370,,2023-01-03 12:50:00-08:00
137.45,137.53,136.94,137.21,26663,137.2796,1672779300000,799,,2023-01-03 12:55:00-08:00
137.34,137.34,137.34,137.34,7461,137.34,1672779600000,3,,2023-01-03 13:00:00-08:00
139.04,139.21,139.04,139.21,1074,139.1029,1672853400000,58,,2023-01-04 09:30:00-08:00
139.39,139.5,139.39,139.4,3101,139.3979,1672853700000,103,,2023-01-04 09:35:00-08:00
