open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
35.138,35.22,35.138,35.195,1086,35.2014,1672767000000,38,,2023-01-03 09:30:00-08:00
35.12,35.24,34.97,35.22,3983,35.1363,1672767300000,127,,2023-01-03 09:35:00-08:00
35.235,35.235,35.15,35.19,404,35.1913,1672767600000,6,,2023-01-03 09:40:00-08:00
35.14,35.14,35.125,35.125,883,35.1329,1672767900000,21,,2023-01-03 09:45:00-08:00
35.11,35.15,35.001,35.001,3107,35.1168,1672768500000,77,,2023-01-03 09:55:00-08:00
35.0128,35.0128,34.91,34.92,1931,34.9774,1672768800000,45,,2023-01-03 10:00:00-08:00
34.93,35.085,34.93,35.085,6360,35.0033,1672769100000,92,,2023-01-03 10:05:00-08:00
35.06,35.06,34.93,35.005,1604,34.9967,1672769400000,34,,2023-01-03 10:10:00-08:00
34.9,34.9,34.73,34.73,1381,34.8167,1672769700000,75,,2023-01-03 10:15:00-08:00
34.74,34.74,34.74,34.74,795,34.7667,1672770000000,26,,2023-01-03 10:20:00-08:00
34.76,34.78,34.76,34.78,286,34.7683,1672770300000,6,,2023-01-03 10:25:00-08:00
34.86,34.86,34.63,34.7,1722,34.7274,1672770600000,52,,2023-01-03 10:30:00-08:00
34.67,34.79,34.67,34.72,3416,34.7263,1672770900000,48,,2023-01-03 10:35:00-08:00
34.77,34.7743,34.77,34.7743,459,34.7816,1672771200000,21,,2023-01-03 10:40:00-08:00
34.74,34.79,34.73,34.79,1216,34.7519,1672771500000,43,,2023-01-03 10:45:00-08:00
34.8699,34.8699,34.8699,34.8699,119,34.8656,1672771800000,4,,2023-01-03 10:50:00-08:00
34.755,34.755,34.755,34.755,104,34.7562,1672772100000,4,,2023-01-03 10:55:00-08:00
34.75,34.75,34.73,34.73,1986,34.7468,1672772400000,15,,2023-01-03 11:00:00-08:00
34.72,34.7687,34.62,34.66,1119,34.6972,1672772700000,36,,2023-01-03 11:05:00-08:00
34.61,34.66,34.54,34.54,764,34.5668,1672773000000,19,,2023-01-03 11:10:00-08:00
34.51,34.6,34.51,34.57,1872,34.5504,1672773300000,53,,2023-01-03 11:15:00-08:00
34.54,34.54,34.465,34.465,324,34.5105,1672773600000,9,,2023-01-03 11:20:00-08:00
34.39,34.39,34.39,34.39,103,34.3917,1672773900000,3,,2023-01-03 11:25:00-08:00
34.445,34.5,34.445,34.5,726,34.4845,1672774200000,24,,2023-01-03 11:30:00-08:00
34.455,34.455,34.45,34.45,214,34.4569,1672774500000,6,,2023-01-03 11:35:00-08:00
34.51,34.57,34.34,34.34,5739,34.4623,1672774800000,175,,2023-01-03 11:40:00-08:00
34.42,34.42,34.37,34.37,1251,34.4194,1672775100000,30,,2023-01-03 11:45:00-08:00
34.38,34.38,34.36,34.36,1268,34.3712,1672775400000,45,,2023-01-03 11:50:00-08:00
34.44,34.445,34.315,34.315,1147,34.409,1672775700000,45,,2023-01-03 11:55:00-08:00
34.42,34.48,34.4,34.4,2217,34.4379,1672776000000,62,,2023-01-03 12:00:00-08:00
34.47,34.47,34.47,34.47,107,34.4678,1672776300000,5,,2023-01-03 12:05:00-08:00
34.48,34.51,34.45,34.5,2851,34.4704,1672776600000,73,,2023-01-03 12:10:00-08:00
34.57,34.7,34.57,34.64,2255,34.6374,1672776900000,73,,2023-01-03 12:15:00-08:00
34.64,34.64,34.54,34.54,1512,34.5688,1672777200000,71,,2023-01-03 12:20:00-08:00
34.505,34.505,34.44,34.45,1263,34.4694,1672777500000,25,,2023-01-03 12:25:00-08:00
34.57,34.655,34.54,34.655,1793,34.6046,1672777800000,90,,2023-01-03 12:30:00-08:00
34.675,34.675,34.5,34.5947,2186,34.6139,1672778100000,86,,2023-01-03 12:35:00-08:00
34.57,34.61,34.5,34.61,3422,34.5598,1672778400000,195,,2023-01-03 12:40:00-08:00
34.585,34.595,34.585,34.595,2091,34.6037,1672778700000,103,,2023-01-03 12:45:00-08:00
34.66,34.66,34.48,34.63,5437,34.594,1672779000000,284,,2023-01-03 12:50:00-08:00
34.63,34.63,34.34,34.34,16927,34.4801,1672779300000,561,,2023-01-03 12:55:00-08:00
34.36,34.36,34.36,34.36,530,34.36,1672779600000,2,,2023-01-03 13:00:00-08:00
34.885,34.885,34.82,34.82,565,34.8744,1672853700000,8,,2023-01-04 09:35:00-08:00
34.95,34.96,34.86,34.86,928,34.8885,1672854000000,28,,2023-01-04 09:40:00-08:00
34.9,34.9,34.885,34.885,790,34.8949,1672854300000,4,,2023-01-04 09:45:00-08:00
34.9,35.0,34.9,34.95,2762,34.9584,1672854600000,76,,2023-01-04 09:50:00-08:00
34.88,34.88,34.88,34.88,503,34.8804,1672854900000,2,,2023-01-04 09:55:00-08:00
34.87,34.87,34.86,34.87,684,34.8664,1672855200000,22,,2023-01-04 10:00:00-08:00
34.9,34.9,34.9,34.9,428,34.9009,1672855800000,9,,2023-01-04 10:10:00-08:00
34.8,34.92,34.8,34.92,452,34.8779,1672856400000,19,,2023-01-04 10:20:00-08:00
34.8,34.8,34.8,34.8,110,34.8,1672856700000,2,,2023-01-04 10:25:00-08:00
34.86,34.86,34.86,34.86,402,34.8599,1672857000000,4,,2023-01-04 10:30:00-08:00
34.88,34.89,34.88,34.89,1578,34.8871,1672857300000,37,,2023-01-04 10:35:00-08:00
34.94,34.94,34.94,34.94,226,34.933,1672857600000,19,,2023-01-04 10:40:00-08:00
34.8731,34.8731,34.86,34.86,1201,34.866,1672857900000,43,,2023-01-04 10:45:00-08:00
34.85,34.85,34.85,34.85,614,34.8567,1672858200000,20,,2023-01-04 10:50:00-08:00
34.84,34.84,34.72,34.72,202,34.7806,1672858500000,3,,2023-01-04 10:55:00-08:00
34.68,34.875,34.65,34.67,2561,34.7473,1672858800000,53,,2023-01-04 11:00:00-08:00
34.76,34.785,34.76,34.785,1552,34.7807,1672859100000,12,,2023-01-04 11:05:00-08:00
34.66,34.72,34.65,34.69,1572,34.6687,1672859400000,46,,2023-01-04 11:10:00-08:00
34.75,34.85,34.75,34.85,896,34.7898,1672859700000,25,,2023-01-04 11:15:00-08:00
34.73,34.73,34.6,34.6,2374,34.6829,1672860300000,43,,2023-01-04 11:25:00-08:00
34.57,34.65,34.57,34.64,591,34.6205,1672860600000,15,,2023-01-04 11:30:00-08:00
34.625,34.63,34.625,34.63,201,34.6278,1672860900000,3,,2023-01-04 11:35:00-08:00
34.69,34.69,34.69,34.69,147,34.691,1672861200000,9,,2023-01-04 11:40:00-08:00
34.7,34.7,34.67,34.67,390,34.6875,1672861500000,15,,2023-01-04 11:45:00-08:00
34.665,34.665,34.6,34.6,1008,34.6201,1672861800000,36,,2023-01-04 11:50:00-08:00
34.57,34.5792,34.49,34.49,450,34.5548,1672862100000,10,,2023-01-04 11:55:00-08:00
34.57,34.57,34.57,34.57,899,34.5759,1672862400000,11,,2023-01-04 12:00:00-08:00
34.57,34.757,34.57,34.757,1399,34.6707,1672862700000,49,,2023-01-04 12:05:00-08:00
34.725,34.725,34.725,34.725,557,34.7328,1672863000000,10,,2023-01-04 12:10:00-08:00
34.6,34.6,34.595,34.595,210,34.603,1672863300000,7,,2023-01-04 12:15:00-08:00
34.695,34.75,34.64,34.64,2332,34.6637,1672863600000,78,,2023-01-04 12:20:00-08:00
34.65,34.65,34.64,34.65,1401,34.6472,1672863900000,28,,2023-01-04 12:25:00-08:00
