open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
1.165,1.165,1.16,1.16,934.0,1.1624,1672767000000,12,,2023-01-03 09:30:00-08:00
1.166,1.1697,1.16,1.16,17922.0,1.1672,1672767300000,13,,2023-01-03 09:35:00-08:00
1.16,1.17,1.16,1.16,17237.0,1.1608,1672767600000,44,,2023-01-03 09:40:00-08:00
1.16,1.16,1.15,1.15,63883.0,1.1538,1672767900000,90,,2023-01-03 09:45:00-08:00
1.15,1.1599,1.15,1.1597,5341.0,1.1571,1672768200000,14,,2023-01-03 09:50:00-08:00
1.15,1.1599,1.15,1.15,3278.0,1.1553,1672768500000,14,,2023-01-03 09:55:00-08:00
1.15,1.17,1.15,1.165,145013.0,1.1593,1672768800000,163,,2023-01-03 10:00:00-08:00
1.165,1.1699,1.165,1.165,8518.0,1.1651,1672769100000,22,,2023-01-03 10:05:00-08:00
1.165,1.18,1.16,1.1699,90283.0,1.1712,1672769400000,160,,2023-01-03 10:10:00-08:00
1.1688,1.1799,1.16,1.17,24029.0,1.1677,1672769700000,50,,2023-01-03 10:15:00-08:00
1.17,1.1799,1.17,1.175,2679.0,1.175,1672770000000,6,,2023-01-03 10:20:00-08:00
1.175,1.1899,1.175,1.185,18335.0,1.1814,1672770300000,54,,2023-01-03 10:25:00-08:00
1.185,1.1899,1.1841,1.185,3157.0,1.1852,1672770600000,10,,2023-01-03 10:30:00-08:00
1.1814,1.1879,1.18,1.1879,1500.0,1.1815,1672770900000,4,,2023-01-03 10:35:00-08:00
1.18,1.19,1.18,1.185,28151.0,1.1896,1672771200000,39,,2023-01-03 10:40:00-08:00
1.185,1.185,1.185,1.185,1205.0,1.185,1672771500000,9,,2023-01-03 10:45:00-08:00
1.185,1.19,1.185,1.185,3885.0,1.1857,1672771800000,19,,2023-01-03 10:50:00-08:00
1.185,1.185,1.185,1.185,2874.0,1.185,1672772100000,12,,2023-01-03 10:55:00-08:00
1.19,1.19,1.185,1.185,1808.0,1.1852,1672772400000,11,,2023-01-03 11:00:00-08:00
1.185,1.185,1.1816,1.185,3150.0,1.1844,1672772700000,14,,2023-01-03 11:05:00-08:00
1.185,1.185,1.185,1.185,200.0,1.185,1672773000000,1,,2023-01-03 11:10:00-08:00
1.18,1.19,1.18,1.181,1674.0,1.182,1672773300000,7,,2023-01-03 11:15:00-08:00
1.1899,1.1899,1.1899,1.1899,100.0,1.1899,1672773600000,1,,2023-01-03 11:20:00-08:00
1.185,1.185,1.18,1.185,6300.0,1.1809,1672773900000,23,,2023-01-03 11:25:00-08:00
1.185,1.185,1.18,1.1801,7340.0,1.1802,1672774200000,7,,2023-01-03 11:30:00-08:00
1.1899,1.1899,1.175,1.175,21949.0,1.1793,1672774500000,74,,2023-01-03 11:35:00-08:00
1.1715,1.18,1.1715,1.175,9988.0,1.1723,1672774800000,27,,2023-01-03 11:40:00-08:00
1.175,1.1807,1.175,1.175,61755.0,1.1796,1672775100000,119,,2023-01-03 11:45:00-08:00
1.175,1.18,1.1701,1.175,3943.0,1.1751,1672775400000,11,,2023-01-03 11:50:00-08:00
1.175,1.1799,1.175,1.175,602.0,1.1758,1672775700000,7,,2023-01-03 11:55:00-08:00
1.175,1.1782,1.175,1.175,2800.0,1.1751,1672776000000,10,,2023-01-03 12:00:00-08:00
1.18,1.18,1.17,1.175,3767.0,1.1784,1672776300000,15,,2023-01-03 12:05:00-08:00
1.175,1.18,1.175,1.18,1801.0,1.1761,1672776600000,16,,2023-01-03 12:10:00-08:00
1.175,1.18,1.17,1.175,20627.0,1.1795,1672776900000,30,,2023-01-03 12:15:00-08:00
1.1796,1.18,1.175,1.175,1603.0,1.1786,1672777200000,11,,2023-01-03 12:20:00-08:00
1.175,1.1781,1.17,1.175,3399.0,1.1744,1672777500000,17,,2023-01-03 12:25:00-08:00
1.175,1.18,1.17,1.18,2043.0,1.177,1672777800000,20,,2023-01-03 12:30:00-08:00
1.17,1.18,1.17,1.18,5845.0,1.1748,1672778100000,14,,2023-01-03 12:35:00-08:00
1.18,1.18,1.17,1.18,41740.0,1.1751,1672778400000,60,,2023-01-03 12:40:00-08:00
1.175,1.18,1.1701,1.175,34303.0,1.1778,1672778700000,88,,2023-01-03 12:45:00-08:00
1.175,1.18,1.1701,1.1701,10733.0,1.1753,1672779000000,48,,2023-01-03 12:50:00-08:00
1.175,1.19,1.17,1.19,189140.0,1.1799,1672779300000,406,,2023-01-03 12:55:00-08:00
1.2,1.2,1.19,1.19,31704.0,1.19,1672779600000,2,,2023-01-03 13:00:00-08:00
1.17,1.17,1.17,1.17,500.0,1.17,1672780500000,1,,2023-01-03 13:15:00-08:00
1.2,1.2,1.2,1.2,100.0,1.2,1672781100000,1,,2023-01-03 13:25:00-08:00
1.2,1.2,1.2,1.2,1150.0,1.2,1672781700000,1,,2023-01-03 13:35:00-08:00
1.23,1.23,1.2218,1.23,4710.0,1.2268,1672853400000,31,,2023-01-04 09:30:00-08:00
1.23,1.23,1.225,1.23,6874.0,1.2278,1672853700000,36,,2023-01-04 09:35:00-08:00
1.23,1.24,1.23,1.24,20223.0,1.2321,1672854000000,84,,2023-01-04 09:40:00-08:00
1.24,1.24,1.235,1.235,6281.0,1.2398,1672854300000,28,,2023-01-04 09:45:00-08:00
1.235,1.2352,1.235,1.235,3090.0,1.2351,1672854600000,20,,2023-01-04 09:50:00-08:00
1.235,1.24,1.2301,1.235,3828.0,1.235,1672854900000,22,,2023-01-04 09:55:00-08:00
1.24,1.24,1.235,1.235,3300.0,1.2379,1672855200000,6,,2023-01-04 10:00:00-08:00
1.24,1.24,1.2379,1.24,1900.0,1.2399,1672855500000,9,,2023-01-04 10:05:00-08:00
1.2339,1.24,1.2318,1.235,12800.0,1.2381,1672855800000,14,,2023-01-04 10:10:00-08:00
1.24,1.24,1.2301,1.235,14230.0,1.2356,1672856100000,32,,2023-01-04 10:15:00-08:00
1.235,1.24,1.235,1.24,3265.0,1.2374,1672856400000,8,,2023-01-04 10:20:00-08:00
1.2301,1.24,1.2301,1.235,19801.0,1.233,1672856700000,24,,2023-01-04 10:25:00-08:00
1.24,1.24,1.235,1.24,16050.0,1.2394,1672857000000,51,,2023-01-04 10:30:00-08:00
1.24,1.25,1.24,1.25,17784.0,1.2419,1672857300000,57,,2023-01-04 10:35:00-08:00
1.25,1.25,1.245,1.25,2700.0,1.2487,1672857600000,14,,2023-01-04 10:40:00-08:00
1.25,1.25,1.245,1.25,8397.0,1.2499,1672857900000,35,,2023-01-04 10:45:00-08:00
1.25,1.25,1.2483,1.25,2703.0,1.2494,1672858200000,19,,2023-01-04 10:50:00-08:00
1.25,1.25,1.24,1.24,75722.0,1.2424,1672858500000,216,,2023-01-04 10:55:00-08:00
1.24,1.245,1.2319,1.2319,22910.0,1.2384,1672858800000,82,,2023-01-04 11:00:00-08:00
1.24,1.24,1.235,1.24,11003.0,1.2386,1672859100000,53,,2023-01-04 11:05:00-08:00
1.235,1.24,1.23,1.235,8884.0,1.2353,1672859400000,27,,2023-01-04 11:10:00-08:00
1.24,1.24,1.235,1.24,6432.0,1.2395,1672859700000,27,,2023-01-04 11:15:00-08:00
1.24,1.24,1.23,1.235,6203.0,1.236,1672860000000,44,,2023-01-04 11:20:00-08:00
1.23,1.235,1.22,1.22,26903.0,1.2278,1672860300000,75,,2023-01-04 11:25:00-08:00
1.22,1.23,1.22,1.23,2731.0,1.2254,1672860600000,22,,2023-01-04 11:30:00-08:00
1.225,1.23,1.22,1.23,6740.0,1.2251,1672860900000,45,,2023-01-04 11:35:00-08:00
1.225,1.23,1.225,1.23,2425.0,1.2293,1672861200000,16,,2023-01-04 11:40:00-08:00
1.23,1.23,1.2239,1.23,8631.0,1.226,1672861500000,33,,2023-01-04 11:45:00-08:00
1.23,1.235,1.2213,1.235,24185.0,1.2286,1672861800000,62,,2023-01-04 11:50:00-08:00
1.235,1.24,1.235,1.24,3922.0,1.238,1672862100000,14,,2023-01-04 11:55:00-08:00
1.235,1.245,1.235,1.24,42397.0,1.2401,1672862400000,117,,2023-01-04 12:00:00-08:00
1.235,1.24,1.2301,1.235,14182.0,1.2351,1672862700000,50,,2023-01-04 12:05:00-08:00
1.2301,1.24,1.23,1.23,15738.0,1.2331,1672863000000,58,,2023-01-04 12:10:00-08:00
1.24,1.24,1.235,1.24,3330.0,1.2362,1672863300000,26,,2023-01-04 12:15:00-08:00
1.24,1.24,1.235,1.24,7631.0,1.2373,1672863600000,45,,2023-01-04 12:20:00-08:00
1.235,1.24,1.235,1.24,4350.0,1.2359,1672863900000,31,,2023-01-04 12:25:00-08:00
1.24,1.24,1.235,1.24,3072.0,1.2364,1672864200000,31,,2023-01-04 12:30:00-08:00
1.24,1.24,1.235,1.235,4631.0,1.237,1672864500000,43,,2023-01-04 12:35:00-08:00
1.235,1.24,1.22,1.225,83753.0,1.2308,1672864800000,227,,2023-01-04 12:40:00-08:00
1.225,1.23,1.22,1.225,10874.0,1.225,1672865100000,78,,2023-01-04 12:45:00-08:00
1.225,1.23,1.225,1.225,11456.0,1.226,1672865400000,98,,2023-01-04 12:50:00-08:00
1.23,1.24,1.22,1.23,104432.0,1.23,1672865700000,301,,2023-01-04 12:55:00-08:00
1.24,1.24,1.24,1.24,567.0,1.24,1672866000000,1,,2023-01-04 13:00:00-08:00
1.28,1.28,1.28,1.28,1565.0,1.28,1672866600000,1,,2023-01-04 13:10:00-08:00
1.2755,1.28,1.2755,1.28,490.0,1.2777,1672867500000,2,,2023-01-04 13:25:00-08:00
1.2,1.2,1.2,1.2,1000.0,1.2,1672870200000,1,,2023-01-04 14:10:00-08:00
1.22,1.22,1.22,1.22,111.0,1.22,1672870500000,1,,2023-01-04 14:15:00-08:00
1.22,1.22,1.22,1.22,100.0,1.22,1672870800000,1,,2023-01-04 14:20:00-08:00
1.21,1.21,1.21,1.21,7600.0,1.21,1672871700000,1,,2023-01-04 14:35:00-08:00
1.27,1.28,1.27,1.28,3800.0,1.2775,1672873200000,7,,2023-01-04 15:00:00-08:00
1.25,1.2575,1.25,1.25,1600.0,1.2514,1672939800000,10,,2023-01-05 09:30:00-08:00
1.25,1.2599,1.25,1.2599,200.0,1.255,1672940100000,2,,2023-01-05 09:35:00-08:00
1.25,1.255,1.2403,1.245,25792.0,1.249,1672940400000,71,,2023-01-05 09:40:00-08:00
1.25,1.25,1.24,1.245,7716.0,1.2484,1672940700000,23,,2023-01-05 09:45:00-08:00
1.245,1.25,1.235,1.245,123730.0,1.2404,1672941000000,254,,2023-01-05 09:50:00-08:00
1.24,1.245,1.24,1.245,656.0,1.2408,1672941300000,11,,2023-01-05 09:55:00-08:00
1.24,1.24,1.235,1.24,14882.0,1.2392,1672941600000,62,,2023-01-05 10:00:00-08:00
1.24,1.245,1.2318,1.24,7814.0,1.2396,1672941900000,32,,2023-01-05 10:05:00-08:00
1.24,1.245,1.24,1.245,4574.0,1.2406,1672942200000,18,,2023-01-05 10:10:00-08:00
1.24,1.245,1.24,1.245,9234.0,1.2405,1672942500000,23,,2023-01-05 10:15:00-08:00
1.245,1.25,1.24,1.25,5902.0,1.2452,1672942800000,25,,2023-01-05 10:20:00-08:00
1.25,1.25,1.24,1.245,18001.0,1.2433,1672943100000,51,,2023-01-05 10:25:00-08:00
1.24,1.2499,1.24,1.245,5001.0,1.2413,1672943400000,17,,2023-01-05 10:30:00-08:00
1.24,1.245,1.24,1.24,14354.0,1.2405,1672943700000,39,,2023-01-05 10:35:00-08:00
1.24,1.2475,1.24,1.24,11363.0,1.2429,1672944000000,21,,2023-01-05 10:40:00-08:00
1.245,1.25,1.24,1.25,11589.0,1.2415,1672944300000,53,,2023-01-05 10:45:00-08:00
1.245,1.26,1.24,1.253,242807.0,1.2495,1672944600000,338,,2023-01-05 10:50:00-08:00
1.255,1.255,1.25,1.25,2661.0,1.2544,1672944900000,8,,2023-01-05 10:55:00-08:00
1.255,1.2599,1.25,1.255,28581.0,1.2546,1672945200000,65,,2023-01-05 11:00:00-08:00
1.255,1.26,1.25,1.25,14862.0,1.2551,1672945500000,72,,2023-01-05 11:05:00-08:00
1.255,1.26,1.25,1.26,21743.0,1.2534,1672945800000,98,,2023-01-05 11:10:00-08:00
1.255,1.27,1.255,1.265,79943.0,1.2624,1672946100000,233,,2023-01-05 11:15:00-08:00
1.265,1.27,1.26,1.265,985.0,1.2656,1672946400000,7,,2023-01-05 11:20:00-08:00
1.2644,1.27,1.26,1.26,3103.0,1.2649,1672946700000,12,,2023-01-05 11:25:00-08:00
1.26,1.27,1.26,1.26,91280.0,1.2641,1672947000000,144,,2023-01-05 11:30:00-08:00
1.265,1.27,1.26,1.26,47567.0,1.2639,1672947300000,138,,2023-01-05 11:35:00-08:00
1.265,1.27,1.26,1.265,9156.0,1.2619,1672947600000,43,,2023-01-05 11:40:00-08:00
1.26,1.27,1.26,1.27,19636.0,1.2618,1672947900000,63,,2023-01-05 11:45:00-08:00
1.265,1.2655,1.26,1.265,7179.0,1.2646,1672948200000,38,,2023-01-05 11:50:00-08:00
