open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
2.93,2.93,2.93,2.93,631,2.93,1672767900000,5,,2023-01-03 09:45:00-08:00
2.95,2.95,2.95,2.95,200,2.95,1672768200000,1,,2023-01-03 09:50:00-08:00
2.934,2.94,2.934,2.94,671,2.9385,1672776000000,6,,2023-01-03 12:00:00-08:00
2.94,2.94,2.94,2.94,140,2.94,1672776300000,1,,2023-01-03 12:05:00-08:00
2.94,2.94,2.94,2.94,211,2.9395,1672778700000,10,,2023-01-03 12:45:00-08:00
2.94,2.94,2.94,2.94,130,2.9385,1672855200000,8,,2023-01-04 10:00:00-08:00
2.95,2.95,2.95,2.95,1000,2.95,1672855800000,1,,2023-01-04 10:10:00-08:00
2.93,2.93,2.93,2.93,100,2.93,1672857600000,1,,2023-01-04 10:40:00-08:00
2.94,2.94,2.94,2.94,332,2.94,1672857900000,1,,2023-01-04 10:45:00-08:00
2.94,2.94,2.94,2.94,218,2.94,1672862400000,6,,2023-01-04 12:00:00-08:00
2.94,2.94,2.94,2.94,240,2.9383,1672943400000,4,,2023-01-05 10:30:00-08:00
2.9216,2.9216,2.92,2.92,565,2.9214,1673028000000,4,,2023-01-06 10:00:00-08:00
2.945,2.9479,2.9401,2.9479,5500,2.9452,1673286900000,3,,2023-01-09 09:55:00-08:00
2.945,2.945,2.9215,2.9215,5726,2.9358,1673287200000,12,,2023-01-09 10:00:00-08:00
2.935,2.95,2.92,2.9201,8836,2.9215,1673287500000,16,,2023-01-09 10:05:00-08:00
2.9,2.9,2.9,2.9,120,2.9,1673288700000,2,,2023-01-09 10:25:00-08:00
2.88,2.88,2.88,2.88,149,2.88,1673297100000,1,,2023-01-09 12:45:00-08:00
2.9499,2.9499,2.9499,2.9499,100,2.9499,1673379000000,1,,2023-01-10 11:30:00-08:00
2.81,2.81,2.81,2.81,164,2.8104,1673393100000,2,,2023-01-10 15:25:00-08:00
2.89,2.89,2.89,2.89,160,2.89,1673458500000,1,,2023-01-11 09:35:00-08:00
2.9,2.9,2.9,2.9,266,2.9006,1673462700000,6,,2023-01-11 10:45:00-08:00
2.91,2.91,2.91,2.91,200,2.91,1673463000000,2,,2023-01-11 10:50:00-08:00
2.87,2.87,2.85,2.85,1502,2.8533,1673467500000,7,,2023-01-11 12:05:00-08:00
2.9599,2.96,2.9599,2.96,1000,2.9599,1673549700000,2,,2023-01-12 10:55:00-08:00
2.96,2.99,2.96,2.99,1676,2.9789,1673552400000,11,,2023-01-12 11:40:00-08:00
2.9899,2.9899,2.9899,2.9899,250,2.9899,1673552700000,1,,2023-01-12 11:45:00-08:00
2.9899,2.99,2.9899,2.9899,750,2.9899,1673553000000,7,,2023-01-12 11:50:00-08:00
2.98,2.98,2.98,2.98,250,2.98,1673553300000,1,,2023-01-12 11:55:00-08:00
2.9716,2.9716,2.9716,2.9716,150,2.9716,1673554200000,1,,2023-01-12 12:10:00-08:00
2.971,2.971,2.971,2.971,135,2.971,1673555400000,1,,2023-01-12 12:30:00-08:00
2.99,2.99,2.99,2.99,550,2.9909,1673556600000,5,,2023-01-12 12:50:00-08:00
2.99,3.0,2.99,2.9948,2890,2.9983,1673556900000,10,,2023-01-12 12:55:00-08:00
2.94,2.94,2.94,2.94,100,2.94,1673632200000,1,,2023-01-13 09:50:00-08:00
2.9301,2.9301,2.9301,2.9301,150,2.9301,1673632500000,1,,2023-01-13 09:55:00-08:00
2.9302,2.9302,2.9302,2.9302,200,2.9302,1673633100000,1,,2023-01-13 10:05:00-08:00
2.93,2.944,2.93,2.935,5137,2.935,1673637900000,4,,2023-01-13 11:25:00-08:00
2.93,2.93,2.93,2.93,500,2.93,1673641800000,1,,2023-01-13 12:30:00-08:00
2.91,2.91,2.91,2.91,200,2.91,1673643000000,2,,2023-01-13 12:50:00-08:00
2.995,2.9995,2.995,2.9995,5000,2.9987,1673976900000,2,,2023-01-17 09:35:00-08:00
2.995,3.03,2.995,3.0299,6877,3.0149,1673977200000,12,,2023-01-17 09:40:00-08:00
3.01,3.01,3.01,3.01,178,3.0108,1673977500000,2,,2023-01-17 09:45:00-08:00
3.03,3.03,3.03,3.03,101,3.03,1673978700000,1,,2023-01-17 10:05:00-08:00
3.0286,3.0286,3.0286,3.0286,111,3.0287,1673980800000,2,,2023-01-17 10:40:00-08:00
3.03,3.08,3.0281,3.08,11753,3.0466,1673981700000,39,,2023-01-17 10:55:00-08:00
3.0999,3.1,3.06,3.0973,14924,3.0926,1673982000000,42,,2023-01-17 11:00:00-08:00
3.09,3.09,3.0701,3.0792,8452,3.0776,1673982600000,25,,2023-01-17 11:10:00-08:00
3.07,3.07,3.07,3.07,974,3.07,1673982900000,5,,2023-01-17 11:15:00-08:00
3.0899,3.0899,3.07,3.075,1000,3.0759,1673983200000,5,,2023-01-17 11:20:00-08:00
3.0787,3.0787,3.0787,3.0787,300,3.0787,1673983500000,1,,2023-01-17 11:25:00-08:00
3.07,3.07,3.07,3.07,252,3.0793,1673983800000,6,,2023-01-17 11:30:00-08:00
3.0899,3.0899,3.0783,3.0783,500,3.0829,1673984400000,3,,2023-01-17 11:40:00-08:00
3.09,3.09,3.09,3.09,250,3.0887,1673984700000,4,,2023-01-17 11:45:00-08:00
3.08,3.0976,3.0755,3.0976,2300,3.0813,1673985300000,8,,2023-01-17 11:55:00-08:00
3.0973,3.0973,3.0973,3.0973,232,3.0876,1673985900000,3,,2023-01-17 12:05:00-08:00
3.1,3.1,3.1,3.1,300,3.1,1673987400000,3,,2023-01-17 12:30:00-08:00
3.095,3.095,3.095,3.095,200,3.095,1673988000000,2,,2023-01-17 12:40:00-08:00
3.0908,3.0973,3.09,3.0973,1505,3.0929,1673988300000,8,,2023-01-17 12:45:00-08:00
3.095,3.1,3.0904,3.0916,4769,3.0983,1673988600000,14,,2023-01-17 12:50:00-08:00
3.08,3.1,3.07,3.1,1500,3.0909,1673988900000,9,,2023-01-17 12:55:00-08:00
3.2,3.2,3.2,3.2,100,3.2,1674063000000,1,,2023-01-18 09:30:00-08:00
3.175,3.19,3.1501,3.1501,5400,3.1588,1674063300000,5,,2023-01-18 09:35:00-08:00
3.175,3.175,3.15,3.1501,10110,3.1507,1674063600000,7,,2023-01-18 09:40:00-08:00
3.194,3.194,3.194,3.194,275,3.194,1674063900000,1,,2023-01-18 09:45:00-08:00
3.2,3.2,3.2,3.2,100,3.2,1674064200000,1,,2023-01-18 09:50:00-08:00
3.2,3.2,3.2,3.2,200,3.2,1674064800000,2,,2023-01-18 10:00:00-08:00
3.2,3.2,3.2,3.2,100,3.2,1674065100000,1,,2023-01-18 10:05:00-08:00
3.18,3.18,3.16,3.1612,1270,3.1643,1674065400000,20,,2023-01-18 10:10:00-08:00
3.155,3.155,3.13,3.13,2001,3.139,1674066000000,13,,2023-01-18 10:20:00-08:00
3.1675,3.1675,3.16,3.16,600,3.165,1674067200000,4,,2023-01-18 10:40:00-08:00
3.16,3.1682,3.16,3.16,318,3.1626,1674068100000,4,,2023-01-18 10:55:00-08:00
3.16,3.16,3.16,3.16,100,3.16,1674068700000,1,,2023-01-18 11:05:00-08:00
3.16,3.16,3.16,3.16,100,3.16,1674069000000,1,,2023-01-18 11:10:00-08:00
3.18,3.18,3.18,3.18,100,3.18,1674070500000,1,,2023-01-18 11:35:00-08:00
3.18,3.18,3.18,3.18,100,3.18,1674070800000,1,,2023-01-18 11:40:00-08:00
3.165,3.165,3.165,3.165,100,3.165,1674071100000,1,,2023-01-18 11:45:00-08:00
3.18,3.18,3.1785,3.1785,620,3.1786,1674072000000,4,,2023-01-18 12:00:00-08:00
3.18,3.18,3.18,3.18,1125,3.18,1674072300000,7,,2023-01-18 12:05:00-08:00
3.165,3.18,3.165,3.165,300,3.17,1674072600000,3,,2023-01-18 12:10:00-08:00
3.1615,3.1615,3.1615,3.1615,968,3.1615,1674072900000,1,,2023-01-18 12:15:00-08:00
3.19,3.19,3.19,3.19,1100,3.19,1674073200000,3,,2023-01-18 12:20:00-08:00
3.1899,3.1899,3.1899,3.1899,100,3.1899,1674073500000,1,,2023-01-18 12:25:00-08:00
3.17,3.17,3.17,3.17,100,3.17,1674074700000,1,,2023-01-18 12:45:00-08:00
3.19,3.19,3.19,3.19,457,3.1899,1674075000000,5,,2023-01-18 12:50:00-08:00
3.19,3.19,3.1762,3.19,1252,3.179,1674075300000,6,,2023-01-18 12:55:00-08:00
3.18,3.1999,3.18,3.1999,459,3.1956,1674150600000,2,,2023-01-19 09:50:00-08:00
3.19,3.19,3.19,3.19,2000,3.19,1674154800000,1,,2023-01-19 11:00:00-08:00
3.19,3.19,3.16,3.16,2170,3.1872,1674156600000,3,,2023-01-19 11:30:00-08:00
3.1401,3.1401,3.1401,3.1401,1047,3.1401,1674159300000,2,,2023-01-19 12:15:00-08:00
3.171,3.171,3.171,3.171,500,3.171,1674160500000,1,,2023-01-19 12:35:00-08:00
3.155,3.16,3.155,3.16,863,3.1585,1674161700000,6,,2023-01-19 12:55:00-08:00
3.16,3.16,3.16,3.16,500,3.16,1674243900000,1,,2023-01-20 11:45:00-08:00
3.33,3.33,3.33,3.33,200,3.33,1674495000000,2,,2023-01-23 09:30:00-08:00
3.3201,3.3215,3.3001,3.3001,2100,3.3109,1674495300000,8,,2023-01-23 09:35:00-08:00
3.3001,3.3001,3.1,3.1,28107,3.1838,1674495600000,53,,2023-01-23 09:40:00-08:00
3.11,3.11,3.11,3.11,200,3.11,1674495900000,1,,2023-01-23 09:45:00-08:00
3.1636,3.1636,3.1636,3.1636,300,3.1636,1674496500000,1,,2023-01-23 09:55:00-08:00
3.19,3.19,3.19,3.19,100,3.19,1674496800000,1,,2023-01-23 10:00:00-08:00
3.19,3.2,3.19,3.2,400,3.195,1674497100000,3,,2023-01-23 10:05:00-08:00
3.2,3.2,3.2,3.2,100,3.2,1674497700000,1,,2023-01-23 10:15:00-08:00
3.2,3.2,3.2,3.2,405,3.1996,1674498000000,4,,2023-01-23 10:20:00-08:00
3.2,3.2,3.2,3.2,100,3.2,1674498300000,1,,2023-01-23 10:25:00-08:00
3.2,3.2,3.2,3.2,500,3.2,1674498900000,4,,2023-01-23 10:35:00-08:00
3.2,3.2,3.2,3.2,200,3.2,1674499500000,2,,2023-01-23 10:45:00-08:00
3.2,3.2,3.175,3.175,600,3.1792,1674499800000,2,,2023-01-23 10:50:00-08:00
3.2,3.2,3.2,3.2,400,3.2,1674500100000,4,,2023-01-23 10:55:00-08:00
3.2,3.2,3.2,3.2,100,3.2,1674500400000,1,,2023-01-23 11:00:00-08:00
3.2,3.2,3.2,3.2,100,3.2,1674501000000,1,,2023-01-23 11:10:00-08:00
3.2,3.2,3.2,3.2,100,3.2,1674501300000,1,,2023-01-23 11:15:00-08:00
3.2,3.2,3.185,3.19,500,3.191,1674501600000,5,,2023-01-23 11:20:00-08:00
3.19,3.19,3.19,3.19,300,3.19,1674502200000,3,,2023-01-23 11:30:00-08:00
