open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
51.64,51.72,51.54,51.72,1867,51.6381,1672767000000,67,,2023-01-03 09:30:00-08:00
51.72,51.82,51.72,51.82,967,51.78,1672767300000,28,,2023-01-03 09:35:00-08:00
51.81,51.825,51.75,51.75,1256,51.7791,1672767600000,28,,2023-01-03 09:40:00-08:00
51.64,51.64,51.59,51.59,501,51.63,1672767900000,11,,2023-01-03 09:45:00-08:00
51.69,51.73,51.69,51.69,1421,51.7,1672768500000,39,,2023-01-03 09:55:00-08:00
51.64,51.82,51.61,51.82,2052,51.6733,1672768800000,66,,2023-01-03 10:00:00-08:00
51.86,51.875,51.86,51.875,243,51.8686,1672769100000,7,,2023-01-03 10:05:00-08:00
51.92,51.92,51.92,51.92,311,51.9207,1672769400000,5,,2023-01-03 10:10:00-08:00
51.91,51.91,51.91,51.91,245,51.9243,1672770300000,18,,2023-01-03 10:25:00-08:00
51.955,51.955,51.85,51.85,741,51.9102,1672770600000,27,,2023-01-03 10:30:00-08:00
51.78,51.78,51.78,51.78,510,51.7829,1672770900000,17,,2023-01-03 10:35:00-08:00
51.79,51.79,51.79,51.79,669,51.8082,1672771200000,28,,2023-01-03 10:40:00-08:00
51.95,51.95,51.92,51.92,409,51.9328,1672772100000,16,,2023-01-03 10:55:00-08:00
51.96,51.96,51.76,51.76,1206,51.8385,1672772400000,21,,2023-01-03 11:00:00-08:00
51.76,51.76,51.69,51.76,774,51.7417,1672773000000,17,,2023-01-03 11:10:00-08:00
51.67,51.67,51.575,51.63,1162,51.6123,1672774200000,46,,2023-01-03 11:30:00-08:00
51.615,51.66,51.615,51.66,438,51.6511,1672774800000,13,,2023-01-03 11:40:00-08:00
51.86,52.04,51.86,52.04,376,51.9336,1672775100000,12,,2023-01-03 11:45:00-08:00
52.002,52.002,52.002,52.002,175,51.9682,1672775400000,4,,2023-01-03 11:50:00-08:00
52.02,52.02,51.89,51.89,1359,51.9339,1672776000000,34,,2023-01-03 12:00:00-08:00
52.0,52.0,52.0,52.0,101,52.0,1672776600000,2,,2023-01-03 12:10:00-08:00
52.01,52.01,52.0,52.0,780,52.0243,1672776900000,43,,2023-01-03 12:15:00-08:00
51.8701,51.91,51.82,51.9,1378,51.8704,1672777200000,38,,2023-01-03 12:20:00-08:00
51.895,52.05,51.8775,51.89,5465,51.9443,1672777500000,98,,2023-01-03 12:25:00-08:00
51.955,52.03,51.955,51.96,596,51.9754,1672777800000,13,,2023-01-03 12:30:00-08:00
52.04,52.04,52.015,52.015,480,52.0334,1672778100000,13,,2023-01-03 12:35:00-08:00
52.02,52.06,52.0,52.06,922,52.0251,1672778400000,27,,2023-01-03 12:40:00-08:00
52.05,52.13,52.05,52.12,1210,52.1011,1672778700000,45,,2023-01-03 12:45:00-08:00
52.22,52.28,52.2,52.27,1602,52.2352,1672779000000,53,,2023-01-03 12:50:00-08:00
52.27,52.37,52.12,52.21,6806,52.2259,1672779300000,187,,2023-01-03 12:55:00-08:00
52.23,52.23,52.23,52.23,456,52.23,1672779600000,1,,2023-01-03 13:00:00-08:00
51.7321,51.7321,51.61,51.61,1136,51.6673,1672853400000,24,,2023-01-04 09:30:00-08:00
51.47,51.72,51.47,51.53,313,51.5744,1672853700000,4,,2023-01-04 09:35:00-08:00
51.48,51.71,51.44,51.71,437,51.5505,1672854000000,6,,2023-01-04 09:40:00-08:00
51.47,51.47,51.47,51.47,113,51.4665,1672854300000,3,,2023-01-04 09:45:00-08:00
51.45,51.575,51.45,51.575,249,51.5202,1672854600000,11,,2023-01-04 09:50:00-08:00
51.575,51.575,51.575,51.575,202,51.5755,1672854900000,4,,2023-01-04 09:55:00-08:00
51.53,51.535,51.52,51.52,713,51.5316,1672855200000,27,,2023-01-04 10:00:00-08:00
51.505,51.56,51.505,51.56,974,51.5377,1672855500000,30,,2023-01-04 10:05:00-08:00
51.77,51.77,51.77,51.77,100,51.77,1672855800000,1,,2023-01-04 10:10:00-08:00
