open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
2.22,2.2212,2.22,2.2212,24.999899999999997,2.2208,1672767000000,3,,2023-01-03 09:30:00-08:00
2.2212,2.2212,2.22,2.22,89.99999999999999,2.221,1672767300000,11,,2023-01-03 09:35:00-08:00
2.2764,2.2764,2.2764,2.2764,8.3333,2.2764,1672767600000,1,,2023-01-03 09:40:00-08:00
2.22,2.2764,2.22,2.22,37.9166,2.2514,1672767900000,5,,2023-01-03 09:45:00-08:00
2.2212,2.2764,2.2212,2.2764,16.6666,2.2488,1672768200000,2,,2023-01-03 09:50:00-08:00
2.2212,2.2212,2.2212,2.2212,8.3333,2.2212,1672768500000,1,,2023-01-03 09:55:00-08:00
2.2764,2.2764,2.2212,2.2212,58.3333,2.2412,1672768800000,5,,2023-01-03 10:00:00-08:00
2.2764,2.2764,2.2332,2.2332,50.4166,2.2693,1672769100000,4,,2023-01-03 10:05:00-08:00
2.2332,2.2332,2.2332,2.2332,8.3333,2.2332,1672769400000,1,,2023-01-03 10:10:00-08:00
2.2548,2.2764,2.2332,2.2752,68.33330000000001,2.2628,1672769700000,5,,2023-01-03 10:15:00-08:00
2.2344,2.2344,2.2344,2.2344,8.3333,2.2344,1672770000000,1,,2023-01-03 10:20:00-08:00
2.2554,2.2554,2.2344,2.2548,36.25,2.2503,1672770600000,3,,2023-01-03 10:30:00-08:00
2.2356,2.2764,2.2356,2.2752,52.8333,2.2632,1672770900000,5,,2023-01-03 10:35:00-08:00
2.2764,2.2764,2.2764,2.2764,83.3333,2.2764,1672771200000,6,,2023-01-03 10:40:00-08:00
2.2752,2.2764,2.2752,2.2764,129.1666,2.2753,1672771500000,3,,2023-01-03 10:45:00-08:00
2.2764,2.2764,2.2764,2.2764,8.3333,2.2764,1672772100000,1,,2023-01-03 10:55:00-08:00
2.2764,2.2764,2.2572,2.2572,208.3333,2.2749,1672772700000,4,,2023-01-03 11:05:00-08:00
2.238,2.2752,2.238,2.2752,49.6666,2.269,1672773000000,2,,2023-01-03 11:10:00-08:00
2.2764,2.2884,2.274,2.274,716.5,2.2764,1672773300000,6,,2023-01-03 11:15:00-08:00
2.304,2.304,2.304,2.304,8.3333,2.304,1672773900000,1,,2023-01-03 11:25:00-08:00
2.2896,2.2896,2.2896,2.2896,158.33339999999998,2.2896,1672774200000,16,,2023-01-03 11:30:00-08:00
2.2896,2.2908,2.2896,2.2896,540.4167,2.2898,1672774500000,38,,2023-01-03 11:35:00-08:00
2.2896,2.2908,2.22,2.2908,145.9999,2.2843,1672774800000,20,,2023-01-03 11:40:00-08:00
2.22,2.2836,2.22,2.22,25.083399999999997,2.2414,1672775100000,4,,2023-01-03 11:45:00-08:00
2.2896,2.2896,2.2896,2.2896,9.0833,2.2868,1672775400000,2,,2023-01-03 11:50:00-08:00
2.2212,2.2716,2.2212,2.2716,1316.6667,2.2218,1672775700000,3,,2023-01-03 11:55:00-08:00
2.2548,2.2548,2.2548,2.2548,16.6667,2.2548,1672776000000,2,,2023-01-03 12:00:00-08:00
2.2548,2.2548,2.2548,2.2548,8.3333,2.2548,1672776300000,1,,2023-01-03 12:05:00-08:00
2.256,2.2872,2.256,2.2716,159.3333,2.2684,1672776600000,10,,2023-01-03 12:10:00-08:00
2.2716,2.2872,2.2716,2.286,446.4167,2.2811,1672776900000,38,,2023-01-03 12:15:00-08:00
2.28,2.28,2.2548,2.2656,124.9999,2.2698,1672777200000,12,,2023-01-03 12:20:00-08:00
2.2656,2.274,2.2608,2.2608,258.4167,2.2669,1672777500000,29,,2023-01-03 12:25:00-08:00
2.226,2.274,2.226,2.274,25.0833,2.242,1672777800000,3,,2023-01-03 12:30:00-08:00
2.226,2.226,2.226,2.226,16.6666,2.226,1672778100000,2,,2023-01-03 12:35:00-08:00
2.226,2.226,2.226,2.226,8.75,2.2282,1672778400000,2,,2023-01-03 12:40:00-08:00
2.226,2.226,2.226,2.226,16.6666,2.226,1672778700000,2,,2023-01-03 12:45:00-08:00
2.2584,2.2584,2.2584,2.2584,25.0,2.2584,1672779300000,2,,2023-01-03 12:55:00-08:00
2.136,2.136,2.136,2.136,16.6667,2.136,1672783500000,1,,2023-01-03 14:05:00-08:00
2.136,2.136,2.136,2.136,15.8333,2.136,1672785600000,1,,2023-01-03 14:40:00-08:00
2.4384,2.472,2.4384,2.472,16.6666,2.4552,1672853400000,2,,2023-01-04 09:30:00-08:00
2.4048,2.4072,2.4048,2.4072,251.25,2.4071,1672853700000,2,,2023-01-04 09:35:00-08:00
2.406,2.406,2.406,2.406,8.3333,2.406,1672854000000,1,,2023-01-04 09:40:00-08:00
2.472,2.472,2.4648,2.4648,91.66659999999999,2.4655,1672854300000,3,,2023-01-04 09:45:00-08:00
2.406,2.406,2.406,2.406,8.3333,2.406,1672854600000,1,,2023-01-04 09:50:00-08:00
2.406,2.472,2.406,2.472,58.3333,2.4621,1672855200000,3,,2023-01-04 10:00:00-08:00
2.4072,2.4072,2.4072,2.4072,8.3333,2.4072,1672855500000,1,,2023-01-04 10:05:00-08:00
2.4084,2.4084,2.4084,2.4084,28.0,2.4118,1672856100000,4,,2023-01-04 10:15:00-08:00
2.4696,2.4696,2.4696,2.4696,8.3333,2.4696,1672856400000,1,,2023-01-04 10:20:00-08:00
2.4708,2.4708,2.4084,2.4144,87.75,2.4488,1672856700000,5,,2023-01-04 10:25:00-08:00
2.4144,2.4192,2.4144,2.4144,333.3334,2.4148,1672857000000,38,,2023-01-04 10:30:00-08:00
2.4144,2.4144,2.4144,2.4144,450.0,2.4144,1672857300000,51,,2023-01-04 10:35:00-08:00
2.4144,2.4192,2.4,2.4,433.3334,2.4095,1672857600000,51,,2023-01-04 10:40:00-08:00
2.4,2.4,2.4,2.4,125.0,2.4,1672857900000,13,,2023-01-04 10:45:00-08:00
2.4,2.4,2.4,2.4,15.0,2.4235,1672858200000,2,,2023-01-04 10:50:00-08:00
2.4354,2.4354,2.4354,2.4354,8.3333,2.4354,1672858500000,1,,2023-01-04 10:55:00-08:00
2.4708,2.4708,2.4708,2.4708,25.0,2.4708,1672858800000,1,,2023-01-04 11:00:00-08:00
2.3412,2.4012,2.3412,2.4012,58.9166,2.3927,1672859100000,7,,2023-01-04 11:05:00-08:00
2.4708,2.4708,2.4708,2.4708,8.3333,2.4708,1672859400000,1,,2023-01-04 11:10:00-08:00
2.4012,2.4012,2.4012,2.4012,8.3333,2.4012,1672859700000,1,,2023-01-04 11:15:00-08:00
2.4024,2.4024,2.4024,2.4024,8.3333,2.4024,1672860000000,1,,2023-01-04 11:20:00-08:00
2.4024,2.4036,2.4024,2.4036,175.0,2.4035,1672860600000,2,,2023-01-04 11:30:00-08:00
2.4036,2.4036,2.4036,2.4036,8.3333,2.4036,1672860900000,1,,2023-01-04 11:35:00-08:00
2.406,2.406,2.406,2.406,8.3333,2.406,1672861500000,1,,2023-01-04 11:45:00-08:00
2.406,2.4708,2.406,2.4708,16.6667,2.4384,1672861800000,2,,2023-01-04 11:50:00-08:00
2.4684,2.4708,2.4684,2.4708,160.8333,2.4695,1672862100000,12,,2023-01-04 11:55:00-08:00
2.406,2.406,2.406,2.406,8.3333,2.406,1672862400000,1,,2023-01-04 12:00:00-08:00
2.406,2.406,2.406,2.406,8.3333,2.406,1672862700000,1,,2023-01-04 12:05:00-08:00
2.406,2.406,2.406,2.406,11.0833,2.4221,1672863000000,2,,2023-01-04 12:10:00-08:00
2.406,2.419,2.406,2.419,38.5834,2.4116,1672863300000,2,,2023-01-04 12:15:00-08:00
2.4708,2.4708,2.406,2.406,23.0833,2.4384,1672863600000,3,,2023-01-04 12:20:00-08:00
2.4072,2.4072,2.4072,2.4072,8.3333,2.4072,1672863900000,1,,2023-01-04 12:25:00-08:00
2.4072,2.4072,2.4072,2.4072,8.3333,2.4072,1672864200000,1,,2023-01-04 12:30:00-08:00
2.4708,2.4708,2.4084,2.4084,166.66660000000002,2.4677,1672864500000,5,,2023-01-04 12:35:00-08:00
2.4084,2.4108,2.4084,2.4108,30.3333,2.4091,1672864800000,2,,2023-01-04 12:40:00-08:00
2.4108,2.4108,2.4108,2.4108,8.3333,2.4108,1672865100000,1,,2023-01-04 12:45:00-08:00
2.4108,2.4108,2.4108,2.4108,16.6667,2.4108,1672865400000,1,,2023-01-04 12:50:00-08:00
2.4708,2.4708,2.4108,2.4108,233.3333,2.4355,1672865700000,10,,2023-01-04 12:55:00-08:00
