open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
5.16,5.2029,5.16,5.2029,76.0,5.1834,1672767000000,5,,2023-01-03 09:30:00-08:00
5.205,5.22,5.16,5.19,2230.9999999999995,5.189,1672768800000,25,,2023-01-03 10:00:00-08:00
5.1897,5.19,5.1897,5.19,141.6667,5.1898,1672770300000,3,,2023-01-03 10:25:00-08:00
5.1879,5.22,5.1879,5.22,74.3333,5.2029,1672771800000,4,,2023-01-03 10:50:00-08:00
5.175,5.175,5.16,5.16,666.6667,5.1679,1672772100000,4,,2023-01-03 10:55:00-08:00
5.16,5.16,5.16,5.16,768.6667,5.1592,1672772400000,26,,2023-01-03 11:00:00-08:00
5.1465,5.1465,5.1,5.1,882.6667,5.1254,1672772700000,27,,2023-01-03 11:05:00-08:00
5.1,5.1,5.1,5.1,233.3333,5.1,1672773300000,1,,2023-01-03 11:15:00-08:00
5.1003,5.1075,5.1003,5.1075,723.6667,5.1022,1672774200000,4,,2023-01-03 11:30:00-08:00
5.13,5.13,5.13,5.13,83.3333,5.13,1672775700000,1,,2023-01-03 11:55:00-08:00
5.13,5.16,5.1258,5.16,1011.6667,5.1316,1672776000000,21,,2023-01-03 12:00:00-08:00
5.1585,5.1585,5.13,5.13,498.3333,5.1405,1672776300000,9,,2023-01-03 12:05:00-08:00
5.13,5.13,5.13,5.13,233.3333,5.13,1672776600000,4,,2023-01-03 12:10:00-08:00
5.1036,5.16,5.1,5.1,2117.0,5.1125,1672776900000,10,,2023-01-03 12:15:00-08:00
5.1,5.1,5.1,5.1,53.0,5.1056,1672778100000,2,,2023-01-03 12:35:00-08:00
5.1,5.1,4.95,4.95,4591.000099999999,5.0572,1672778400000,57,,2023-01-03 12:40:00-08:00
4.95,4.9545,4.86,4.89,4352.3333999999995,4.9245,1672778700000,52,,2023-01-03 12:45:00-08:00
4.86,4.89,4.86,4.86,6569.0,4.8829,1672779000000,47,,2023-01-03 12:50:00-08:00
4.86,4.86,4.8,4.83,26159.0,4.8205,1672779300000,155,,2023-01-03 12:55:00-08:00
4.86,4.86,4.83,4.83,631.0,4.8332,1672779600000,2,,2023-01-03 13:00:00-08:00
5.04,5.04,5.04,5.04,33.3333,5.04,1672779900000,1,,2023-01-03 13:05:00-08:00
4.83,4.83,4.83,4.83,1166.6667,4.83,1672781700000,1,,2023-01-03 13:35:00-08:00
4.86,4.89,4.86,4.86,799.3333,4.8776,1672782600000,8,,2023-01-03 13:50:00-08:00
4.89,4.89,4.86,4.89,479.3334,4.8827,1672782900000,3,,2023-01-03 13:55:00-08:00
4.89,4.89,4.89,4.89,685.6666,4.89,1672783200000,6,,2023-01-03 14:00:00-08:00
4.83,4.83,4.83,4.83,66.6667,4.83,1672789200000,1,,2023-01-03 15:40:00-08:00
4.9503,5.01,4.9503,5.01,127.0,4.9924,1672854300000,6,,2023-01-04 09:45:00-08:00
5.01,5.01,4.95,4.95,6205.3333999999995,4.9555,1672854600000,60,,2023-01-04 09:50:00-08:00
4.9497,4.9497,4.9497,4.9497,48.0,4.9497,1672854900000,3,,2023-01-04 09:55:00-08:00
4.9494,4.9494,4.9494,4.9494,33.3333,4.9494,1672855200000,1,,2023-01-04 10:00:00-08:00
4.95,4.95,4.935,4.935,100.0,4.945,1672855800000,3,,2023-01-04 10:10:00-08:00
4.95,4.95,4.92,4.92,1239.3333,4.9279,1672856100000,21,,2023-01-04 10:15:00-08:00
4.935,4.935,4.935,4.935,33.3333,4.935,1672856400000,1,,2023-01-04 10:20:00-08:00
4.935,4.95,4.935,4.95,135.66660000000002,4.9461,1672857300000,5,,2023-01-04 10:35:00-08:00
4.95,4.95,4.9476,4.9476,112.0,4.9462,1672857600000,6,,2023-01-04 10:40:00-08:00
4.95,4.95,4.95,4.95,126.66660000000002,4.944,1672857900000,9,,2023-01-04 10:45:00-08:00
4.95,4.95,4.95,4.95,66.6666,4.95,1672858200000,2,,2023-01-04 10:50:00-08:00
4.95,4.95,4.9479,4.95,170.0,4.9486,1672858500000,5,,2023-01-04 10:55:00-08:00
4.95,4.95,4.9296,4.935,1006.6666,4.9447,1672858800000,14,,2023-01-04 11:00:00-08:00
4.935,4.935,4.935,4.935,68.6667,4.9354,1672859400000,2,,2023-01-04 11:10:00-08:00
4.95,4.95,4.95,4.95,66.6666,4.95,1672859700000,2,,2023-01-04 11:15:00-08:00
4.95,4.95,4.935,4.935,419.6666,4.9357,1672860000000,15,,2023-01-04 11:20:00-08:00
4.935,4.935,4.935,4.935,181.0,4.9338,1672860300000,6,,2023-01-04 11:25:00-08:00
4.92,4.935,4.905,4.905,1061.0,4.915,1672860600000,24,,2023-01-04 11:30:00-08:00
4.92,4.935,4.92,4.935,233.3333,4.9221,1672860900000,7,,2023-01-04 11:35:00-08:00
4.935,4.9365,4.935,4.935,141.6666,4.9357,1672861200000,4,,2023-01-04 11:40:00-08:00
4.9215,4.935,4.9215,4.935,212.3333,4.9278,1672861800000,5,,2023-01-04 11:50:00-08:00
4.95,4.95,4.95,4.95,66.6666,4.95,1672862100000,2,,2023-01-04 11:55:00-08:00
4.95,4.98,4.95,4.98,1878.6666,4.9656,1672862400000,17,,2023-01-04 12:00:00-08:00
4.965,4.995,4.95,4.98,2633.3333000000002,4.9753,1672862700000,31,,2023-01-04 12:05:00-08:00
4.9476,4.95,4.9224,4.9224,473.6666,4.9471,1672863000000,6,,2023-01-04 12:10:00-08:00
4.935,4.95,4.9287,4.95,285.6667,4.9392,1672863300000,11,,2023-01-04 12:15:00-08:00
4.935,4.95,4.935,4.95,201.6667,4.9425,1672863600000,10,,2023-01-04 12:20:00-08:00
4.95,4.95,4.935,4.95,400.3333,4.9438,1672863900000,13,,2023-01-04 12:25:00-08:00
4.935,4.95,4.9203,4.95,873.3333,4.9255,1672864200000,9,,2023-01-04 12:30:00-08:00
4.95,4.98,4.9494,4.9494,4388.999900000001,4.9512,1672864500000,75,,2023-01-04 12:35:00-08:00
4.95,4.95,4.9323,4.9323,106.6666,4.9387,1672864800000,3,,2023-01-04 12:40:00-08:00
4.95,4.95,4.95,4.95,400.6667,4.95,1672865100000,14,,2023-01-04 12:45:00-08:00
4.95,4.95,4.92,4.95,1951.3333,4.9483,1672865400000,26,,2023-01-04 12:50:00-08:00
4.98,4.98,4.9239,4.9239,3200.3333999999995,4.9629,1672865700000,47,,2023-01-04 12:55:00-08:00
4.92,4.92,4.86,4.86,250.0,4.8801,1672866000000,9,,2023-01-04 13:00:00-08:00
5.1054,5.1054,5.1054,5.1054,116.6667,5.1054,1672868400000,1,,2023-01-04 13:40:00-08:00
5.1021,5.217,5.1021,5.217,116.66659999999999,5.1349,1672868700000,2,,2023-01-04 13:45:00-08:00
5.1,5.1,5.1,5.1,33.3333,5.1,1672869000000,1,,2023-01-04 13:50:00-08:00
5.16,5.16,5.16,5.16,166.6667,5.16,1672873500000,1,,2023-01-04 15:05:00-08:00
4.95,4.95,4.95,4.95,33.3333,4.95,1672875900000,1,,2023-01-04 15:45:00-08:00
6.42,6.45,6.33,6.45,36229.0,6.3961,1672939800000,403,,2023-01-05 09:30:00-08:00
6.3903,6.78,6.3903,6.66,116516.3333,6.6562,1672940100000,717,,2023-01-05 09:35:00-08:00
6.6606,6.69,6.54,6.6297,46569.6667,6.6018,1672940400000,295,,2023-01-05 09:40:00-08:00
6.5703,6.66,6.5112,6.5394,19604.333300000002,6.5932,1672940700000,193,,2023-01-05 09:45:00-08:00
6.54,6.63,6.4503,6.48,45985.3334,6.565,1672941000000,290,,2023-01-05 09:50:00-08:00
6.48,6.72,6.48,6.7167,167214.6666,6.5854,1672941300000,692,,2023-01-05 09:55:00-08:00
6.6687,6.72,6.57,6.6279,75080.3333,6.6353,1672941600000,404,,2023-01-05 10:00:00-08:00
6.6174,6.66,6.57,6.63,54485.3333,6.6112,1672941900000,206,,2023-01-05 10:05:00-08:00
6.6582,6.6582,6.5418,6.6,16326.3333,6.5938,1672942200000,226,,2023-01-05 10:10:00-08:00
6.57,6.7197,6.54,6.7146,70308.0001,6.6275,1672942500000,338,,2023-01-05 10:15:00-08:00
6.7197,6.72,6.54,6.5982,39255.0,6.6524,1672942800000,260,,2023-01-05 10:20:00-08:00
