open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
4.01,4.035,4.01,4.03,4126.0,4.0216,1672767000000,60,,2023-01-03 09:30:00-08:00
4.025,4.025,4.0,4.015,6741.0,4.0111,1672767300000,72,,2023-01-03 09:35:00-08:00
4.015,4.015,3.99,3.99,5024.0,3.9988,1672767600000,82,,2023-01-03 09:40:00-08:00
3.99,4.0,3.94,3.94,6119.0,3.9658,1672767900000,71,,2023-01-03 09:45:00-08:00
3.945,3.965,3.945,3.965,2854.0,3.955,1672768200000,37,,2023-01-03 09:50:00-08:00
3.97,4.0,3.96,3.97,8059.0,3.9719,1672768500000,87,,2023-01-03 09:55:00-08:00
3.98,3.98,3.96,3.98,4389.0,3.975,1672768800000,73,,2023-01-03 10:00:00-08:00
3.97,3.97,3.93,3.94,3599.0,3.9565,1672769100000,46,,2023-01-03 10:05:00-08:00
3.94,3.94,3.91,3.915,2904.0,3.927,1672769400000,60,,2023-01-03 10:10:00-08:00
3.91,3.92,3.9,3.9,1413.0,3.9093,1672769700000,26,,2023-01-03 10:15:00-08:00
3.9,3.905,3.88,3.89,18899.0,3.8965,1672770000000,170,,2023-01-03 10:20:00-08:00
3.89,3.905,3.87,3.9,4963.0,3.8959,1672770300000,70,,2023-01-03 10:25:00-08:00
3.9,3.9001,3.9,3.9,7716.0,3.9,1672770600000,82,,2023-01-03 10:30:00-08:00
3.8992,3.91,3.89,3.89,3437.0,3.8973,1672770900000,37,,2023-01-03 10:35:00-08:00
3.88,3.89,3.88,3.89,2470.0,3.889,1672771200000,40,,2023-01-03 10:40:00-08:00
3.89,3.89,3.86,3.86,5583.0,3.8686,1672771500000,56,,2023-01-03 10:45:00-08:00
3.8699,3.88,3.8501,3.88,12609.0,3.8663,1672771800000,100,,2023-01-03 10:50:00-08:00
3.88,3.88,3.86,3.865,3576.0,3.8747,1672772100000,49,,2023-01-03 10:55:00-08:00
3.86,3.87,3.835,3.8499,5024.0,3.8467,1672772400000,70,,2023-01-03 11:00:00-08:00
