open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
49.51,49.586,49.51,49.586,667,49.5238,1672767000000,17,,2023-01-03 09:30:00-08:00
49.55,49.5699,49.475,49.475,842,49.5401,1672767600000,13,,2023-01-03 09:40:00-08:00
49.38,49.38,49.32,49.325,1144,49.3598,1672767900000,58,,2023-01-03 09:45:00-08:00
49.41,49.41,49.33,49.33,294,49.3821,1672768500000,9,,2023-01-03 09:55:00-08:00
49.32,49.32,49.32,49.32,302,49.3253,1672768800000,11,,2023-01-03 10:00:00-08:00
49.38,49.42,49.38,49.41,943,49.4001,1672769400000,22,,2023-01-03 10:10:00-08:00
49.5,49.5,49.5,49.5,795,49.4809,1672770000000,20,,2023-01-03 10:20:00-08:00
49.595,49.595,49.595,49.595,200,49.6452,1672770600000,4,,2023-01-03 10:30:00-08:00
49.41,49.41,49.365,49.365,828,49.4337,1672770900000,48,,2023-01-03 10:35:00-08:00
49.37,49.37,49.37,49.37,463,49.3792,1672771200000,13,,2023-01-03 10:40:00-08:00
49.27,49.27,49.27,49.27,140,49.3,1672771800000,8,,2023-01-03 10:50:00-08:00
49.21,49.21,49.17,49.17,638,49.2043,1672772400000,52,,2023-01-03 11:00:00-08:00
48.88,48.88,48.74,48.74,649,48.8564,1672773000000,31,,2023-01-03 11:10:00-08:00
48.93,49.03,48.93,49.03,932,48.9598,1672773300000,24,,2023-01-03 11:15:00-08:00
49.085,49.085,49.085,49.085,100,49.085,1672773900000,1,,2023-01-03 11:25:00-08:00
48.95,48.95,48.95,48.95,423,48.9433,1672774500000,24,,2023-01-03 11:35:00-08:00
48.88,49.0,48.88,49.0,891,48.9893,1672774800000,29,,2023-01-03 11:40:00-08:00
49.275,49.275,49.275,49.275,323,49.2398,1672775100000,16,,2023-01-03 11:45:00-08:00
49.16,49.16,49.16,49.16,118,49.1631,1672776300000,4,,2023-01-03 12:05:00-08:00
49.33,49.49,49.33,49.49,546,49.3815,1672776600000,18,,2023-01-03 12:10:00-08:00
49.54,49.545,49.54,49.545,306,49.542,1672776900000,5,,2023-01-03 12:15:00-08:00
49.43,49.43,49.32,49.33,2397,49.3722,1672777200000,71,,2023-01-03 12:20:00-08:00
49.28,49.28,49.28,49.28,243,49.2836,1672777500000,7,,2023-01-03 12:25:00-08:00
49.42,49.42,49.42,49.42,552,49.4199,1672777800000,23,,2023-01-03 12:30:00-08:00
49.41,49.41,49.38,49.38,1058,49.3861,1672778100000,39,,2023-01-03 12:35:00-08:00
