open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
18.1614,18.175,18.1614,18.175,2021.0,18.1697,1672767000000,28,,2023-01-03 09:30:00-08:00
18.17,18.195,18.17,18.19,10017.0,18.179,1672767300000,84,,2023-01-03 09:35:00-08:00
18.18,18.18,18.16,18.165,8299.0,18.1706,1672767600000,77,,2023-01-03 09:40:00-08:00
18.16,18.165,18.13,18.1301,5491.0,18.1478,1672767900000,50,,2023-01-03 09:45:00-08:00
18.14,18.16,18.14,18.16,3752.0,18.1568,1672768200000,45,,2023-01-03 09:50:00-08:00
18.16,18.1898,18.16,18.185,4164.0,18.1714,1672768500000,34,,2023-01-03 09:55:00-08:00
18.18,18.185,18.16,18.18,7737.0,18.1705,1672768800000,70,,2023-01-03 10:00:00-08:00
18.17,18.17,18.16,18.16,4253.0,18.161,1672769100000,45,,2023-01-03 10:05:00-08:00
18.16,18.18,18.16,18.18,2062.0,18.1784,1672769400000,28,,2023-01-03 10:10:00-08:00
18.175,18.18,18.17,18.18,2451.0,18.1782,1672769700000,15,,2023-01-03 10:15:00-08:00
18.175,18.18,18.175,18.18,574.0,18.1753,1672770000000,10,,2023-01-03 10:20:00-08:00
18.18,18.205,18.18,18.18,7023.0,18.1913,1672770300000,66,,2023-01-03 10:25:00-08:00
18.18,18.1854,18.18,18.18,408.0,18.1825,1672770600000,6,,2023-01-03 10:30:00-08:00
18.19,18.19,18.185,18.19,592.0,18.1863,1672770900000,9,,2023-01-03 10:35:00-08:00
18.18,18.19,18.18,18.19,4245.0,18.1823,1672771200000,53,,2023-01-03 10:40:00-08:00
18.19,18.195,18.18,18.185,4695.0,18.1847,1672771500000,54,,2023-01-03 10:45:00-08:00
18.19,18.205,18.18,18.2038,12417.0,18.1915,1672771800000,97,,2023-01-03 10:50:00-08:00
18.21,18.215,18.21,18.21,3818.0,18.2101,1672772100000,32,,2023-01-03 10:55:00-08:00
18.21,18.21,18.19,18.19,2532.0,18.1996,1672772400000,25,,2023-01-03 11:00:00-08:00
18.19,18.2,18.18,18.19,5380.0,18.1906,1672772700000,53,,2023-01-03 11:05:00-08:00
18.19,18.21,18.18,18.18,7639.0,18.1942,1672773000000,80,,2023-01-03 11:10:00-08:00
18.185,18.2,18.185,18.195,6163.0,18.1902,1672773300000,60,,2023-01-03 11:15:00-08:00
18.195,18.195,18.175,18.175,8178.0,18.1885,1672773600000,61,,2023-01-03 11:20:00-08:00
18.18,18.185,18.175,18.18,6260.0,18.1799,1672773900000,75,,2023-01-03 11:25:00-08:00
18.18,18.18,18.16,18.175,6931.0,18.165,1672774200000,60,,2023-01-03 11:30:00-08:00
18.18,18.185,18.18,18.185,3375.0,18.1805,1672774500000,48,,2023-01-03 11:35:00-08:00
18.18,18.21,18.175,18.21,6465.0,18.186,1672774800000,65,,2023-01-03 11:40:00-08:00
18.21,18.26,18.21,18.255,11532.0,18.2399,1672775100000,116,,2023-01-03 11:45:00-08:00
18.25,18.255,18.23,18.23,10096.0,18.2465,1672775400000,82,,2023-01-03 11:50:00-08:00
18.24,18.26,18.24,18.24,7201.0,18.2485,1672775700000,92,,2023-01-03 11:55:00-08:00
18.24,18.245,18.225,18.23,15784.0,18.2366,1672776000000,144,,2023-01-03 12:00:00-08:00
18.23,18.23,18.225,18.225,4288.0,18.2289,1672776300000,59,,2023-01-03 12:05:00-08:00
