open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
20.0599,20.06,20.0599,20.06,637,20.06,1690302600000,11,,2023-07-25 09:30:00-07:00
20.07,20.07,20.0687,20.0687,1480,20.0698,1690302900000,19,,2023-07-25 09:35:00-07:00
20.065,20.065,20.065,20.065,253,20.065,1690303200000,4,,2023-07-25 09:40:00-07:00
20.07,20.07,20.06,20.065,4009,20.068,1690303500000,14,,2023-07-25 09:45:00-07:00
20.07,20.07,20.07,20.07,326,20.0684,1690303800000,8,,2023-07-25 09:50:00-07:00
20.07,20.07,20.07,20.07,260,20.07,1690304400000,2,,2023-07-25 10:00:00-07:00
20.08,20.08,20.065,20.065,372,20.0741,1690304700000,9,,2023-07-25 10:05:00-07:00
20.06,20.06,20.05,20.05,751,20.057,1690305000000,13,,2023-07-25 10:10:00-07:00
20.07,20.07,20.07,20.07,255,20.0695,1690305300000,6,,2023-07-25 10:15:00-07:00
20.0699,20.07,20.0699,20.07,220,20.0699,1690305600000,4,,2023-07-25 10:20:00-07:00
20.07,20.07,20.07,20.07,287,20.0687,1690305900000,7,,2023-07-25 10:25:00-07:00
20.08,20.08,20.08,20.08,476,20.08,1690306200000,3,,2023-07-25 10:30:00-07:00
20.0699,20.07,20.061,20.061,904,20.0669,1690306800000,13,,2023-07-25 10:40:00-07:00
20.06,20.06,20.0586,20.06,830,20.0598,1690307100000,8,,2023-07-25 10:45:00-07:00
20.06,20.06,20.05,20.05,1778,20.0557,1690307400000,16,,2023-07-25 10:50:00-07:00
20.06,20.06,20.06,20.06,1271,20.06,1690307700000,18,,2023-07-25 10:55:00-07:00
20.07,20.07,20.07,20.07,260,20.07,1690308000000,3,,2023-07-25 11:00:00-07:00
20.07,20.07,20.0686,20.0686,2034,20.0693,1690308300000,17,,2023-07-25 11:05:00-07:00
20.065,20.065,20.06,20.06,1585,20.0615,1690308600000,8,,2023-07-25 11:10:00-07:00
20.05,20.05,20.05,20.05,476,20.05,1690308900000,6,,2023-07-25 11:15:00-07:00
20.0586,20.0586,20.04,20.04,2405,20.0493,1690309200000,48,,2023-07-25 11:20:00-07:00
20.03,20.04,20.0275,20.04,3145,20.0299,1690309500000,17,,2023-07-25 11:25:00-07:00
20.05,20.06,20.05,20.06,2365,20.0541,1690309800000,14,,2023-07-25 11:30:00-07:00
20.045,20.0699,20.045,20.06,1139,20.0534,1690310100000,7,,2023-07-25 11:35:00-07:00
20.06,20.06,20.06,20.06,166,20.064,1690310400000,2,,2023-07-25 11:40:00-07:00
20.08,20.08,20.08,20.08,151,20.0799,1690310700000,2,,2023-07-25 11:45:00-07:00
