open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
0.6399,0.6399,0.6399,0.6399,162.0,0.6362,1672767000000,4,,2023-01-03 09:30:00-08:00
0.6301,0.64,0.6301,0.635,8689.0,0.6348,1672767300000,25,,2023-01-03 09:35:00-08:00
0.6377,0.6377,0.6342,0.637099,8926.0,0.6366,1672767600000,16,,2023-01-03 09:40:00-08:00
0.6367,0.6367,0.6337,0.6364,5658.0,0.6351,1672767900000,14,,2023-01-03 09:45:00-08:00
0.6364,0.6364,0.6255,0.632,14333.0,0.6308,1672768200000,66,,2023-01-03 09:50:00-08:00
0.6318,0.6319,0.629,0.6319,1456.0,0.6311,1672768500000,15,,2023-01-03 09:55:00-08:00
0.630451,0.6319,0.630451,0.6319,325.0,0.6314,1672768800000,5,,2023-01-03 10:00:00-08:00
0.63045,0.632,0.6214,0.632,12099.0,0.6248,1672769100000,37,,2023-01-03 10:05:00-08:00
0.632,0.632,0.623,0.6267,10661.0,0.6282,1672769400000,19,,2023-01-03 10:10:00-08:00
0.6221,0.632,0.6221,0.632,311.0,0.6261,1672769700000,4,,2023-01-03 10:15:00-08:00
0.6289,0.6289,0.6289,0.6289,543.0,0.6289,1672770000000,2,,2023-01-03 10:20:00-08:00
0.6289,0.632,0.6242,0.629,8160.0,0.6288,1672770300000,26,,2023-01-03 10:25:00-08:00
0.6289,0.629,0.621401,0.629,897.0,0.6243,1672770900000,6,,2023-01-03 10:35:00-08:00
0.624212,0.628,0.624212,0.628,882.0,0.6262,1672771200000,5,,2023-01-03 10:40:00-08:00
0.6279,0.6279,0.6279,0.6279,250.0,0.6279,1672771500000,1,,2023-01-03 10:45:00-08:00
0.628,0.628,0.6214,0.624699,929.0,0.624,1672771800000,11,,2023-01-03 10:50:00-08:00
0.628,0.628,0.624699,0.6279,569.0,0.6264,1672772100000,13,,2023-01-03 10:55:00-08:00
0.624701,0.628,0.624701,0.628,500.0,0.6254,1672772700000,2,,2023-01-03 11:05:00-08:00
0.628,0.628,0.6214,0.628,1809.0,0.6261,1672773000000,14,,2023-01-03 11:10:00-08:00
0.6247,0.628,0.6247,0.6247,494.0,0.625,1672773300000,8,,2023-01-03 11:15:00-08:00
0.6214,0.628,0.6214,0.6214,2704.0,0.6256,1672773600000,13,,2023-01-03 11:20:00-08:00
0.6214,0.632,0.6214,0.632,15925.0,0.6291,1672773900000,96,,2023-01-03 11:25:00-08:00
0.63075,0.64,0.63075,0.64,18979.0,0.6388,1672774200000,69,,2023-01-03 11:30:00-08:00
0.6444,0.6445,0.6422,0.6422,2120.0,0.6425,1672774500000,4,,2023-01-03 11:35:00-08:00
0.6423,0.6445,0.6423,0.6445,600.0,0.6434,1672774800000,8,,2023-01-03 11:40:00-08:00
0.6437,0.648,0.6437,0.648,13549.0,0.647,1672775100000,21,,2023-01-03 11:45:00-08:00
0.6483,0.65,0.6424,0.6499,3735.0,0.6488,1672775400000,11,,2023-01-03 11:50:00-08:00
0.6424,0.6424,0.6424,0.6424,253.0,0.6425,1672775700000,2,,2023-01-03 11:55:00-08:00
0.6461,0.6461,0.6461,0.6461,158.0,0.6461,1672776000000,3,,2023-01-03 12:00:00-08:00
0.6499,0.6499,0.649001,0.6499,10980.0,0.6498,1672776300000,11,,2023-01-03 12:05:00-08:00
0.6499,0.65,0.6498,0.6499,6852.0,0.6499,1672776600000,56,,2023-01-03 12:10:00-08:00
0.65,0.65,0.649,0.6499,5346.0,0.6494,1672776900000,27,,2023-01-03 12:15:00-08:00
0.6401,0.6404,0.64,0.64,10000.0,0.6401,1672777200000,7,,2023-01-03 12:20:00-08:00
0.640101,0.6437,0.640101,0.6437,1141.0,0.6404,1672777500000,4,,2023-01-03 12:25:00-08:00
0.6473,0.6496,0.645,0.645,7109.0,0.6469,1672777800000,18,,2023-01-03 12:30:00-08:00
0.6496,0.6496,0.6489,0.6489,1411.0,0.649,1672778100000,9,,2023-01-03 12:35:00-08:00
0.6489,0.6489,0.6489,0.6489,2105.0,0.6489,1672778400000,8,,2023-01-03 12:40:00-08:00
0.6467,0.6489,0.6439,0.6478,24938.0,0.6478,1672778700000,49,,2023-01-03 12:45:00-08:00
0.645,0.6489,0.6445,0.6445,1061.0,0.6459,1672779000000,8,,2023-01-03 12:50:00-08:00
0.6401,0.6489,0.6401,0.648,5448.0,0.6455,1672779300000,49,,2023-01-03 12:55:00-08:00
0.64,0.64,0.64,0.64,300.0,0.64,1672779900000,1,,2023-01-03 13:05:00-08:00
0.649,0.649,0.649,0.649,102.0,0.649,1672780200000,1,,2023-01-03 13:10:00-08:00
0.64,0.64,0.64,0.64,200.0,0.64,1672780500000,2,,2023-01-03 13:15:00-08:00
0.64,0.64,0.64,0.64,200.0,0.64,1672780800000,1,,2023-01-03 13:20:00-08:00
0.649,0.649,0.649,0.649,146.0,0.649,1672784100000,1,,2023-01-03 14:15:00-08:00
0.649,0.649,0.649,0.649,100.0,0.649,1672784700000,1,,2023-01-03 14:25:00-08:00
0.649,0.649,0.649,0.649,944.0,0.649,1672787400000,3,,2023-01-03 15:10:00-08:00
0.649,0.649,0.649,0.649,900.0,0.649,1672788000000,4,,2023-01-03 15:20:00-08:00
0.649,0.649,0.649,0.649,211.0,0.649,1672788600000,1,,2023-01-03 15:30:00-08:00
0.65,0.65,0.65,0.65,800.0,0.65,1672788900000,2,,2023-01-03 15:35:00-08:00
0.6957,0.6999,0.695249,0.6991,2296.0,0.6981,1672853400000,16,,2023-01-04 09:30:00-08:00
0.6991,0.6991,0.695249,0.6991,2562.0,0.6976,1672853700000,12,,2023-01-04 09:35:00-08:00
0.7,0.7,0.6999,0.6999,9349.0,0.7,1672854000000,42,,2023-01-04 09:40:00-08:00
0.7,0.7,0.6992,0.6993,14690.0,0.6999,1672854300000,36,,2023-01-04 09:45:00-08:00
0.7,0.7,0.695949,0.6991,3081.0,0.6986,1672854600000,22,,2023-01-04 09:50:00-08:00
0.6991,0.7,0.6991,0.7,4715.0,0.6992,1672854900000,14,,2023-01-04 09:55:00-08:00
0.7,0.7,0.6963,0.6999,21327.0,0.6987,1672855200000,42,,2023-01-04 10:00:00-08:00
0.7,0.7,0.6995,0.6998,15844.0,0.6999,1672855500000,44,,2023-01-04 10:05:00-08:00
0.7,0.7122,0.6997,0.707,9441.0,0.7031,1672855800000,32,,2023-01-04 10:10:00-08:00
0.7142,0.716,0.7086,0.716,8420.0,0.7132,1672856100000,15,,2023-01-04 10:15:00-08:00
