open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
9.215,9.25,9.21,9.2428,52412.0,9.2221,1672767000000,399,,2023-01-03 09:30:00-08:00
9.24,9.25,9.2,9.2103,76861.0,9.2273,1672767300000,446,,2023-01-03 09:35:00-08:00
9.21,9.21,9.12,9.135,109655.0,9.1618,1672767600000,684,,2023-01-03 09:40:00-08:00
9.135,9.1399,9.08,9.095,103097.0,9.0994,1672767900000,561,,2023-01-03 09:45:00-08:00
9.0961,9.125,9.09,9.11,117280.0,9.104,1672768200000,721,,2023-01-03 09:50:00-08:00
9.11,9.14,9.1,9.125,115909.0,9.1165,1672768500000,634,,2023-01-03 09:55:00-08:00
9.125,9.14,9.1,9.125,108312.0,9.1209,1672768800000,704,,2023-01-03 10:00:00-08:00
9.12,9.13,9.1,9.12,72600.0,9.1164,1672769100000,541,,2023-01-03 10:05:00-08:00
9.115,9.12,9.07,9.075,105785.0,9.089,1672769400000,568,,2023-01-03 10:10:00-08:00
9.08,9.08,9.02,9.02,125740.0,9.0449,1672769700000,594,,2023-01-03 10:15:00-08:00
9.02,9.03,9.0,9.015,221945.0,9.0157,1672770000000,1164,,2023-01-03 10:20:00-08:00
9.02,9.0894,9.02,9.085,132074.0,9.0581,1672770300000,855,,2023-01-03 10:25:00-08:00
9.09,9.11,9.07,9.085,75739.0,9.0866,1672770600000,524,,2023-01-03 10:30:00-08:00
9.085,9.12,9.075,9.09,79009.0,9.0973,1672770900000,536,,2023-01-03 10:35:00-08:00
9.09,9.11,9.07,9.075,68370.0,9.0922,1672771200000,439,,2023-01-03 10:40:00-08:00
9.0744,9.095,9.07,9.095,73383.0,9.0824,1672771500000,446,,2023-01-03 10:45:00-08:00
9.095,9.15,9.095,9.145,54455.0,9.1221,1672771800000,429,,2023-01-03 10:50:00-08:00
9.14,9.16,9.13,9.15,86408.0,9.1473,1672772100000,662,,2023-01-03 10:55:00-08:00
9.15,9.175,9.12,9.125,54213.0,9.152,1672772400000,401,,2023-01-03 11:00:00-08:00
9.125,9.13,9.1,9.1066,44878.0,9.1112,1672772700000,306,,2023-01-03 11:05:00-08:00
9.105,9.115,9.06,9.085,84620.0,9.0923,1672773000000,515,,2023-01-03 11:10:00-08:00
9.085,9.1,9.075,9.075,69545.0,9.0896,1672773300000,377,,2023-01-03 11:15:00-08:00
9.075,9.1099,9.075,9.095,56871.0,9.0972,1672773600000,478,,2023-01-03 11:20:00-08:00
9.1,9.13,9.095,9.1201,68866.0,9.1053,1672773900000,513,,2023-01-03 11:25:00-08:00
9.1297,9.13,9.06,9.085,72174.0,9.0888,1672774200000,502,,2023-01-03 11:30:00-08:00
9.09,9.09,9.065,9.065,59768.0,9.0753,1672774500000,382,,2023-01-03 11:35:00-08:00
9.065,9.11,9.065,9.105,82027.0,9.0869,1672774800000,624,,2023-01-03 11:40:00-08:00
9.1071,9.18,9.105,9.155,74604.0,9.1546,1672775100000,527,,2023-01-03 11:45:00-08:00
9.16,9.16,9.13,9.1573,84912.0,9.1444,1672775400000,530,,2023-01-03 11:50:00-08:00
9.155,9.17,9.14,9.145,58819.0,9.1503,1672775700000,504,,2023-01-03 11:55:00-08:00
9.145,9.17,9.12,9.125,82210.0,9.1439,1672776000000,678,,2023-01-03 12:00:00-08:00
9.125,9.13,9.1,9.119,78776.0,9.1144,1672776300000,537,,2023-01-03 12:05:00-08:00
9.12,9.1499,9.1101,9.145,63139.0,9.1321,1672776600000,542,,2023-01-03 12:10:00-08:00
9.145,9.18,9.145,9.155,80008.0,9.1687,1672776900000,617,,2023-01-03 12:15:00-08:00
9.155,9.155,9.13,9.1462,72724.0,9.1436,1672777200000,564,,2023-01-03 12:20:00-08:00
9.145,9.17,9.14,9.17,52095.0,9.1561,1672777500000,479,,2023-01-03 12:25:00-08:00
9.17,9.195,9.165,9.175,90974.0,9.1804,1672777800000,712,,2023-01-03 12:30:00-08:00
9.17,9.17,9.11,9.14,155271.0,9.1434,1672778100000,833,,2023-01-03 12:35:00-08:00
9.14,9.15,9.105,9.115,129308.0,9.1268,1672778400000,715,,2023-01-03 12:40:00-08:00
9.1185,9.14,9.11,9.12,72174.0,9.1257,1672778700000,534,,2023-01-03 12:45:00-08:00
9.12,9.15,9.115,9.115,186810.0,9.1282,1672779000000,1060,,2023-01-03 12:50:00-08:00
