open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
1.355,1.36,1.35,1.3501,8339.0,1.3555,1672767000000,26,,2023-01-03 09:30:00-08:00
1.355,1.3599,1.35,1.355,3557.0,1.3547,1672767300000,15,,2023-01-03 09:35:00-08:00
1.35,1.36,1.35,1.355,24768.0,1.3557,1672767600000,123,,2023-01-03 09:40:00-08:00
1.355,1.355,1.35,1.355,1362.0,1.3526,1672767900000,14,,2023-01-03 09:45:00-08:00
1.355,1.355,1.35,1.355,9851.0,1.3508,1672768200000,47,,2023-01-03 09:50:00-08:00
1.355,1.3575,1.35,1.355,3001.0,1.3544,1672768500000,15,,2023-01-03 09:55:00-08:00
1.35,1.36,1.35,1.355,37302.0,1.3568,1672768800000,77,,2023-01-03 10:00:00-08:00
1.35,1.36,1.35,1.355,19915.0,1.3518,1672769100000,51,,2023-01-03 10:05:00-08:00
1.355,1.36,1.35,1.355,4473.0,1.3556,1672769400000,18,,2023-01-03 10:10:00-08:00
1.36,1.36,1.35,1.355,1340.0,1.3578,1672769700000,15,,2023-01-03 10:15:00-08:00
1.36,1.36,1.35,1.355,16808.0,1.3547,1672770000000,74,,2023-01-03 10:20:00-08:00
1.355,1.36,1.3501,1.355,12571.0,1.355,1672770300000,55,,2023-01-03 10:25:00-08:00
1.355,1.3553,1.35,1.3553,7213.0,1.3543,1672770600000,30,,2023-01-03 10:30:00-08:00
1.355,1.355,1.35,1.355,3500.0,1.3543,1672770900000,14,,2023-01-03 10:35:00-08:00
1.355,1.36,1.34,1.345,40965.0,1.3487,1672771200000,51,,2023-01-03 10:40:00-08:00
1.3406,1.3406,1.33,1.335,14695.0,1.3344,1672771500000,45,,2023-01-03 10:45:00-08:00
1.3345,1.3399,1.33,1.3399,6873.0,1.3368,1672771800000,8,,2023-01-03 10:50:00-08:00
1.335,1.34,1.33,1.335,1453.0,1.3348,1672772100000,16,,2023-01-03 10:55:00-08:00
1.335,1.3392,1.3301,1.335,8920.0,1.3334,1672772400000,10,,2023-01-03 11:00:00-08:00
1.335,1.335,1.33,1.335,654.0,1.3346,1672772700000,10,,2023-01-03 11:05:00-08:00
1.338,1.34,1.335,1.335,7091.0,1.3366,1672773000000,25,,2023-01-03 11:10:00-08:00
1.335,1.335,1.3337,1.335,1845.0,1.3348,1672773300000,10,,2023-01-03 11:15:00-08:00
1.335,1.337,1.3301,1.333,8142.0,1.331,1672773600000,20,,2023-01-03 11:20:00-08:00
1.3365,1.3375,1.335,1.3359,4155.0,1.3358,1672773900000,19,,2023-01-03 11:25:00-08:00
1.33,1.3399,1.33,1.335,16889.0,1.3373,1672774200000,40,,2023-01-03 11:30:00-08:00
1.33,1.34,1.33,1.335,26695.0,1.3325,1672774500000,52,,2023-01-03 11:35:00-08:00
1.34,1.34,1.33,1.335,14721.0,1.3365,1672774800000,59,,2023-01-03 11:40:00-08:00
1.3394,1.345,1.33,1.345,52305.0,1.3388,1672775100000,251,,2023-01-03 11:45:00-08:00
