open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
1.28,1.28,1.27,1.27,17223.0,1.2773,1672767000000,45,,2023-01-03 09:30:00-08:00
1.27,1.28,1.27,1.27,23280.0,1.2754,1672767300000,99,,2023-01-03 09:35:00-08:00
1.27,1.28,1.27,1.27,9742.0,1.2752,1672767600000,48,,2023-01-03 09:40:00-08:00
1.27,1.275,1.26,1.2611,62032.0,1.2682,1672767900000,111,,2023-01-03 09:45:00-08:00
1.2678,1.27,1.26,1.26,24238.0,1.2648,1672768200000,113,,2023-01-03 09:50:00-08:00
1.26,1.2699,1.26,1.2699,3985.0,1.2624,1672768500000,34,,2023-01-03 09:55:00-08:00
1.265,1.27,1.26,1.265,5872.0,1.2647,1672768800000,58,,2023-01-03 10:00:00-08:00
1.26,1.2688,1.26,1.2605,9547.0,1.2605,1672769100000,51,,2023-01-03 10:05:00-08:00
1.26,1.27,1.26,1.265,15082.0,1.2609,1672769400000,55,,2023-01-03 10:10:00-08:00
1.26,1.2661,1.26,1.26,9464.0,1.2613,1672769700000,67,,2023-01-03 10:15:00-08:00
1.2688,1.27,1.26,1.265,11875.0,1.2617,1672770000000,49,,2023-01-03 10:20:00-08:00
1.26,1.27,1.25,1.2664,220241.0,1.2626,1672770300000,307,,2023-01-03 10:25:00-08:00
1.265,1.27,1.25,1.27,166014.0,1.26,1672770600000,222,,2023-01-03 10:30:00-08:00
1.2638,1.27,1.26,1.2673,32603.0,1.2642,1672770900000,66,,2023-01-03 10:35:00-08:00
1.265,1.2699,1.26,1.265,58785.0,1.2609,1672771200000,95,,2023-01-03 10:40:00-08:00
1.265,1.27,1.26,1.26,167569.0,1.2699,1672771500000,45,,2023-01-03 10:45:00-08:00
1.26,1.27,1.26,1.265,17091.0,1.2656,1672771800000,60,,2023-01-03 10:50:00-08:00
1.26,1.27,1.26,1.26,52383.0,1.2668,1672772100000,71,,2023-01-03 10:55:00-08:00
1.26,1.27,1.26,1.26,22166.0,1.2662,1672772400000,56,,2023-01-03 11:00:00-08:00
1.265,1.27,1.26,1.26,5943.0,1.2626,1672772700000,50,,2023-01-03 11:05:00-08:00
1.26,1.27,1.26,1.265,17809.0,1.2615,1672773000000,65,,2023-01-03 11:10:00-08:00
1.26,1.27,1.26,1.26,13928.0,1.2639,1672773300000,85,,2023-01-03 11:15:00-08:00
1.26,1.27,1.26,1.2694,30341.0,1.2669,1672773600000,113,,2023-01-03 11:20:00-08:00
1.26,1.27,1.26,1.26,31672.0,1.2634,1672773900000,95,,2023-01-03 11:25:00-08:00
1.265,1.27,1.26,1.26,11810.0,1.2635,1672774200000,78,,2023-01-03 11:30:00-08:00
1.26,1.27,1.26,1.26,6984.0,1.2633,1672774500000,72,,2023-01-03 11:35:00-08:00
1.264,1.27,1.26,1.265,60097.0,1.2647,1672774800000,133,,2023-01-03 11:40:00-08:00
1.265,1.2851,1.26,1.285,145262.0,1.2747,1672775100000,267,,2023-01-03 11:45:00-08:00
1.285,1.29,1.28,1.29,34633.0,1.2858,1672775400000,157,,2023-01-03 11:50:00-08:00
1.285,1.29,1.28,1.285,10324.0,1.2862,1672775700000,80,,2023-01-03 11:55:00-08:00
1.285,1.29,1.28,1.285,14129.0,1.2854,1672776000000,106,,2023-01-03 12:00:00-08:00
1.285,1.29,1.27,1.27,58968.0,1.2806,1672776300000,171,,2023-01-03 12:05:00-08:00
1.275,1.28,1.27,1.275,15742.0,1.2748,1672776600000,114,,2023-01-03 12:10:00-08:00
1.27,1.28,1.27,1.27,10716.0,1.2738,1672776900000,64,,2023-01-03 12:15:00-08:00
1.27,1.275,1.26,1.265,58921.0,1.2689,1672777200000,169,,2023-01-03 12:20:00-08:00
1.265,1.27,1.26,1.265,17570.0,1.2651,1672777500000,109,,2023-01-03 12:25:00-08:00
1.265,1.27,1.26,1.265,33914.0,1.2662,1672777800000,149,,2023-01-03 12:30:00-08:00
1.26,1.28,1.26,1.275,111689.0,1.2698,1672778100000,295,,2023-01-03 12:35:00-08:00
1.28,1.28,1.2708,1.28,21060.0,1.2768,1672778400000,107,,2023-01-03 12:40:00-08:00
1.275,1.28,1.27,1.275,104288.0,1.2751,1672778700000,220,,2023-01-03 12:45:00-08:00
1.28,1.3,1.275,1.3,377492.0,1.2887,1672779000000,516,,2023-01-03 12:50:00-08:00
1.295,1.3,1.29,1.295,193442.0,1.2977,1672779300000,772,,2023-01-03 12:55:00-08:00
1.3,1.3,1.3,1.3,48576.0,1.3,1672779600000,9,,2023-01-03 13:00:00-08:00
1.28,1.28,1.28,1.28,228.0,1.2825,1672779900000,2,,2023-01-03 13:05:00-08:00
1.28,1.28,1.28,1.28,3296.0,1.2939,1672781700000,2,,2023-01-03 13:35:00-08:00
1.3,1.3,1.3,1.3,100.0,1.3,1672783200000,1,,2023-01-03 14:00:00-08:00
1.28,1.28,1.28,1.28,1100.0,1.28,1672785900000,2,,2023-01-03 14:45:00-08:00
1.28,1.28,1.28,1.28,1000.0,1.28,1672787400000,4,,2023-01-03 15:10:00-08:00
1.315,1.32,1.315,1.315,3440.0,1.3173,1672853400000,47,,2023-01-04 09:30:00-08:00
1.32,1.33,1.3125,1.325,57283.0,1.3206,1672853700000,177,,2023-01-04 09:35:00-08:00
1.33,1.34,1.32,1.325,80436.0,1.3302,1672854000000,201,,2023-01-04 09:40:00-08:00
1.325,1.33,1.32,1.32,6137.0,1.3251,1672854300000,54,,2023-01-04 09:45:00-08:00
1.325,1.3263,1.315,1.315,76203.0,1.32,1672854600000,200,,2023-01-04 09:50:00-08:00
1.315,1.3194,1.31,1.31,6763.0,1.3138,1672854900000,58,,2023-01-04 09:55:00-08:00
1.315,1.32,1.305,1.305,33606.0,1.3096,1672855200000,118,,2023-01-04 10:00:00-08:00
1.305,1.31,1.3,1.305,11460.0,1.3057,1672855500000,72,,2023-01-04 10:05:00-08:00
1.305,1.305,1.3,1.305,4475.0,1.3042,1672855800000,41,,2023-01-04 10:10:00-08:00
1.305,1.32,1.305,1.315,83665.0,1.3109,1672856100000,223,,2023-01-04 10:15:00-08:00
1.315,1.315,1.3,1.305,31137.0,1.3092,1672856400000,122,,2023-01-04 10:20:00-08:00
1.3,1.3094,1.3,1.305,13836.0,1.3047,1672856700000,76,,2023-01-04 10:25:00-08:00
1.305,1.31,1.3,1.3,14995.0,1.3028,1672857000000,100,,2023-01-04 10:30:00-08:00
1.3,1.31,1.3,1.305,24448.0,1.3047,1672857300000,99,,2023-01-04 10:35:00-08:00
