open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
2.595,2.5984,2.59,2.5984,10248.0,2.5951,1672767000000,20,,2023-01-03 09:30:00-08:00
2.59,2.595,2.5811,2.585,108631.0,2.587,1672767300000,104,,2023-01-03 09:35:00-08:00
2.585,2.585,2.5622,2.58,185539.0,2.5725,1672767600000,229,,2023-01-03 09:40:00-08:00
2.575,2.5784,2.5601,2.5687,67154.0,2.5699,1672767900000,63,,2023-01-03 09:45:00-08:00
2.565,2.575,2.5605,2.565,65230.0,2.5698,1672768200000,101,,2023-01-03 09:50:00-08:00
2.565,2.575,2.56,2.5703,198763.0,2.5696,1672768500000,256,,2023-01-03 09:55:00-08:00
2.57,2.5701,2.56,2.5686,162247.0,2.5681,1672768800000,220,,2023-01-03 10:00:00-08:00
2.57,2.57,2.565,2.5699,10101.0,2.5697,1672769100000,25,,2023-01-03 10:05:00-08:00
2.565,2.58,2.56,2.56,101999.0,2.5701,1672769400000,99,,2023-01-03 10:10:00-08:00
2.565,2.57,2.55,2.555,292885.0,2.56,1672769700000,342,,2023-01-03 10:15:00-08:00
2.555,2.57,2.5546,2.56,114235.0,2.5607,1672770000000,192,,2023-01-03 10:20:00-08:00
2.5676,2.57,2.56,2.5682,10182.0,2.5662,1672770300000,32,,2023-01-03 10:25:00-08:00
2.565,2.57,2.56,2.565,14833.0,2.5641,1672770600000,26,,2023-01-03 10:30:00-08:00
2.565,2.575,2.5601,2.5683,111706.0,2.5691,1672770900000,153,,2023-01-03 10:35:00-08:00
2.565,2.5684,2.56,2.565,7722.0,2.5661,1672771200000,12,,2023-01-03 10:40:00-08:00
2.565,2.5699,2.56,2.565,17413.0,2.5634,1672771500000,23,,2023-01-03 10:45:00-08:00
2.56,2.565,2.56,2.56,5814.0,2.5608,1672771800000,23,,2023-01-03 10:50:00-08:00
2.565,2.565,2.56,2.56,3657.0,2.5611,1672772100000,18,,2023-01-03 10:55:00-08:00
2.565,2.565,2.5501,2.555,225645.0,2.5597,1672772400000,172,,2023-01-03 11:00:00-08:00
2.555,2.56,2.545,2.545,48948.0,2.5509,1672772700000,57,,2023-01-03 11:05:00-08:00
2.545,2.55,2.54,2.545,34010.0,2.5461,1672773000000,29,,2023-01-03 11:10:00-08:00
2.545,2.545,2.5308,2.535,59169.0,2.5406,1672773300000,79,,2023-01-03 11:15:00-08:00
2.535,2.5499,2.534,2.54,102524.0,2.5403,1672773600000,106,,2023-01-03 11:20:00-08:00
2.535,2.5499,2.53,2.5401,237415.0,2.5398,1672773900000,235,,2023-01-03 11:25:00-08:00
2.54,2.55,2.535,2.54,204624.0,2.5416,1672774200000,167,,2023-01-03 11:30:00-08:00
2.54,2.545,2.534,2.535,93171.0,2.5379,1672774500000,76,,2023-01-03 11:35:00-08:00
2.5317,2.54,2.5317,2.535,57200.0,2.536,1672774800000,62,,2023-01-03 11:40:00-08:00
2.54,2.56,2.5393,2.555,143223.0,2.5475,1672775100000,255,,2023-01-03 11:45:00-08:00
2.555,2.56,2.544,2.5499,79314.0,2.5496,1672775400000,87,,2023-01-03 11:50:00-08:00
2.55,2.55,2.545,2.545,83460.0,2.5489,1672775700000,169,,2023-01-03 11:55:00-08:00
2.55,2.56,2.54,2.548,223778.0,2.5495,1672776000000,194,,2023-01-03 12:00:00-08:00
2.55,2.55,2.5301,2.54,193249.0,2.5403,1672776300000,180,,2023-01-03 12:05:00-08:00
2.54,2.54,2.534,2.54,40301.0,2.5389,1672776600000,76,,2023-01-03 12:10:00-08:00
2.54,2.55,2.535,2.5415,158091.0,2.5425,1672776900000,286,,2023-01-03 12:15:00-08:00
2.545,2.545,2.534,2.54,68173.0,2.5388,1672777200000,95,,2023-01-03 12:20:00-08:00
2.535,2.54,2.534,2.54,93144.0,2.5391,1672777500000,97,,2023-01-03 12:25:00-08:00
2.535,2.54,2.535,2.54,36255.0,2.5384,1672777800000,100,,2023-01-03 12:30:00-08:00
2.54,2.54,2.535,2.54,34428.0,2.5397,1672778100000,85,,2023-01-03 12:35:00-08:00
2.532,2.54,2.524,2.524,192813.0,2.5313,1672778400000,251,,2023-01-03 12:40:00-08:00
2.5285,2.53,2.52,2.53,81726.0,2.5278,1672778700000,144,,2023-01-03 12:45:00-08:00
2.525,2.5363,2.52,2.535,142717.0,2.5324,1672779000000,251,,2023-01-03 12:50:00-08:00
2.535,2.535,2.52,2.52,682385.0,2.5284,1672779300000,697,,2023-01-03 12:55:00-08:00
2.52,2.52,2.52,2.52,225.0,2.52,1672779600000,1,,2023-01-03 13:00:00-08:00
2.53,2.53,2.53,2.53,1000.0,2.53,1672781700000,3,,2023-01-03 13:35:00-08:00
2.655,2.67,2.6501,2.6601,103417.0,2.6603,1672853400000,163,,2023-01-04 09:30:00-08:00
2.6601,2.6601,2.65,2.655,56354.0,2.6546,1672853700000,115,,2023-01-04 09:35:00-08:00
2.655,2.66,2.65,2.66,22136.0,2.6568,1672854000000,64,,2023-01-04 09:40:00-08:00
2.655,2.67,2.654,2.655,143941.0,2.6598,1672854300000,213,,2023-01-04 09:45:00-08:00
2.6597,2.67,2.65,2.655,171944.0,2.6624,1672854600000,116,,2023-01-04 09:50:00-08:00
2.65,2.6501,2.64,2.64,90115.0,2.648,1672854900000,95,,2023-01-04 09:55:00-08:00
2.64,2.645,2.63,2.635,78498.0,2.6362,1672855200000,97,,2023-01-04 10:00:00-08:00
2.6382,2.65,2.6358,2.645,46869.0,2.6404,1672855500000,55,,2023-01-04 10:05:00-08:00
2.645,2.645,2.64,2.64,119097.0,2.64,1672855800000,101,,2023-01-04 10:10:00-08:00
2.645,2.65,2.645,2.645,33648.0,2.6456,1672856100000,99,,2023-01-04 10:15:00-08:00
2.645,2.66,2.645,2.655,137064.0,2.6514,1672856400000,163,,2023-01-04 10:20:00-08:00
2.655,2.665,2.64,2.65,408465.0,2.6522,1672856700000,333,,2023-01-04 10:25:00-08:00
2.65,2.65,2.645,2.645,13005.0,2.6475,1672857000000,36,,2023-01-04 10:30:00-08:00
2.65,2.66,2.644,2.6581,83975.0,2.6513,1672857300000,70,,2023-01-04 10:35:00-08:00
2.66,2.66,2.65,2.6597,20180.0,2.651,1672857600000,55,,2023-01-04 10:40:00-08:00
2.65,2.66,2.65,2.6599,7619.0,2.6564,1672857900000,41,,2023-01-04 10:45:00-08:00
2.655,2.66,2.6501,2.66,65033.0,2.6545,1672858200000,101,,2023-01-04 10:50:00-08:00
2.66,2.66,2.65,2.654,28482.0,2.6552,1672858500000,59,,2023-01-04 10:55:00-08:00
2.655,2.66,2.6346,2.64,84233.0,2.6474,1672858800000,214,,2023-01-04 11:00:00-08:00
2.64,2.655,2.64,2.64,43044.0,2.6431,1672859100000,79,,2023-01-04 11:05:00-08:00
2.6438,2.655,2.635,2.655,43319.0,2.647,1672859400000,118,,2023-01-04 11:10:00-08:00
2.655,2.6681,2.65,2.66,34529.0,2.6604,1672859700000,100,,2023-01-04 11:15:00-08:00
2.6601,2.665,2.65,2.65,17157.0,2.6559,1672860000000,38,,2023-01-04 11:20:00-08:00
2.655,2.655,2.64,2.65,58740.0,2.648,1672860300000,165,,2023-01-04 11:25:00-08:00
2.6489,2.65,2.64,2.645,78093.0,2.6443,1672860600000,171,,2023-01-04 11:30:00-08:00
2.645,2.6522,2.64,2.642,181410.0,2.6489,1672860900000,155,,2023-01-04 11:35:00-08:00
2.645,2.6599,2.64,2.655,119376.0,2.6506,1672861200000,155,,2023-01-04 11:40:00-08:00
2.655,2.66,2.65,2.66,15162.0,2.6525,1672861500000,52,,2023-01-04 11:45:00-08:00
2.66,2.68,2.655,2.665,132798.0,2.668,1672861800000,162,,2023-01-04 11:50:00-08:00
2.665,2.68,2.664,2.675,78459.0,2.6697,1672862100000,84,,2023-01-04 11:55:00-08:00
2.68,2.685,2.67,2.6799,132505.0,2.6793,1672862400000,152,,2023-01-04 12:00:00-08:00
2.6787,2.69,2.674,2.68,77396.0,2.6802,1672862700000,107,,2023-01-04 12:05:00-08:00
2.685,2.685,2.68,2.685,12741.0,2.6846,1672863000000,20,,2023-01-04 12:10:00-08:00
2.685,2.69,2.68,2.68,19283.0,2.6829,1672863300000,62,,2023-01-04 12:15:00-08:00
2.68,2.69,2.68,2.685,18047.0,2.6868,1672863600000,52,,2023-01-04 12:20:00-08:00
2.685,2.69,2.68,2.685,31840.0,2.6854,1672863900000,109,,2023-01-04 12:25:00-08:00
2.685,2.69,2.68,2.685,20817.0,2.6853,1672864200000,68,,2023-01-04 12:30:00-08:00
2.685,2.69,2.67,2.675,80343.0,2.679,1672864500000,168,,2023-01-04 12:35:00-08:00
2.675,2.68,2.675,2.675,63553.0,2.6758,1672864800000,148,,2023-01-04 12:40:00-08:00
2.68,2.68,2.675,2.68,138293.0,2.679,1672865100000,349,,2023-01-04 12:45:00-08:00
2.68,2.685,2.675,2.685,164626.0,2.6805,1672865400000,269,,2023-01-04 12:50:00-08:00
2.685,2.69,2.68,2.69,253963.0,2.6873,1672865700000,577,,2023-01-04 12:55:00-08:00
2.69,2.69,2.69,2.69,963.0,2.69,1672866000000,2,,2023-01-04 13:00:00-08:00
2.655,2.66,2.65,2.6589,15846.0,2.6559,1672939800000,52,,2023-01-05 09:30:00-08:00
2.6558,2.67,2.6501,2.655,143500.0,2.6606,1672940100000,133,,2023-01-05 09:35:00-08:00
2.6559,2.66,2.655,2.655,25473.0,2.656,1672940400000,57,,2023-01-05 09:40:00-08:00
2.655,2.67,2.654,2.665,63456.0,2.6612,1672940700000,115,,2023-01-05 09:45:00-08:00
2.66,2.67,2.66,2.665,14678.0,2.6619,1672941000000,26,,2023-01-05 09:50:00-08:00
2.665,2.67,2.66,2.665,9824.0,2.666,1672941300000,41,,2023-01-05 09:55:00-08:00
2.66,2.67,2.66,2.66,14720.0,2.6642,1672941600000,58,,2023-01-05 10:00:00-08:00
2.66,2.67,2.66,2.6675,14841.0,2.6659,1672941900000,63,,2023-01-05 10:05:00-08:00
2.665,2.67,2.655,2.6601,156642.0,2.6602,1672942200000,202,,2023-01-05 10:10:00-08:00
2.6606,2.67,2.66,2.6696,35155.0,2.6648,1672942500000,53,,2023-01-05 10:15:00-08:00
2.665,2.68,2.655,2.67,239805.0,2.6653,1672942800000,247,,2023-01-05 10:20:00-08:00
2.6701,2.68,2.67,2.68,70221.0,2.6745,1672943100000,89,,2023-01-05 10:25:00-08:00
2.675,2.69,2.675,2.69,53125.0,2.6801,1672943400000,110,,2023-01-05 10:30:00-08:00
2.69,2.69,2.6825,2.69,33180.0,2.6885,1672943700000,58,,2023-01-05 10:35:00-08:00
2.685,2.7,2.68,2.6801,79778.0,2.69,1672944000000,98,,2023-01-05 10:40:00-08:00
2.685,2.685,2.675,2.675,170222.0,2.6791,1672944300000,196,,2023-01-05 10:45:00-08:00
2.675,2.68,2.675,2.675,9016.0,2.6773,1672944600000,38,,2023-01-05 10:50:00-08:00
2.68,2.69,2.675,2.6791,140698.0,2.6796,1672944900000,181,,2023-01-05 10:55:00-08:00
2.675,2.68,2.675,2.675,26997.0,2.6786,1672945200000,47,,2023-01-05 11:00:00-08:00
2.675,2.68,2.675,2.6782,60390.0,2.6782,1672945500000,93,,2023-01-05 11:05:00-08:00
2.68,2.68,2.67,2.675,32212.0,2.6761,1672945800000,101,,2023-01-05 11:10:00-08:00
2.6701,2.68,2.67,2.675,40476.0,2.6722,1672946100000,76,,2023-01-05 11:15:00-08:00
2.675,2.68,2.67,2.675,36797.0,2.6743,1672946400000,100,,2023-01-05 11:20:00-08:00
2.675,2.68,2.66,2.66,131341.0,2.6704,1672946700000,190,,2023-01-05 11:25:00-08:00
2.66,2.6662,2.65,2.662,176253.0,2.6595,1672947000000,166,,2023-01-05 11:30:00-08:00
2.665,2.665,2.66,2.665,37639.0,2.6618,1672947300000,44,,2023-01-05 11:35:00-08:00
2.6699,2.67,2.66,2.665,47490.0,2.6658,1672947600000,102,,2023-01-05 11:40:00-08:00
2.6699,2.68,2.6631,2.675,153833.0,2.6705,1672947900000,162,,2023-01-05 11:45:00-08:00
2.675,2.6879,2.675,2.685,52118.0,2.6806,1672948200000,89,,2023-01-05 11:50:00-08:00
2.68,2.7,2.68,2.7,144771.0,2.6911,1672948500000,206,,2023-01-05 11:55:00-08:00
2.695,2.71,2.694,2.6998,193089.0,2.7001,1672948800000,173,,2023-01-05 12:00:00-08:00
2.6999,2.7,2.69,2.69,56022.0,2.6946,1672949100000,75,,2023-01-05 12:05:00-08:00
2.695,2.6999,2.69,2.695,32202.0,2.6939,1672949400000,47,,2023-01-05 12:10:00-08:00
2.695,2.71,2.69,2.705,107124.0,2.6983,1672949700000,165,,2023-01-05 12:15:00-08:00
2.705,2.71,2.7001,2.705,20089.0,2.7056,1672950000000,75,,2023-01-05 12:20:00-08:00
2.705,2.71,2.69,2.695,147257.0,2.6986,1672950300000,219,,2023-01-05 12:25:00-08:00
2.695,2.71,2.69,2.71,104105.0,2.6976,1672950600000,236,,2023-01-05 12:30:00-08:00
2.705,2.71,2.705,2.705,63773.0,2.7068,1672950900000,155,,2023-01-05 12:35:00-08:00
2.705,2.72,2.7017,2.71,212703.0,2.7095,1672951200000,304,,2023-01-05 12:40:00-08:00
2.71,2.72,2.7,2.7,240996.0,2.7089,1672951500000,356,,2023-01-05 12:45:00-08:00
2.705,2.71,2.7,2.71,194937.0,2.7078,1672951800000,444,,2023-01-05 12:50:00-08:00
2.71,2.72,2.7025,2.705,384775.0,2.7104,1672952100000,824,,2023-01-05 12:55:00-08:00
2.64,2.64,2.64,2.64,600.0,2.64,1672956600000,2,,2023-01-05 14:10:00-08:00
2.67,2.67,2.67,2.67,100.0,2.67,1672958100000,1,,2023-01-05 14:35:00-08:00
2.715,2.72,2.715,2.715,13329.0,2.7161,1673026200000,42,,2023-01-06 09:30:00-08:00
2.715,2.72,2.71,2.715,18965.0,2.7163,1673026500000,63,,2023-01-06 09:35:00-08:00
2.71,2.71,2.7,2.7,71067.0,2.706,1673026800000,111,,2023-01-06 09:40:00-08:00
2.7,2.705,2.69,2.7,30870.0,2.6972,1673027100000,73,,2023-01-06 09:45:00-08:00
2.69,2.7,2.685,2.6942,231710.0,2.6902,1673027400000,351,,2023-01-06 09:50:00-08:00
2.69,2.7,2.69,2.69,45484.0,2.6918,1673027700000,58,,2023-01-06 09:55:00-08:00
2.69,2.695,2.69,2.695,5673.0,2.6947,1673028000000,24,,2023-01-06 10:00:00-08:00
2.69,2.6942,2.69,2.69,23416.0,2.6909,1673028300000,37,,2023-01-06 10:05:00-08:00
2.69,2.695,2.69,2.695,4348.0,2.6917,1673028600000,28,,2023-01-06 10:10:00-08:00
2.69,2.6925,2.67,2.67,100864.0,2.6814,1673028900000,119,,2023-01-06 10:15:00-08:00
2.67,2.6799,2.67,2.67,22628.0,2.6703,1673029200000,43,,2023-01-06 10:20:00-08:00
2.675,2.69,2.67,2.685,222203.0,2.6795,1673029500000,333,,2023-01-06 10:25:00-08:00
2.6897,2.7,2.68,2.7,168635.0,2.6905,1673029800000,220,,2023-01-06 10:30:00-08:00
2.69,2.7,2.69,2.7,23808.0,2.6958,1673030100000,73,,2023-01-06 10:35:00-08:00
2.695,2.71,2.695,2.7001,172052.0,2.7008,1673030400000,221,,2023-01-06 10:40:00-08:00
2.7,2.7042,2.695,2.695,53128.0,2.6975,1673030700000,98,,2023-01-06 10:45:00-08:00
2.695,2.7,2.69,2.6999,47132.0,2.6936,1673031000000,69,,2023-01-06 10:50:00-08:00
2.695,2.695,2.68,2.68,22472.0,2.687,1673031300000,47,,2023-01-06 10:55:00-08:00
2.685,2.6874,2.67,2.68,83701.0,2.6799,1673031600000,91,,2023-01-06 11:00:00-08:00
2.675,2.68,2.67,2.675,23622.0,2.676,1673031900000,113,,2023-01-06 11:05:00-08:00
2.675,2.68,2.66,2.6601,174466.0,2.6733,1673032200000,254,,2023-01-06 11:10:00-08:00
