open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
9.0,9.0,8.56,8.725,2148.0,8.8958,1672767000000,19,,2023-01-03 09:30:00-08:00
8.6393,8.8797,8.6393,8.8797,1000.0,8.7526,1672767300000,4,,2023-01-03 09:35:00-08:00
8.7,8.7,8.7,8.7,130.0,8.7307,1672767600000,4,,2023-01-03 09:40:00-08:00
8.8416,8.8416,8.0,8.0301,12814.0,8.4813,1672767900000,50,,2023-01-03 09:45:00-08:00
8.05,8.3,8.0,8.3,1205.0,8.0718,1672768200000,10,,2023-01-03 09:50:00-08:00
8.3,8.5,8.3,8.5,988.0,8.4552,1672768800000,5,,2023-01-03 10:00:00-08:00
8.45,8.46,8.28,8.28,1261.0,8.3165,1672769100000,5,,2023-01-03 10:05:00-08:00
8.1828,8.42,8.08,8.08,700.0,8.2058,1672769400000,4,,2023-01-03 10:10:00-08:00
8.29,8.29,8.1432,8.1432,1000.0,8.1579,1672769700000,2,,2023-01-03 10:15:00-08:00
8.15,8.15,8.15,8.15,130.0,8.15,1672770300000,1,,2023-01-03 10:25:00-08:00
8.09,8.09,8.09,8.09,262.0,8.0908,1672772400000,2,,2023-01-03 11:00:00-08:00
8.15,8.1501,8.15,8.1501,2438.0,8.15,1672773300000,2,,2023-01-03 11:15:00-08:00
8.4,8.4,8.3,8.3,700.0,8.3714,1672773600000,3,,2023-01-03 11:20:00-08:00
8.28,8.3603,8.1034,8.1034,1366.0,8.2656,1672773900000,12,,2023-01-03 11:25:00-08:00
8.4178,8.4178,8.4178,8.4178,100.0,8.4178,1672774800000,1,,2023-01-03 11:40:00-08:00
8.28,8.28,8.28,8.28,455.0,8.2599,1672775100000,8,,2023-01-03 11:45:00-08:00
8.19,8.19,8.19,8.19,100.0,8.19,1672775400000,1,,2023-01-03 11:50:00-08:00
8.27,8.27,8.27,8.27,250.0,8.264,1672775700000,2,,2023-01-03 11:55:00-08:00
8.28,8.28,8.28,8.28,453.0,8.2792,1672776000000,9,,2023-01-03 12:00:00-08:00
8.43,8.43,8.43,8.43,235.0,8.423,1672777800000,8,,2023-01-03 12:30:00-08:00
8.3836,8.3836,8.0907,8.0907,901.0,8.2878,1672778100000,9,,2023-01-03 12:35:00-08:00
8.2446,8.2446,8.2446,8.2446,898.0,8.2471,1672779000000,4,,2023-01-03 12:50:00-08:00
