open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
15.415,15.45,15.39,15.4,10513,15.4232,1672767000000,118,,2023-01-03 09:30:00-08:00
15.38,15.4,15.25,15.34,14785,15.3273,1672767300000,200,,2023-01-03 09:35:00-08:00
15.38,15.38,15.27,15.27,2133,15.3191,1672767600000,57,,2023-01-03 09:40:00-08:00
15.275,15.275,15.21,15.21,1621,15.2407,1672767900000,33,,2023-01-03 09:45:00-08:00
15.21,15.25,15.19,15.245,2885,15.214,1672768200000,44,,2023-01-03 09:50:00-08:00
15.225,15.225,15.225,15.225,1614,15.2253,1672768500000,7,,2023-01-03 09:55:00-08:00
15.235,15.28,15.18,15.2785,2993,15.2312,1672768800000,78,,2023-01-03 10:00:00-08:00
15.26,15.28,15.235,15.28,2412,15.2518,1672769100000,30,,2023-01-03 10:05:00-08:00
15.28,15.3,15.27,15.28,5130,15.2818,1672769400000,81,,2023-01-03 10:10:00-08:00
15.28,15.315,15.28,15.3,1843,15.2922,1672769700000,27,,2023-01-03 10:15:00-08:00
15.29,15.29,15.285,15.29,1078,15.2886,1672770000000,27,,2023-01-03 10:20:00-08:00
15.29,15.365,15.29,15.335,5031,15.3291,1672770300000,69,,2023-01-03 10:25:00-08:00
15.335,15.335,15.235,15.235,3534,15.2818,1672770600000,89,,2023-01-03 10:30:00-08:00
15.235,15.27,15.235,15.27,1607,15.2621,1672770900000,34,,2023-01-03 10:35:00-08:00
15.27,15.28,15.24,15.255,2272,15.262,1672771200000,38,,2023-01-03 10:40:00-08:00
15.255,15.27,15.22,15.225,17648,15.2477,1672771500000,112,,2023-01-03 10:45:00-08:00
15.225,15.315,15.21,15.315,3534,15.2653,1672771800000,56,,2023-01-03 10:50:00-08:00
15.33,15.33,15.23,15.26,5262,15.2758,1672772100000,80,,2023-01-03 10:55:00-08:00
15.28,15.28,15.26,15.26,1169,15.2668,1672772400000,22,,2023-01-03 11:00:00-08:00
15.255,15.26,15.24,15.26,3539,15.2508,1672772700000,45,,2023-01-03 11:05:00-08:00
15.26,15.26,15.23,15.255,5750,15.2467,1672773000000,88,,2023-01-03 11:10:00-08:00
