open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
1.29,1.29,1.29,1.29,200.0,1.29,1672767000000,2,,2023-01-03 09:30:00-08:00
1.29,1.29,1.2801,1.2801,1735.0,1.2843,1672767300000,5,,2023-01-03 09:35:00-08:00
1.2895,1.2914,1.2895,1.2914,1340.0,1.2901,1672767600000,9,,2023-01-03 09:40:00-08:00
1.3,1.3,1.291,1.3,700.0,1.2936,1672767900000,3,,2023-01-03 09:45:00-08:00
1.295,1.3,1.2901,1.3,429.0,1.2951,1672768200000,6,,2023-01-03 09:50:00-08:00
1.3,1.3,1.2993,1.3,540.0,1.2995,1672768500000,6,,2023-01-03 09:55:00-08:00
1.296,1.3,1.296,1.3,1347.0,1.2962,1672768800000,4,,2023-01-03 10:00:00-08:00
1.295,1.3,1.295,1.295,440.0,1.2961,1672769100000,6,,2023-01-03 10:05:00-08:00
1.3,1.3,1.3,1.3,100.0,1.3,1672769400000,1,,2023-01-03 10:10:00-08:00
1.295,1.3,1.295,1.295,9840.0,1.2998,1672769700000,38,,2023-01-03 10:15:00-08:00
1.31,1.31,1.305,1.31,575.0,1.3085,1672770000000,7,,2023-01-03 10:20:00-08:00
1.31,1.31,1.3047,1.3047,1186.0,1.307,1672770300000,13,,2023-01-03 10:25:00-08:00
1.31,1.31,1.305,1.305,940.0,1.3066,1672770600000,9,,2023-01-03 10:30:00-08:00
1.31,1.31,1.31,1.31,100.0,1.31,1672770900000,1,,2023-01-03 10:35:00-08:00
1.31,1.3387,1.31,1.33,12493.0,1.3254,1672771200000,35,,2023-01-03 10:40:00-08:00
1.33,1.34,1.33,1.34,1508.0,1.3375,1672771500000,14,,2023-01-03 10:45:00-08:00
1.3397,1.34,1.335,1.34,564.0,1.3368,1672771800000,7,,2023-01-03 10:50:00-08:00
1.3311,1.34,1.3311,1.34,1303.0,1.3333,1672772100000,11,,2023-01-03 10:55:00-08:00
1.34,1.34,1.34,1.34,200.0,1.34,1672772400000,2,,2023-01-03 11:00:00-08:00
1.34,1.34,1.335,1.335,410.0,1.3373,1672772700000,5,,2023-01-03 11:05:00-08:00
1.34,1.34,1.3301,1.3301,2594.0,1.3318,1672773000000,9,,2023-01-03 11:10:00-08:00
1.34,1.34,1.3301,1.34,525.0,1.3379,1672773300000,6,,2023-01-03 11:15:00-08:00
1.34,1.34,1.335,1.34,500.0,1.3378,1672773600000,6,,2023-01-03 11:20:00-08:00
1.3307,1.34,1.33,1.335,3429.0,1.3317,1672773900000,15,,2023-01-03 11:25:00-08:00
1.335,1.34,1.335,1.335,885.0,1.3363,1672774200000,13,,2023-01-03 11:30:00-08:00
1.34,1.34,1.33,1.34,2801.0,1.3351,1672774500000,14,,2023-01-03 11:35:00-08:00
1.33,1.335,1.33,1.335,5310.0,1.3312,1672774800000,26,,2023-01-03 11:40:00-08:00
1.33,1.335,1.33,1.3311,1423.0,1.3325,1672775100000,19,,2023-01-03 11:45:00-08:00
