open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
5.3315,5.355,5.3315,5.355,3102.0,5.3413,1672767000000,43,,2023-01-03 09:30:00-08:00
5.355,5.355,5.33,5.3385,29598.0,5.34,1672767300000,73,,2023-01-03 09:35:00-08:00
5.3314,5.37,5.33,5.3507,25645.0,5.3546,1672767600000,112,,2023-01-03 09:40:00-08:00
5.358,5.358,5.34,5.345,6443.0,5.3489,1672767900000,58,,2023-01-03 09:45:00-08:00
5.345,5.3512,5.34,5.35,6388.0,5.3471,1672768200000,50,,2023-01-03 09:50:00-08:00
5.35,5.405,5.35,5.395,52661.0,5.3871,1672768500000,250,,2023-01-03 09:55:00-08:00
5.4,5.4,5.36,5.365,17361.0,5.3843,1672768800000,119,,2023-01-03 10:00:00-08:00
5.36,5.36,5.33,5.34,12741.0,5.3449,1672769100000,116,,2023-01-03 10:05:00-08:00
5.33,5.3596,5.33,5.335,11093.0,5.345,1672769400000,83,,2023-01-03 10:10:00-08:00
5.3301,5.335,5.33,5.335,6219.0,5.3337,1672769700000,38,,2023-01-03 10:15:00-08:00
5.335,5.35,5.33,5.3481,9423.0,5.3379,1672770000000,63,,2023-01-03 10:20:00-08:00
5.35,5.41,5.35,5.38,76059.0,5.3954,1672770300000,236,,2023-01-03 10:25:00-08:00
5.3701,5.3701,5.36,5.36,7772.0,5.3668,1672770600000,56,,2023-01-03 10:30:00-08:00
5.36,5.37,5.36,5.365,2616.0,5.3629,1672770900000,45,,2023-01-03 10:35:00-08:00
5.365,5.37,5.35,5.35,5959.0,5.3628,1672771200000,54,,2023-01-03 10:40:00-08:00
5.355,5.355,5.33,5.34,14672.0,5.3414,1672771500000,114,,2023-01-03 10:45:00-08:00
5.34,5.34,5.32,5.325,8229.0,5.3288,1672771800000,75,,2023-01-03 10:50:00-08:00
5.325,5.335,5.325,5.3308,6781.0,5.3317,1672772100000,40,,2023-01-03 10:55:00-08:00
5.335,5.34,5.315,5.315,26788.0,5.3302,1672772400000,136,,2023-01-03 11:00:00-08:00
5.32,5.328,5.31,5.327,5873.0,5.3221,1672772700000,41,,2023-01-03 11:05:00-08:00
5.3286,5.3286,5.3015,5.3199,13990.0,5.3153,1672773000000,104,,2023-01-03 11:10:00-08:00
5.315,5.33,5.305,5.305,7207.0,5.3153,1672773300000,85,,2023-01-03 11:15:00-08:00
5.305,5.32,5.305,5.308,3538.0,5.3105,1672773600000,40,,2023-01-03 11:20:00-08:00
5.3,5.32,5.3,5.315,5437.0,5.3106,1672773900000,53,,2023-01-03 11:25:00-08:00
5.31,5.32,5.28,5.285,27372.0,5.3005,1672774200000,195,,2023-01-03 11:30:00-08:00
5.2873,5.295,5.2808,5.295,4719.0,5.2889,1672774500000,40,,2023-01-03 11:35:00-08:00
5.295,5.315,5.2913,5.315,12869.0,5.303,1672774800000,47,,2023-01-03 11:40:00-08:00
5.315,5.355,5.315,5.34,34771.0,5.3346,1672775100000,210,,2023-01-03 11:45:00-08:00
5.3389,5.35,5.32,5.34,26825.0,5.3399,1672775400000,112,,2023-01-03 11:50:00-08:00
5.335,5.335,5.295,5.295,19933.0,5.316,1672775700000,157,,2023-01-03 11:55:00-08:00
5.295,5.31,5.29,5.295,12142.0,5.2964,1672776000000,80,,2023-01-03 12:00:00-08:00
5.295,5.34,5.295,5.31,58573.0,5.318,1672776300000,441,,2023-01-03 12:05:00-08:00
5.3,5.315,5.295,5.305,15642.0,5.3035,1672776600000,139,,2023-01-03 12:10:00-08:00
5.31,5.31,5.29,5.29,33939.0,5.3019,1672776900000,162,,2023-01-03 12:15:00-08:00
5.28,5.28,5.27,5.275,13254.0,5.2765,1672777200000,121,,2023-01-03 12:20:00-08:00
5.27,5.29,5.27,5.2899,10215.0,5.2836,1672777500000,71,,2023-01-03 12:25:00-08:00
5.29,5.31,5.29,5.305,16525.0,5.3034,1672777800000,83,,2023-01-03 12:30:00-08:00
5.305,5.305,5.29,5.295,23739.0,5.2952,1672778100000,122,,2023-01-03 12:35:00-08:00
5.295,5.31,5.29,5.2999,29275.0,5.2988,1672778400000,199,,2023-01-03 12:40:00-08:00
5.295,5.32,5.295,5.315,25720.0,5.3055,1672778700000,146,,2023-01-03 12:45:00-08:00
5.32,5.325,5.305,5.315,77641.0,5.3145,1672779000000,317,,2023-01-03 12:50:00-08:00
5.315,5.33,5.31,5.32,45700.0,5.318,1672779300000,387,,2023-01-03 12:55:00-08:00
5.3,5.3,5.29,5.29,406.0,5.2925,1672779600000,4,,2023-01-03 13:00:00-08:00
5.29,5.29,5.29,5.29,500.0,5.29,1672779900000,1,,2023-01-03 13:05:00-08:00
5.29,5.29,5.27,5.27,2194.0,5.2796,1672780500000,7,,2023-01-03 13:15:00-08:00
5.3,5.3,5.3,5.3,500.0,5.3,1672780800000,1,,2023-01-03 13:20:00-08:00
5.3,5.3,5.3,5.3,911.0,5.3,1672783200000,2,,2023-01-03 14:00:00-08:00
5.3,5.32,5.3,5.31,2000.0,5.3094,1672787400000,4,,2023-01-03 15:10:00-08:00
5.3,5.3,5.3,5.3,200.0,5.3,1672790100000,1,,2023-01-03 15:55:00-08:00
5.3999,5.425,5.39,5.425,19781.0,5.4014,1672853400000,106,,2023-01-04 09:30:00-08:00
