open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
1.3915,1.4,1.39,1.3985,7787.0,1.3931,1672767000000,86,,2023-01-03 09:30:00-08:00
1.3915,1.4085,1.3915,1.405,10552.0,1.3995,1672767300000,126,,2023-01-03 09:35:00-08:00
1.41,1.41,1.4,1.405,3297.0,1.405,1672767600000,39,,2023-01-03 09:40:00-08:00
1.4085,1.4085,1.4,1.405,16713.0,1.4008,1672767900000,52,,2023-01-03 09:45:00-08:00
1.4,1.41,1.4,1.4,12803.0,1.4064,1672768200000,58,,2023-01-03 09:50:00-08:00
1.405,1.41,1.4,1.4092,13762.0,1.4057,1672768500000,54,,2023-01-03 09:55:00-08:00
1.405,1.4079,1.4,1.405,13803.0,1.4049,1672768800000,72,,2023-01-03 10:00:00-08:00
1.405,1.41,1.4,1.405,2369.0,1.4027,1672769100000,58,,2023-01-03 10:05:00-08:00
1.405,1.41,1.4,1.405,5207.0,1.4034,1672769400000,68,,2023-01-03 10:10:00-08:00
1.4085,1.4085,1.4,1.405,8882.0,1.4017,1672769700000,40,,2023-01-03 10:15:00-08:00
1.405,1.41,1.4,1.405,7702.0,1.4027,1672770000000,39,,2023-01-03 10:20:00-08:00
1.405,1.4085,1.4,1.405,2295.0,1.4027,1672770300000,37,,2023-01-03 10:25:00-08:00
1.4,1.41,1.4,1.4001,6989.0,1.4018,1672770600000,53,,2023-01-03 10:30:00-08:00
1.4001,1.4085,1.4,1.401,7222.0,1.4025,1672770900000,58,,2023-01-03 10:35:00-08:00
1.405,1.405,1.34,1.3401,37384.0,1.3627,1672771200000,154,,2023-01-03 10:40:00-08:00
1.34,1.36,1.335,1.3588,44773.0,1.3472,1672771500000,207,,2023-01-03 10:45:00-08:00
1.35,1.3692,1.35,1.3601,19951.0,1.3556,1672771800000,79,,2023-01-03 10:50:00-08:00
1.37,1.37,1.36,1.365,17548.0,1.3676,1672772100000,107,,2023-01-03 10:55:00-08:00
1.361,1.365,1.36,1.365,7847.0,1.3613,1672772400000,45,,2023-01-03 11:00:00-08:00
1.3685,1.37,1.36,1.36,13028.0,1.3644,1672772700000,72,,2023-01-03 11:05:00-08:00
1.37,1.37,1.36,1.365,5423.0,1.3666,1672773000000,48,,2023-01-03 11:10:00-08:00
1.3699,1.37,1.36,1.3613,8784.0,1.3634,1672773300000,70,,2023-01-03 11:15:00-08:00
1.3612,1.37,1.36,1.365,11373.0,1.3654,1672773600000,68,,2023-01-03 11:20:00-08:00
1.37,1.37,1.36,1.36,2370.0,1.3625,1672773900000,34,,2023-01-03 11:25:00-08:00
1.36,1.37,1.36,1.36,5754.0,1.3648,1672774200000,58,,2023-01-03 11:30:00-08:00
1.37,1.37,1.36,1.365,16330.0,1.3659,1672774500000,118,,2023-01-03 11:35:00-08:00
1.3673,1.37,1.36,1.365,4412.0,1.3641,1672774800000,39,,2023-01-03 11:40:00-08:00
1.3694,1.37,1.36,1.36,4975.0,1.364,1672775100000,59,,2023-01-03 11:45:00-08:00
1.36,1.36,1.33,1.3394,44903.0,1.3464,1672775400000,217,,2023-01-03 11:50:00-08:00
1.3308,1.34,1.33,1.3396,6604.0,1.3324,1672775700000,74,,2023-01-03 11:55:00-08:00
1.33,1.34,1.33,1.335,9509.0,1.3312,1672776000000,75,,2023-01-03 12:00:00-08:00
1.3307,1.35,1.33,1.35,36820.0,1.338,1672776300000,172,,2023-01-03 12:05:00-08:00
1.3499,1.36,1.3499,1.36,16357.0,1.3569,1672776600000,92,,2023-01-03 12:10:00-08:00
1.3515,1.36,1.35,1.3515,7561.0,1.3553,1672776900000,72,,2023-01-03 12:15:00-08:00
1.355,1.3585,1.33,1.34,7828.0,1.3426,1672777200000,104,,2023-01-03 12:20:00-08:00
1.331,1.34,1.33,1.33,6115.0,1.3352,1672777500000,98,,2023-01-03 12:25:00-08:00
1.34,1.34,1.3,1.33,66156.0,1.3257,1672777800000,313,,2023-01-03 12:30:00-08:00
1.325,1.34,1.31,1.325,130788.0,1.3282,1672778100000,273,,2023-01-03 12:35:00-08:00
1.33,1.33,1.31,1.32,10589.0,1.3227,1672778400000,101,,2023-01-03 12:40:00-08:00
1.315,1.32,1.28,1.28,43172.0,1.2968,1672778700000,194,,2023-01-03 12:45:00-08:00
1.2862,1.3,1.28,1.28,39167.0,1.2841,1672779000000,179,,2023-01-03 12:50:00-08:00
1.285,1.29,1.27,1.28,67012.0,1.2833,1672779300000,445,,2023-01-03 12:55:00-08:00
1.28,1.28,1.28,1.28,298.0,1.28,1672779600000,1,,2023-01-03 13:00:00-08:00
1.34,1.36,1.34,1.35,1412.0,1.3563,1672779900000,6,,2023-01-03 13:05:00-08:00
1.3489,1.3489,1.28,1.28,10263.0,1.2818,1672780200000,5,,2023-01-03 13:10:00-08:00
1.35,1.35,1.35,1.35,215.0,1.3207,1672780500000,5,,2023-01-03 13:15:00-08:00
1.28,1.31,1.28,1.31,3366.0,1.2822,1672780800000,4,,2023-01-03 13:20:00-08:00
1.3,1.31,1.3,1.31,430.0,1.3077,1672781100000,5,,2023-01-03 13:25:00-08:00
1.3095,1.3095,1.3095,1.3095,16736.0,2.1101,1672781400000,162,,2023-01-03 13:30:00-08:00
1.3093,1.31,1.3003,1.31,21482.0,2.0406,1672781700000,504,,2023-01-03 13:35:00-08:00
1.3093,1.3098,1.3093,1.3098,364.0,1.3096,1672782000000,5,,2023-01-03 13:40:00-08:00
1.31,1.31,1.31,1.31,108.0,1.3093,1672782300000,2,,2023-01-03 13:45:00-08:00
1.3004,1.31,1.3,1.3,646.0,1.3069,1672782600000,9,,2023-01-03 13:50:00-08:00
1.3,1.31,1.3,1.31,914.0,1.3087,1672782900000,4,,2023-01-03 13:55:00-08:00
1.3,1.3,1.3,1.3,432.0,1.3,1672783800000,1,,2023-01-03 14:10:00-08:00
1.3,1.3,1.3,1.3,2316.0,1.3,1672784100000,4,,2023-01-03 14:15:00-08:00
1.3,1.3,1.28,1.28,474.0,1.2889,1672784400000,3,,2023-01-03 14:20:00-08:00
1.28,1.28,1.28,1.28,361.0,1.28,1672784700000,2,,2023-01-03 14:25:00-08:00
1.3,1.3,1.3,1.3,420.0,1.2995,1672785300000,4,,2023-01-03 14:35:00-08:00
1.3,1.3,1.3,1.3,109.0,1.2985,1672786200000,2,,2023-01-03 14:50:00-08:00
1.28,1.28,1.27,1.27,3130.0,1.2777,1672786500000,8,,2023-01-03 14:55:00-08:00
1.3,1.3,1.28,1.28,1040.0,1.2838,1672787400000,2,,2023-01-03 15:10:00-08:00
1.3,1.3,1.3,1.3,500.0,1.3,1672788600000,1,,2023-01-03 15:30:00-08:00
1.3,1.3,1.3,1.3,100.0,1.3,1672789200000,1,,2023-01-03 15:40:00-08:00
1.2999,1.2999,1.2999,1.2999,1160.0,1.2999,1672789500000,1,,2023-01-03 15:45:00-08:00
1.18,1.18,1.17,1.1785,1674.0,1.1772,1672853400000,15,,2023-01-04 09:30:00-08:00
1.175,1.18,1.17,1.18,5959.0,1.1753,1672853700000,68,,2023-01-04 09:35:00-08:00
1.18,1.18,1.17,1.175,3352.0,1.1736,1672854000000,41,,2023-01-04 09:40:00-08:00
1.1701,1.18,1.17,1.17,4877.0,1.1717,1672854300000,42,,2023-01-04 09:45:00-08:00
1.175,1.18,1.17,1.18,4076.0,1.1721,1672854600000,47,,2023-01-04 09:50:00-08:00
1.18,1.18,1.17,1.18,9343.0,1.1733,1672854900000,66,,2023-01-04 09:55:00-08:00
